No	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X
30	0.257061	0.585042	0.508532	0.131038	0.858739	0.405257	0.28895	0.479902	0.683848	0.510623	0.629609	0.483484	0.585826	0.632804	0.592817	0.584077	0.634834	0.336207	0.626267	0.85603	0.752313	0.531576	0.487865	0.254801
31	0.249192	0.531576	0.526829	0.36052	0.742455	0.318716	0.266238	0.50708	0.832396	0.517473	0.581011	0.589888	0.634834	0.548062	0.543907	0.585826	0.572169	0.268722	0.60615	0.814567	0.711333	0.574683	0.535022	0.214434
32	0.255966	0.574683	0.543443	0.229276	0.44448	0.276978	0.269081	0.606243	0.641551	0.582799	0.624869	0.638652	0.572169	0.626962	0.578484	0.634834	0.479902	0.208231	0.608818	0.884762	0.651483	0.51178	0.457721	0.199133
33	0.234884	0.51178	0.532703	0.123561	0.445561	0.264412	0.340631	0.54065	0.821432	0.576938	0.804769	0.589356	0.479902	0.507556	0.757515	0.572169	0.50708	0.165256	0.641482	0.793376	0.666586	0.459678	0.417234	0.196608
34	0.220555	0.459678	0.514913	0.123845	0.382207	0.309215	0.346024	0.647382	0.893476	0.485489	0.760932	0.633845	0.50708	0.536795	0.712907	0.479902	0.606243	0.148134	0.589572	0.651969	0.672474	0.46137	0.427197	0.175624
35	0.229494	0.46137	0.491242	0.083419	0.252748	0.336266	0.300411	0.649501	0.949897	0.604476	0.696909	0.816329	0.606243	0.548062	0.661727	0.50708	0.54065	0.149263	0.586341	0.513995	0.658504	0.417345	0.394566	0.167657
36	0.238528	0.417345	0.485876	0.179413	0.284606	0.385189	0.292031	0.66817	0.691894	0.600859	0.713065	0.771862	0.54065	0.537091	0.668419	0.606243	0.647382	0.167969	0.598254	0.580014	0.643777	0.42378	0.405556	0.167657
37	0.254801	0.42378	0.463881	0.311391	0.995782	0.393079	0.308088	0.640217	0.68409	0.505847	0.719363	0.706919	0.647382	0.517746	0.677149	0.54065	0.649501	0.568232	0.585673	0.927955	0.588795	0.43042	0.40911	0.182084
38	0.214434	0.43042	0.43652	0.490805	0.97438	0.427993	0.257061	0.570655	0.596184	0.523732	0.704419	0.723307	0.649501	0.550565	0.65071	0.647382	0.66817	0.52673	0.581484	0.772598	0.534986	0.444121	0.417654	0.185242
39	0.199133	0.444121	0.409779	0.478462	0.468776	0.323709	0.249192	0.641798	0.636534	0.574402	0.688665	0.729696	0.66817	0.68923	0.644145	0.649501	0.640217	0.453138	0.568994	0.632804	0.57837	0.460947	0.424384	0.172175
40	0.196608	0.460947	0.384151	0.401164	0.485029	0.329503	0.255966	0.720845	0.616444	0.630943	0.629849	0.714537	0.640217	0.717425	0.59266	0.66817	0.570655	0.394597	0.503645	0.548062	0.515063	0.460018	0.431707	0.173777
41	0.175624	0.460018	0.426957	0.380565	0.418194	0.128763	0.234884	0.618756	0.857738	0.588889	0.572288	0.698557	0.570655	0.602788	0.532824	0.640217	0.641798	0.132705	0.529735	0.626962	0.462627	0.452621	0.424686	0.18507
42	0.167657	0.452621	0.452134	0.384887	0.186584	0	0.220555	0.566215	0.84148	0.655281	0.618698	0.638897	0.641798	0.511012	0.584326	0.570655	0.720845	0	0.524416	0.507556	0.464329	0.474014	0.450168	0.249993
43	0.167657	0.474014	0.413695	0.378443	0.295417	0.261753	0.229494	0.592048	0.631463	0.828278	0.550977	0.580509	0.720845	0.543113	0.499902	0.641798	0.618756	0.313246	0.478638	0.536795	0.420022	0.47851	0.456899	0.208923
44	0.182084	0.47851	0.379623	0.381725	0.780195	0.468912	0.238528	0.580578	0.662269	0.49249	0.494885	0.627585	0.618756	0.455062	0.455683	0.720845	0.566215	0.459521	0.448273	0.548062	0.426499	0.493802	0.456287	0.19629
45	0.185242	0.493802	0.379623	0.391057	0.833311	0.413041	0.254801	0.484544	0.598917	0.539426	0.496705	0.558891	0.566215	0.411518	0.466565	0.618756	0.592048	0.341742	0.449384	0.537091	0.433181	0.475344	0.448068	0.178684
46	0.172175	0.475344	0.373693	0.406497	0.423294	0.369269	0.214434	0.635776	0.562225	0.512218	0.449309	0.501993	0.592048	0.440636	0.430927	0.566215	0.580578	0.423837	0.423557	0.517746	0.44697	0.456185	0.445282	0.117602
47	0.173777	0.456185	0.36703	0.377902	0.19233	0.32267	0.199133	0.672676	0.623549	0.515156	0.456237	0.50384	0.580578	0.464093	0.44293	0.592048	0.484544	0.462522	0.427212	0.550565	0.463904	0.471539	0.453248	0.101206
48	0.18507	0.471539	0.347395	0.156944	0.193135	0.318972	0.196608	0.623701	0.980622	0.480568	0.463385	0.455763	0.484544	0.48946	0.446811	0.580578	0.635776	0.383189	0.420282	0.68923	0.462969	0.472871	0.433403	0.0962503
49	0.249993	0.472871	0.381975	0.259563	0.179226	0.258257	0.175624	0.641898	0.925916	0.63871	0.478136	0.46279	0.635776	0.472532	0.456142	0.484544	0.672676	0.33485	0.431178	0.717425	0.455525	0.490169	0.464094	0.0991181
50	0.208923	0.490169	0.378277	0.337409	0.264659	0.283344	0.167657	0.655253	0.68441	0.552851	0.49625	0.470041	0.672676	0.49286	0.463493	0.635776	0.623701	0.376682	0.450454	0.602788	0.477055	0.455382	0.420521	0.118256
51	0.19629	0.455382	0.354276	0.382128	0.987109	0.316198	0.167657	0.591006	0.740386	0.546253	0.49525	0.485004	0.623701	0.52794	0.471491	0.672676	0.641898	0.392297	0.444145	0.511012	0.48158	0.459278	0.421599	0.140356
52	0.178684	0.459278	0.364347	0.355473	0.990529	0.291076	0.182084	0.533823	0.716027	0.51423	0.487287	0.503378	0.641898	0.769438	0.463823	0.623701	0.655253	0.360042	0.445569	0.543113	0.49697	0.429749	0.403266	0.117161
53	0.117602	0.429749	0.354614	0.384782	0.456775	0.204905	0.185242	0.55387	0.609823	0.533778	0.510318	0.502364	0.655253	0.654862	0.491653	0.641898	0.591006	0.268818	0.454871	0.455062	0.478393	0.464061	0.434406	0.116287
54	0.101206	0.464061	0.375087	0.377502	0.323921	0.165447	0.172175	0.427226	0.67099	0.536847	0.515158	0.494286	0.591006	0.68407	0.499004	0.655253	0.533823	0.218931	0.462376	0.411518	0.459112	0.461136	0.430848	0.175939
55	0.0962503	0.461136	0.382249	0.385127	0.196859	0.198204	0.173777	0.420868	0.846139	0.556832	0.531621	0.517648	0.533823	0.663476	0.498336	0.591006	0.55387	0.34979	0.484077	0.440636	0.474564	0.466635	0.441619	0.296382
56	0.0991181	0.466635	0.374088	0.370028	0.158753	0.299846	0.18507	0.515994	0.826422	0.56694	0.51175	0.522558	0.55387	0.586958	0.489359	0.533823	0.427226	0.470543	0.448341	0.464093	0.475904	0.534806	0.495863	0.299222
57	0.118256	0.534806	0.360375	0.368828	0.167549	0.262255	0.249993	0.508696	0.739375	0.68537	0.491124	0.539258	0.427226	0.410174	0.486317	0.55387	0.420868	0.424436	0.428881	0.48946	0.493313	0.541855	0.50553	0.304444
58	0.140356	0.541855	0.359311	0.269663	0.20009	0.266508	0.208923	0.21992	0.63601	0.518744	0.507653	0.519101	0.420868	0.451041	0.495017	0.427226	0.515994	0.404814	0.460743	0.472532	0.458303	0.514379	0.484214	0.298519
59	0.117161	0.514379	0.331282	0.0153339	0.187911	0.105314	0.19629	0.263682	0.651283	0.544949	0.509088	0.498179	0.515994	0.457715	0.473343	0.420868	0.508696	0.271737	0.468828	0.49286	0.462224	0.478741	0.457132	0.33116
60	0.116287	0.478741	0.339451	0	0.186234	0.174508	0.178684	0.442463	0.580492	0.538515	0.52771	0.514945	0.508696	0.483679	0.506863	0.515994	0.21992	0.281286	0.487143	0.52794	0.432505	0.456557	0.425514	0.340124
61	0.175939	0.456557	0.331282	0	0.167597	0.134214	0.117602	0.409801	0.691553	0.537094	0.490259	0.5164	0.21992	0.529434	0.459274	0.508696	0.263682	0.222579	0.436807	0.769438	0.467038	0.456967	0.43431	0.322417
62	0.296382	0.456967	0.331282	0.159056	0.168998	0.277814	0.101206	0.389283	1	0.426939	0.494453	0.53529	0.263682	0.471339	0.460451	0.21992	0.442463	0.358114	0.447002	0.654862	0.464094	0.467628	0.43606	0.320011
63	0.299222	0.467628	0.331282	0.309927	0.173681	0.360877	0.0962503	0.377544	0.969027	0.571876	0.462662	0.497301	0.442463	0.584812	0.440428	0.263682	0.409801	0.397378	0.429505	0.68407	0.469628	0.524423	0.495567	0.32917
64	0.304444	0.524423	0.361994	0.377059	0.1788	0.399507	0.0991181	0.547547	0.73945	0.573849	0.499603	0.501556	0.409801	0.652565	0.474439	0.442463	0.389283	0.500045	0.441888	0.663476	0.538236	0.512434	0.476273	0.309302
65	0.298519	0.512434	0.412857	0.378563	0.238313	0.468991	0.118256	0.446164	0.694486	0.531141	0.496454	0.469308	0.389283	0.577331	0.470553	0.409801	0.377544	0.478984	0.42435	0.586958	0.545331	0.534496	0.485025	0.327005
66	0.33116	0.534496	0.476917	0.378034	0.245538	0.49679	0.140356	0.395035	0.606154	0.569525	0.502374	0.506779	0.377544	0.380876	0.482316	0.389283	0.547547	0.497993	0.445274	0.410174	0.517678	0.528751	0.485258	0.33619
67	0.340124	0.528751	0.413864	0.0587812	0.178646	0.410866	0.117161	0.465303	0.5027	0.562339	0.575766	0.503585	0.547547	0.407432	0.541559	0.377544	0.446164	0.370713	0.526396	0.451041	0.481812	0.516738	0.492393	0.33116
68	0.322417	0.516738	0.379623	0.362972	0.228624	0.371875	0.116287	0.508292	0.534295	0.528716	0.583355	0.50959	0.446164	0.377176	0.552117	0.547547	0.395035	0.50589	0.497886	0.457715	0.459485	0.549063	0.507289	0.34707
69	0.320011	0.549063	0.379623	0.118148	0.250793	0.265196	0.175939	0.422484	0.614123	0.566208	0.553774	0.584036	0.395035	0.463557	0.528837	0.446164	0.465303	0.426109	0.469151	0.483679	0.459898	0.547573	0.507474	0.344639
70	0.32917	0.547573	0.369552	0.0170526	0.179566	0.25676	0.296382	0.432137	0.574055	0.570741	0.515407	0.591735	0.465303	0.521416	0.499259	0.395035	0.508292	0.42995	0.446789	0.529434	0.470628	0.543672	0.502198	0.393019
71	0.309302	0.543672	0.347395	0.0837423	0.187358	0.22322	0.299222	0.486562	0.586007	0.459876	0.491524	0.561729	0.508292	0.507016	0.464727	0.465303	0.422484	0.375009	0.409404	0.471339	0.527787	0.525507	0.492381	0.391368
72	0.327005	0.525507	0.330613	0.198248	0.235358	0.264289	0.304444	0.439301	0.527454	0.335312	0.491966	0.522811	0.422484	0.46833	0.474333	0.508292	0.432137	0.44677	0.40385	0.584812	0.515721	0.560431	0.518388	0.389305
73	0.33619	0.560431	0.362784	0.171414	0.217582	0.280579	0.298519	0.430017	0.525026	0.408956	0.503443	0.498584	0.432137	0.42648	0.476245	0.422484	0.486562	0.431775	0.37011	0.652565	0.537925	0.573231	0.534586	0.374003
74	0.33116	0.573231	0.379228	0.0874824	0.184558	0.244794	0.33116	0.541256	0.5407	0.500204	0.564587	0.499032	0.486562	0.35947	0.541235	0.432137	0.439301	0.38418	0.398145	0.577331	0.532143	0.571291	0.532319	0.374003
75	0.34707	0.571291	0.35691	0.0332186	0.182993	0.233382	0.340124	0.522184	0.554096	0.615443	0.551681	0.510674	0.439301	0.354105	0.520164	0.486562	0.430017	0.345267	0.370647	0.380876	0.520053	0.549707	0.515134	0.41607
76	0.344639	0.549707	0.363509	0.235096	0.173679	0.219478	0.322417	0.584345	0.792714	0.434546	0.575432	0.572697	0.430017	0.385228	0.529722	0.439301	0.541256	0.369075	0.380761	0.407432	0.552585	0.538082	0.53652	0.380974
77	0.393019	0.538082	0.369044	0.237968	0.186991	0.210082	0.320011	0.493105	0.820237	0.553792	0.569248	0.559605	0.541256	0.429936	0.529977	0.430017	0.522184	0.355574	0.372952	0.377176	0.551086	0.502041	0.377015	0.383817
78	0.391368	0.502041	0.354953	0.231055	0.198605	0.197455	0.32917	0.511017	0.55364	0.49665	0.556315	0.583698	0.522184	0.412827	0.53777	0.541256	0.584345	0.363264	0.365766	0.463557	0.547159	0.515603	0.486169	0.407057
79	0.389305	0.515603	0.338331	0.233471	0.214674	0.257544	0.309302	0.481718	0.592619	0.614934	0.591115	0.577424	0.584345	0.376463	0.554038	0.522184	0.493105	0.368806	0.374452	0.521416	0.528878	0.547229	0.465044	0.402203
80	0.374003	0.547229	0.326133	0.222102	0.231806	0.266931	0.327005	0.463891	0.520186	0.496427	0.589511	0.564306	0.493105	0.363496	0.554239	0.584345	0.511017	0.35746	0.383387	0.507016	0.564026	0.561813	0.534366	0.372255
81	0.374003	0.561813	0.31769	0.0180983	0.1777	0.20236	0.33619	0.494769	0.565405	0.509827	0.585311	0.599605	0.511017	0.345074	0.548478	0.493105	0.481718	0.272859	0.389088	0.46833	0.576908	0.512007	0.556876	0.420977
82	0.41607	0.512007	0.323225	0.0874541	0.176605	0.16624	0.33116	0.420835	0.580462	0.450873	0.565754	0.597979	0.481718	0.32111	0.537756	0.511017	0.463891	0.276653	0.353575	0.42648	0.574956	0.485604	0.467492	0.413108
83	0.380974	0.485604	0.334303	0.0299086	0.182882	0.290803	0.34707	0.482795	0.768323	0.6443	0.603354	0.593719	0.463891	0.343374	0.56616	0.481718	0.494769	0.376056	0.37824	0.35947	0.553233	0.504785	0.470341	0.393141
84	0.383817	0.504785	0.339338	0	0.182997	0.419161	0.344639	0.470516	0.678956	0.497392	0.617134	0.573881	0.494769	0.373154	0.583851	0.463891	0.420835	0.468622	0.424823	0.354105	0.541534	0.487229	0.46302	0.436859
85	0.407057	0.487229	0.333795	0.0190948	0.182598	0.391652	0.393019	0.497595	0.58541	0.524125	0.615046	0.612021	0.420835	0.351963	0.581375	0.494769	0.482795	0.428732	0.434372	0.385228	0.505262	0.534321	0.506362	0.40293
86	0.402203	0.534321	0.314999	0	0.242088	0.441122	0.391368	0.391672	0.557544	0.517265	0.591808	0.625998	0.482795	0.299053	0.562605	0.420835	0.470516	0.491556	0.456983	0.429936	0.51891	0.514809	0.476864	0.406138
87	0.372255	0.514809	0.296371	0	0.217621	0.439854	0.389305	0.405967	0.510579	0.514952	0.579293	0.62388	0.470516	0.26987	0.585963	0.482795	0.497595	0.452085	0.52875	0.412827	0.550739	0.492108	0.46288	0.398485
88	0.420977	0.492108	0.29704	0	0.172034	0.40383	0.374003	0.403578	0.589493	0.525376	0.540492	0.600309	0.497595	0.356642	0.411758	0.470516	0.391672	0.405695	0.381286	0.376463	0.565417	0.556887	0.537058	0.397975
89	0.413108	0.556887	0.323225	0	0.182342	0.371866	0.374003	0.390393	0.569064	0.476386	0.555092	0.587614	0.391672	0.289455	0.530972	0.497595	0.405967	0.418122	0.471876	0.363496	0.515291	0.552403	0.520242	0.390469
90	0.393141	0.552403	0.324232	0.0943402	0.177285	0.36329	0.41607	0.361499	0.34539	0.538752	0.58914	0.548256	0.405967	0.352229	0.5079	0.391672	0.403578	0.410556	0.402104	0.345074	0.488719	0.561557	0.519603	0.393676
91	0.436859	0.561557	0.307111	0.0617119	0.187857	0.381535	0.380974	0.26237	0.766272	0.540648	0.604841	0.563066	0.403578	0.417089	0.58361	0.405967	0.390393	0.416084	0.53797	0.32111	0.508023	0.590501	0.553628	0.405651
92	0.40293	0.590501	0.323732	0.191937	0.189534	0.308308	0.383817	0.23388	0.538632	0.527994	0.551221	0.597603	0.390393	0.354822	0.608194	0.403578	0.361499	0.396469	0.339629	0.343374	0.490354	0.564178	0.536806	0.414661
93	0.406138	0.564178	0.314386	0.0236714	0.162261	0.251037	0.407057	0.203	0.545164	0.524169	0.522796	0.613529	0.361499	0.410174	0.510574	0.390393	0.26237	0.290003	0.448652	0.373154	0.537749	0.56728	0.548759	0.410289
94	0.398485	0.56728	0.315168	0	0.210725	0.256716	0.402203	0.270779	0.566637	0.546427	0.543445	0.559138	0.26237	0.392619	0.513685	0.361499	0.23388	0.303455	0.488372	0.351963	0.518111	0.586202	0.546611	0.410943
95	0.397975	0.586202	0.320711	0.0166027	0.165379	0.42049	0.372255	0.237075	0.573159	0.504659	0.524545	0.530305	0.23388	0.188588	0.505689	0.26237	0.203	0.414136	0.477552	0.299053	0.495265	0.620323	0.588293	0.418375
96	0.390469	0.620323	0.31769	0.0781606	0.185667	0.580399	0.420977	0.254398	0.585718	0.550291	0.575244	0.551252	0.203	0.123668	0.553026	0.23388	0.270779	0.693419	0.501998	0.26987	0.560459	0.615623	0.574372	0.476229
97	0.393676	0.615623	0.287468	0.132905	0.194234	0.590516	0.413108	0.257021	0.821707	0.667722	0.554237	0.53208	0.270779	0.118569	0.520809	0.203	0.237075	0.736545	0.501394	0.356642	0.555947	0.640433	0.603634	0.45323
98	0.405651	0.640433	0.300061	0.133295	0.174937	0.546929	0.393141	0.273336	0.702565	0.666714	0.529798	0.583507	0.237075	0.114191	0.505536	0.270779	0.254398	0.61235	0.465043	0.289455	0.565159	0.609195	0.578721	0.46496
99	0.414661	0.609195	0.323225	0.177702	0.199072	0.473244	0.436859	0.284941	0.517284	0.983889	0.599538	0.562199	0.254398	0.146352	0.58655	0.237075	0.257021	0.543653	0.523448	0.352229	0.594289	0.63503	0.598218	0.505156
100	0.410289	0.63503	0.293463	0.257382	0.235599	0.575494	0.40293	0.310909	0.535366	0.733795	0.594711	0.537408	0.257021	0.195833	0.568184	0.254398	0.273336	0.596033	0.521284	0.417089	0.567797	0.618438	0.5815	0.509745
101	0.410943	0.618438	0.323225	0.1941	0.184497	0.519931	0.406138	0.306671	0.543985	0.676231	0.604566	0.60815	0.273336	0.23139	0.567486	0.257021	0.284941	0.499687	0.522337	0.354822	0.570919	0.650147	0.610436	0.512588
102	0.418375	0.650147	0.323225	0.155661	0.15963	0.463822	0.398485	0.260352	0.550938	0.653177	0.635727	0.603253	0.284941	0.24546	0.604647	0.273336	0.310909	0.45278	0.531431	0.410174	0.589962	0.614303	0.589184	0.500882
103	0.476229	0.614303	0.357466	0.214203	0.166596	0.501264	0.397975	0.29113	0.542765	0.608587	0.607387	0.61325	0.310909	0.253242	0.586275	0.284941	0.306671	0.569809	0.519721	0.392619	0.624302	0.619566	0.584511	0.500784
104	0.45323	0.619566	0.399765	0.209261	0.163448	0.451292	0.390469	0.274749	0.455757	0.570412	0.610727	0.644859	0.306671	0.312526	0.599329	0.310909	0.260352	0.530125	0.527497	0.188588	0.619572	0.589297	0.540641	0.509724
105	0.46496	0.589297	0.414203	0.148926	0.169979	0.444688	0.393676	0.288775	0.643557	0.530632	0.631099	0.616112	0.260352	0.290799	0.596983	0.306671	0.29113	0.452271	0.528334	0.123668	0.644541	0.611843	0.572768	0.514459
106	0.505156	0.611843	0.44643	0	0.160371	0.439572	0.405651	0.268324	0.48752	0.511297	0.667833	0.619499	0.29113	0.357148	0.642506	0.260352	0.274749	0.442825	0.581208	0.118569	0.613103	0.602848	0.563787	0.50659
107	0.509745	0.602848	0.454656	0	0.234983	0.467107	0.414661	0.298631	0.540615	0.662699	0.662773	0.640164	0.274749	0.266385	0.627303	0.29113	0.288775	0.47024	0.580169	0.114191	0.639104	0.615353	0.590016	0.522643
108	0.512588	0.615353	0.440331	0.109574	0.17664	0.531748	0.410289	0.305291	0.593183	0.476227	0.689483	0.677426	0.288775	0.227278	0.659261	0.274749	0.268324	0.487886	0.612561	0.146352	0.622405	0.6189	0.606921	0.513025
109	0.500882	0.6189	0.41185	0.216225	0.170766	0.477691	0.410943	0.298631	0.510607	0.662704	0.655853	0.672293	0.268324	0.177055	0.632053	0.288775	0.298631	0.459355	0.597535	0.195833	0.654318	0.635327	0.605558	0.526238
110	0.500784	0.635327	0.41185	0.0649771	0.177376	0.455492	0.418375	0.290828	0.588969	0.532076	0.683666	0.699387	0.298631	0.196636	0.653347	0.268324	0.305291	0.431252	0.612524	0.23139	0.618244	0.638024	0.603979	0.533426
111	0.509724	0.638024	0.41185	0.03784	0.206268	0.430943	0.476229	0.214403	0.70963	0.620015	0.665803	0.665273	0.305291	0.191567	0.635088	0.298631	0.298631	0.377674	0.595917	0.24546	0.62354	0.611317	0.578709	0.572408
112	0.514459	0.611317	0.434006	0.0367545	0.212571	0.44254	0.45323	0.217969	0.574459	0.523602	0.699941	0.693486	0.298631	0.172702	0.66669	0.305291	0.290828	0.385853	0.623148	0.253242	0.593077	0.621375	0.591212	0.544212
113	0.50659	0.621375	0.421921	0.278499	0.220678	0.409316	0.46496	0.226647	0.438078	0.528392	0.661352	0.675367	0.290828	0.183969	0.643479	0.298631	0.214403	0.398266	0.612035	0.312526	0.615767	0.628344	0.587921	0.545327
114	0.522643	0.628344	0.41185	0.267594	0.186339	0.439414	0.505156	0.281341	0.463707	0.408154	0.667018	0.709995	0.214403	0.231987	0.638376	0.290828	0.217969	0.43046	0.605815	0.290799	0.606716	0.65965	0.614816	0.508653
