Time	MypongaWtp.Cl(t)	MypongaFws.Cl(t)	MypongaFws.Cl(t-17)	CactusCyn.Temp(t-13)	AldingaRd.Cl(t)	AldingaRd.Cl(t-1)	AldingaRd.Cl(t-3)	AldingaRd.Cl(t-24)	AldingaRd.Cl(t-27)	AldingaRd.Cl(t-47)	AldingaRd.Cl(t+24)
2003-02-07 05	3.0325	2.155833333	2.234166667	23.95833333	0.8975	0.885	0.890833333	0.58	0.591666667	0.686666667	0.851666667
2003-02-07 06	2.9975	2.0975	2.2025	23.65	0.900833333	0.8975	0.885833333	0.590833333	0.59	0.709166667	0.8475
2003-02-07 07	3.01	2.018333333	2.24	23.125	0.909166667	0.900833333	0.885	0.618333333	0.588333333	0.725833333	0.835833333
2003-02-07 08	3.0375	1.980833333	2.235	22.28333333	0.925833333	0.909166667	0.8975	0.618333333	0.58	0.7275	0.835833333
2003-02-07 09	3.06	2.0875	2.249166667	21.475	0.938333333	0.925833333	0.900833333	0.6075	0.590833333	0.7325	0.8825
2003-02-07 10	3.0475	2.070833333	2.229166667	21.03333333	0.944166667	0.938333333	0.909166667	0.5925	0.618333333	0.711666667	0.903333333
2003-02-07 11	3.035	2.0725	2.228333333	20.8	0.946666667	0.944166667	0.925833333	0.583333333	0.618333333	0.69	0.905833333
2003-02-07 12	3.005	2.018333333	2.220833333	20.60833333	0.946666667	0.946666667	0.938333333	0.564166667	0.6075	0.6675	0.8925
2003-02-07 13	3.085	2.025833333	2.22	20.43333333	0.943333333	0.946666667	0.944166667	0.4025	0.5925	0.653333333	0.888333333
2003-02-07 14	3.075	2.024166667	2.216666667	20.21666667	0.960833333	0.943333333	0.946666667	0.578333333	0.583333333	0.6375	0.8875
2003-02-07 15	2.9825	2.0275	2.174166667	20.08333333	0.946666667	0.960833333	0.946666667	0.62	0.564166667	0.640833333	0.865
2003-02-07 16	2.9475	2.0675	2.2	20.28333333	0.940833333	0.946666667	0.943333333	0.6525	0.4025	0.629166667	0.8625
2003-02-07 17	2.9075	2.103333333	2.1925	20.30833333	0.938333333	0.940833333	0.960833333	0.699166667	0.578333333	0.625833333	0.87
2003-02-07 18	2.915	2.108333333	2.225	20.25	0.925	0.938333333	0.946666667	0.7275	0.62	0.608333333	0.874166667
2003-02-07 19	2.925	2.145833333	2.2	20.05	0.901666667	0.925	0.940833333	0.743333333	0.6525	0.639166667	0.866666667
2003-02-07 20	2.9	2.169166667	2.205	20.00833333	0.929166667	0.901666667	0.938333333	0.761666667	0.699166667	0.6375	0.8575
2003-02-07 21	2.865	2.178333333	2.156666667	20.44166667	0.926666667	0.929166667	0.925	0.81	0.7275	0.636666667	0.8825
2003-02-07 22	2.9275	2.166666667	2.155833333	21.25833333	0.9275	0.926666667	0.901666667	0.846666667	0.743333333	0.624166667	0.895833333
2003-02-07 23	2.95	2.1375	2.0975	21.8	0.918333333	0.9275	0.929166667	0.853333333	0.761666667	0.613333333	0.9
2003-02-08 00	3.0375	2.148333333	2.018333333	22.06666667	0.903333333	0.918333333	0.926666667	0.865833333	0.81	0.600833333	0.899166667
2003-02-08 01	2.95	2.175	1.980833333	22.525	0.890833333	0.903333333	0.9275	0.874166667	0.846666667	0.591666667	0.89
2003-02-08 02	2.91	2.188333333	2.0875	22.98333333	0.879166667	0.890833333	0.918333333	0.890833333	0.853333333	0.59	0.875
2003-02-08 03	2.915	2.149166667	2.070833333	23.275	0.8725	0.879166667	0.903333333	0.885833333	0.865833333	0.588333333	0.8625
2003-02-08 04	2.935	2.150833333	2.0725	23.2	0.8575	0.8725	0.890833333	0.885	0.874166667	0.58	0.850833333
2003-02-08 05	2.9425	2.164166667	2.018333333	23.16666667	0.851666667	0.8575	0.879166667	0.8975	0.890833333	0.590833333	0.853333333
2003-02-08 06	2.9375	2.156666667	2.025833333	22.9	0.8475	0.851666667	0.8725	0.900833333	0.885833333	0.618333333	0.8575
2003-02-08 07	2.9825	2.231666667	2.024166667	22.35833333	0.835833333	0.8475	0.8575	0.909166667	0.885	0.618333333	0.858333333
2003-02-08 08	2.99	2.185	2.0275	21.59166667	0.835833333	0.835833333	0.851666667	0.925833333	0.8975	0.6075	0.848333333
2003-02-08 09	3.0025	2.235833333	2.0675	20.875	0.8825	0.835833333	0.8475	0.938333333	0.900833333	0.5925	0.855833333
2003-02-08 10	2.9875	2.166666667	2.103333333	20.50833333	0.903333333	0.8825	0.835833333	0.944166667	0.909166667	0.583333333	0.895833333
2003-02-08 11	2.995	2.125	2.108333333	20.30833333	0.905833333	0.903333333	0.835833333	0.946666667	0.925833333	0.564166667	0.94
2003-02-08 12	3.0175	2.1275	2.145833333	20.16666667	0.8925	0.905833333	0.8825	0.946666667	0.938333333	0.4025	0.955
2003-02-08 13	3.12	2.126666667	2.169166667	20.1	0.888333333	0.8925	0.903333333	0.943333333	0.944166667	0.578333333	0.969166667
2003-02-08 14	3.17	2.081666667	2.178333333	19.99166667	0.8875	0.888333333	0.905833333	0.960833333	0.946666667	0.62	0.985
2003-02-08 15	3.16	2.085	2.166666667	19.70833333	0.865	0.8875	0.8925	0.946666667	0.946666667	0.6525	0.998333333
2003-02-08 16	3.3325	2.080833333	2.1375	19.55	0.8625	0.865	0.888333333	0.940833333	0.943333333	0.699166667	1.015
2003-02-08 17	3.2	2.071666667	2.148333333	19.45833333	0.87	0.8625	0.8875	0.938333333	0.960833333	0.7275	1.026666667
2003-02-08 18	3.1525	2.084166667	2.175	19.18333333	0.874166667	0.87	0.865	0.925	0.946666667	0.743333333	1.036666667
2003-02-08 19	3.125	2.1625	2.188333333	19.1	0.866666667	0.874166667	0.8625	0.901666667	0.940833333	0.761666667	1.045833333
2003-02-08 20	3.1275	2.2025	2.149166667	19.575	0.8575	0.866666667	0.87	0.929166667	0.938333333	0.81	1.033333333
2003-02-08 21	3.1425	2.215833333	2.150833333	20.125	0.8825	0.8575	0.874166667	0.926666667	0.925	0.846666667	1.016666667
2003-02-08 22	3.17	2.218333333	2.164166667	20.65	0.895833333	0.8825	0.866666667	0.9275	0.901666667	0.853333333	1.056666667
2003-02-08 23	3.7575	2.193333333	2.156666667	21.21666667	0.9	0.895833333	0.8575	0.918333333	0.929166667	0.865833333	1.049166667
2003-02-09 00	3.7975	2.233333333	2.231666667	21.55833333	0.899166667	0.9	0.8825	0.903333333	0.926666667	0.874166667	1.028333333
2003-02-09 01	4.0825	2.261666667	2.185	22.08333333	0.89	0.899166667	0.895833333	0.890833333	0.9275	0.890833333	1.015833333
2003-02-09 02	2.99	2.265833333	2.235833333	22.625	0.875	0.89	0.9	0.879166667	0.918333333	0.885833333	1.011666667
2003-02-09 03	2.9	2.221666667	2.166666667	23.075	0.8625	0.875	0.899166667	0.8725	0.903333333	0.885	1.005
2003-02-09 04	2.87	2.255833333	2.125	23.175	0.850833333	0.8625	0.89	0.8575	0.890833333	0.8975	0.995833333
2003-02-09 05	2.8325	2.2225	2.1275	23.14166667	0.853333333	0.850833333	0.875	0.851666667	0.879166667	0.900833333	0.995
2003-02-09 06	2.8475	2.2225	2.126666667	22.99166667	0.8575	0.853333333	0.8625	0.8475	0.8725	0.909166667	0.98
2003-02-09 07	2.7725	2.209166667	2.081666667	22.51666667	0.858333333	0.8575	0.850833333	0.835833333	0.8575	0.925833333	0.959166667
2003-02-09 08	2.935	2.265833333	2.085	21.79166667	0.848333333	0.858333333	0.853333333	0.835833333	0.851666667	0.938333333	0.960833333
2003-02-09 09	2.8225	2.246666667	2.080833333	21.00833333	0.855833333	0.848333333	0.8575	0.8825	0.8475	0.944166667	0.998333333
2003-02-09 10	2.84	2.205833333	2.071666667	20.6	0.895833333	0.855833333	0.858333333	0.903333333	0.835833333	0.946666667	0.989166667
2003-02-09 11	2.8475	2.2025	2.084166667	20.39166667	0.94	0.895833333	0.848333333	0.905833333	0.835833333	0.946666667	1.000833333
2003-02-09 12	2.875	2.169166667	2.1625	20.23333333	0.955	0.94	0.855833333	0.8925	0.8825	0.943333333	1
2003-02-09 13	2.8525	2.119166667	2.2025	20.14166667	0.969166667	0.955	0.895833333	0.888333333	0.903333333	0.960833333	1.0125
2003-02-09 14	2.8	2.168333333	2.215833333	20.08333333	0.985	0.969166667	0.94	0.8875	0.905833333	0.946666667	1.011666667
2003-02-09 15	2.8	2.180833333	2.218333333	20	0.998333333	0.985	0.955	0.865	0.8925	0.940833333	1.004166667
2003-02-09 16	2.7725	2.206666667	2.193333333	19.9	1.015	0.998333333	0.969166667	0.8625	0.888333333	0.938333333	1.005
2003-02-09 17	2.845	2.200833333	2.233333333	19.81666667	1.026666667	1.015	0.985	0.87	0.8875	0.925	1.02
2003-02-09 18	2.8	2.220833333	2.261666667	19.525	1.036666667	1.026666667	0.998333333	0.874166667	0.865	0.901666667	1.025
2003-02-09 19	2.75	2.248333333	2.265833333	19.25833333	1.045833333	1.036666667	1.015	0.866666667	0.8625	0.929166667	1.004166667
2003-02-09 20	2.8075	2.256666667	2.221666667	19.175	1.033333333	1.045833333	1.026666667	0.8575	0.87	0.926666667	1.006666667
2003-02-09 21	2.8725	2.2625	2.255833333	19.55	1.016666667	1.033333333	1.036666667	0.8825	0.874166667	0.9275	1.036666667
2003-02-09 22	2.8275	2.263333333	2.2225	20.56666667	1.056666667	1.016666667	1.045833333	0.895833333	0.866666667	0.918333333	1.015833333
2003-02-09 23	2.8225	2.290833333	2.2225	21.38333333	1.049166667	1.056666667	1.033333333	0.9	0.8575	0.903333333	1.010833333
2003-02-10 00	2.8075	2.300833333	2.209166667	21.88333333	1.028333333	1.049166667	1.016666667	0.899166667	0.8825	0.890833333	1
2003-02-10 01	2.92	2.2775	2.265833333	22.58333333	1.015833333	1.028333333	1.056666667	0.89	0.895833333	0.879166667	0.984166667
2003-02-10 02	2.89	2.308333333	2.246666667	23.31666667	1.011666667	1.015833333	1.049166667	0.875	0.9	0.8725	0.979166667
2003-02-10 03	2.8825	2.264166667	2.205833333	23.84166667	1.005	1.011666667	1.028333333	0.8625	0.899166667	0.8575	0.96
2003-02-10 04	2.8775	2.235833333	2.2025	23.89166667	0.995833333	1.005	1.015833333	0.850833333	0.89	0.851666667	0.940833333
2003-02-10 05	3.4325	2.248333333	2.169166667	23.86666667	0.995	0.995833333	1.011666667	0.853333333	0.875	0.8475	0.9425
2003-02-10 06	6.1225	2.246666667	2.119166667	23.58333333	0.98	0.995	1.005	0.8575	0.8625	0.835833333	0.938333333
2003-02-10 07	4.195	2.250833333	2.168333333	23.125	0.959166667	0.98	0.995833333	0.858333333	0.850833333	0.835833333	0.9325
2003-02-10 08	1.5225	2.241666667	2.180833333	22.24166667	0.960833333	0.959166667	0.995	0.848333333	0.853333333	0.8825	0.946666667
2003-02-10 09	2.9375	2.221666667	2.206666667	21.36666667	0.998333333	0.960833333	0.98	0.855833333	0.8575	0.903333333	0.936666667
2003-02-10 10	2.975	2.218333333	2.200833333	20.86666667	0.989166667	0.998333333	0.959166667	0.895833333	0.858333333	0.905833333	0.961666667
2003-02-10 11	2.95	2.221666667	2.220833333	20.575	1.000833333	0.989166667	0.960833333	0.94	0.848333333	0.8925	0.975
2003-02-10 12	2.88	2.240833333	2.248333333	20.41666667	1	1.000833333	0.998333333	0.955	0.855833333	0.888333333	0.968333333
2003-02-10 13	2.9925	2.218333333	2.256666667	20.3	1.0125	1	0.989166667	0.969166667	0.895833333	0.8875	0.9625
2003-02-10 14	2.87	2.189166667	2.2625	20.2	1.011666667	1.0125	1.000833333	0.985	0.94	0.865	0.968333333
2003-02-10 15	2.93	2.2025	2.263333333	20.075	1.004166667	1.011666667	1	0.998333333	0.955	0.8625	1.000833333
2003-02-10 16	2.9475	2.196666667	2.290833333	20	1.005	1.004166667	1.0125	1.015	0.969166667	0.87	1.020833333
2003-02-10 17	2.835	2.204166667	2.300833333	19.90833333	1.02	1.005	1.011666667	1.026666667	0.985	0.874166667	1.024166667
2003-02-10 18	2.915	2.210833333	2.2775	19.69166667	1.025	1.02	1.004166667	1.036666667	0.998333333	0.866666667	1.040833333
2003-02-10 19	2.9125	2.25	2.308333333	19.6	1.004166667	1.025	1.005	1.045833333	1.015	0.8575	1.073333333
2003-02-10 20	2.8525	2.2825	2.264166667	19.8	1.006666667	1.004166667	1.02	1.033333333	1.026666667	0.8825	1.081666667
2003-02-10 21	3.0175	2.314166667	2.235833333	20.36666667	1.036666667	1.006666667	1.025	1.016666667	1.036666667	0.895833333	1.065
2003-02-10 22	2.87	2.31	2.248333333	20.91666667	1.015833333	1.036666667	1.004166667	1.056666667	1.045833333	0.9	1.0325
2003-02-10 23	2.8625	2.306666667	2.246666667	21.51666667	1.010833333	1.015833333	1.006666667	1.049166667	1.033333333	0.899166667	1.0275
2003-02-11 00	2.89	2.275833333	2.250833333	21.93333333	1	1.010833333	1.036666667	1.028333333	1.016666667	0.89	1.0375
2003-02-11 01	2.9	2.2275	2.241666667	22.45833333	0.984166667	1	1.015833333	1.015833333	1.056666667	0.875	1.018333333
2003-02-11 02	2.905	2.254166667	2.221666667	22.95833333	0.979166667	0.984166667	1.010833333	1.011666667	1.049166667	0.8625	1.015833333
2003-02-11 03	2.8975	2.249166667	2.218333333	23.15833333	0.96	0.979166667	1	1.005	1.028333333	0.850833333	1.008333333
2003-02-11 04	2.9925	2.209166667	2.221666667	23.30833333	0.940833333	0.96	0.984166667	0.995833333	1.015833333	0.853333333	0.9975
2003-02-11 05	3.07	2.215	2.240833333	23.21666667	0.9425	0.940833333	0.979166667	0.995	1.011666667	0.8575	0.975833333
2003-02-11 06	3.005	2.1875	2.218333333	22.96666667	0.938333333	0.9425	0.96	0.98	1.005	0.858333333	0.980833333
2003-02-11 07	2.9925	2.241666667	2.189166667	22.45833333	0.9325	0.938333333	0.940833333	0.959166667	0.995833333	0.848333333	1.03
