Sample	RwTurbidity	RwPh	RwColour	RwUvAbs254	RwAlk	AlumDose	FwUvAbs254
78	7.3	7.48	34.28	0.21	96	30	0.11
79	7.3	7.48	34.28	0.21	96	40	0.11
80	7.3	7.48	34.28	0.21	96	50	0.1
81	7.3	7.48	34.28	0.21	96	60	0.1
82	7.3	7.48	34.28	0.21	96	80	0.09
83	7.3	7.48	34.28	0.21	96	100	0.09
84	3.5	7.51	13.31	0.23	38	20	0.15
85	3.5	7.51	13.31	0.23	38	22.5	0.14
86	3.5	7.51	13.31	0.23	38	25	0.13
87	3.5	7.51	13.31	0.23	38	27.5	0.13
88	3.5	7.51	13.31	0.23	38	30	0.12
89	3.5	7.51	13.31	0.23	38	35	0.11
90	3.5	7.51	13.31	0.23	38	40	0.1
91	3.5	7.51	13.31	0.23	38	45	0.09
92	3.2	7.91	35.6	0.25	75	15	0.17
93	3.2	7.91	35.6	0.25	75	20	0.15
94	3.2	7.91	35.6	0.25	75	25	0.14
95	3.2	7.91	35.6	0.25	75	30	0.13
96	3.2	7.91	35.6	0.25	75	35	0.12
97	3.2	7.91	35.6	0.25	75	40	0.11
98	4.8	8.37	31.22	0.25	124	10	0.2
99	4.8	8.37	31.22	0.25	124	20	0.17
100	4.8	8.37	31.22	0.25	124	30	0.15
101	4.8	8.37	31.22	0.25	124	40	0.14
102	4.8	8.37	31.22	0.25	124	50	0.13
103	4.8	8.37	31.22	0.25	124	60	0.12
104	1.55	8.07	8.07	0.08	95	2.5	0.08
105	1.55	8.07	8.07	0.08	95	5	0.07
106	1.55	8.07	8.07	0.08	95	7.5	0.07
107	1.55	8.07	8.07	0.08	95	10	0.06
108	1.55	8.07	8.07	0.08	95	12.5	0.06
109	1.55	8.07	8.07	0.08	95	15	0.06
110	1.55	8.07	8.07	0.08	95	20	0.05
111	1.55	8.07	8.07	0.08	95	20	0.05
112	73	7.92	41.77	0.17	155	30	0.11
113	73	7.92	41.77	0.17	155	40	0.1
114	73	7.92	41.77	0.17	155	45	0.09
115	73	7.92	41.77	0.17	155	50	0.09
116	73	7.92	41.77	0.17	155	55	0.09
117	73	7.92	41.77	0.17	155	60	0.08
118	73	7.92	41.77	0.17	155	70	0.08
119	73	7.92	41.77	0.17	155	80	0.08
120	73	7.92	41.77	0.17	155	100	0.07
121	3.1	8.45	7.02	0.08	130	5	0.07
122	3.1	8.45	7.02	0.08	130	15	0.06
123	3.1	8.45	7.02	0.08	130	20	0.06
124	3.1	8.45	7.02	0.08	130	25	0.05
125	3.1	8.45	7.02	0.08	130	30	0.05
126	3.1	8.45	7.02	0.08	130	40	0.05
127	3.1	8.45	7.02	0.08	130	60	0.04
128	4.1	7.6	33.74	0.21	59	15	0.08
129	4.1	7.6	33.74	0.21	59	20	0.07
130	4.1	7.6	33.74	0.21	59	25	0.06
131	4.1	7.6	33.74	0.21	59	30	0.05
132	4.1	7.6	33.74	0.21	59	35	0.05
133	4.1	7.6	33.74	0.21	59	40	0.04
134	4.1	7.75	76.81	0.32	61	30	0.13
135	4.1	7.75	76.81	0.32	61	35	0.12
136	4.1	7.75	76.81	0.32	61	40	0.11
137	4.1	7.75	76.81	0.32	61	45	0.09
138	4.1	7.75	76.81	0.32	61	50	0.09
139	4.1	7.75	76.81	0.32	61	55	0.08
140	3	7.86	81.92	0.49	62	40	0.23
141	3	7.86	81.92	0.49	62	50	0.18
142	3	7.86	81.92	0.49	62	60	0.15
143	3	7.86	81.92	0.49	62	70	0.13
144	3	7.86	81.92	0.49	62	75	0.12
145	46	7.71	16.23	0.1	55	10	0.05
146	46	7.71	16.23	0.1	55	15	0.04
147	46	7.71	16.23	0.1	55	20	0.04
148	46	7.71	16.23	0.1	55	25	0.04
149	46	7.71	16.23	0.1	55	30	0.03
150	46	7.71	16.23	0.1	55	35	0.03
151	5	7.98	27.18	0.15	67	10	0.13
152	5	7.98	27.18	0.15	67	15	0.11
153	5	7.98	27.18	0.15	67	20	0.1
154	5	7.98	27.18	0.15	67	25	0.09
155	5	7.98	27.18	0.15	67	30	0.08
156	30	7.97	24.26	0.14	65	15	0.11
157	30	7.97	24.26	0.14	65	20	0.1
158	30	7.97	24.26	0.14	65	25	0.09
159	30	7.97	24.26	0.14	65	30	0.09
160	30	7.97	24.26	0.14	65	35	0.08
161	30	7.97	24.26	0.14	65	40	0.07
162	0.33	7.8	18.42	0.16	65	5	0.14
163	0.33	7.8	18.42	0.16	65	10	0.12
164	0.33	7.8	18.42	0.16	65	15	0.11
165	0.33	7.8	18.42	0.16	65	20	0.1
166	0.33	7.8	18.42	0.16	65	25	0.09
167	0.33	7.8	18.42	0.16	65	30	0.08
168	51	7.55	29.36	0.22	55	20	0.16
169	51	7.55	29.36	0.22	55	25	0.14
170	51	7.55	29.36	0.22	55	30	0.12
171	51	7.55	29.36	0.22	55	35	0.11
172	51	7.55	29.36	0.22	55	40	0.1
173	51	7.55	29.36	0.22	55	45	0.09
174	51	7.55	29.36	0.22	55	50	0.08
175	51	7.55	29.36	0.22	55	55	0.08
176	47	7.48	26.45	0.14	53	20	0.08
177	47	7.48	26.45	0.14	53	25	0.07
178	47	7.48	26.45	0.14	53	30	0.06
179	47	7.48	26.45	0.14	53	35	0.06
180	47	7.48	26.45	0.14	53	40	0.05
181	47	7.48	26.45	0.14	53	45	0.05
182	7	8.09	7.61	0.07	72	5	0.06
183	7	8.09	7.61	0.07	72	10	0.06
184	7	8.09	7.61	0.07	72	15	0.05
185	7	8.09	7.61	0.07	72	20	0.05
186	7	8.09	7.61	0.07	72	30	0.04
187	7	8.09	7.61	0.07	72	40	0.04
188	7	8.09	7.61	0.07	72	60	0.04
189	7	8.09	7.61	0.07	72	80	0.03
190	7.8	8.27	9	0.08	74	10	0.07
191	7.8	8.27	9	0.08	74	20	0.06
192	7.8	8.27	9	0.08	74	30	0.05
193	7.8	8.27	9	0.08	74	40	0.05
194	7.8	8.27	9	0.08	74	50	0.04
195	7.8	8.27	9	0.08	74	60	0.04
196	7.8	8.27	9	0.08	74	80	0.04
197	7.8	8.27	9	0.08	74	100	0.04
198	2.8	8.04	32.41	0.29	77	30	0.17
199	2.8	8.04	32.41	0.29	77	40	0.16
200	2.8	8.04	32.41	0.29	77	50	0.13
201	2.8	8.04	32.41	0.29	77	60	0.12
202	2.8	8.04	32.41	0.29	77	80	0.1
203	2.8	8.04	32.41	0.29	77	100	0.08


## Fixed record 27 RwUvAbs254 from 1.22 to 0.22.
