n	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	y1
39	-3.73359	3.04958	-1.80198	3.18204	-0.605321	-4.52422	4.59484	1.52879	-4.84969	2.5031	2.53739	2.24727	0.213481	0.572298	0.439192	-0.398155
40	4.99822	2.46342	4.3346	-4.77951	0.235387	4.03818	-1.10225	0.587789	-2.30907	3.02421	-3.35094	-4.98273	-4.01628	-2.4014	-3.71632	-0.183723
41	4.03329	0.796622	4.46572	-1.57203	1.2724	4.06057	4.95677	1.42271	1.56367	2.49416	-1.33001	-3.22285	-1.93354	4.10918	0.0941223	-0.179647
42	-2.44246	1.81682	4.32789	2.79293	0.855004	-1.77436	-1.61928	3.54593	-3.75015	0.0297749	3.56321	-2.76643	2.62838	4.84689	-3.73314	0.0666374
43	-1.575	4.31261	-0.305165	4.6974	3.37318	-0.3484	1.12012	-0.063157	-2.85424	4.7901	1.71399	0.212217	3.89928	-3.19189	-2.30556	-0.0796701
44	4.51126	2.33458	-2.84142	0.366266	-4.43978	0.539296	-1.0878	-3.18993	-4.43093	-2.52459	-0.956361	3.19745	-2.67771	0.310502	-3.37755	-0.212555
45	-3.3651	-4.99466	-3.68015	-4.99192	-0.343062	2.43996	-0.0550807	1.8027	2.23007	-3.34109	-2.98509	1.12935	-1.53298	-0.290644	-0.863972	0.0978181
46	-3.5294	4.99126	4.58688	-2.96918	0.530554	-1.50092	-1.15911	1.09962	0.97449	2.88453	-0.702928	3.29678	-1.80497	0.919517	4.93168	-0.0663871
47	-1.79963	2.23937	4.93976	2.85731	-0.320671	-0.115323	-0.339994	-3.0906	1.54359	1.67492	3.03874	-4.98939	-3.61572	-2.82523	2.84329	0.182301
48	2.83455	0.191779	0.676198	-1.6349	3.69086	4.51709	4.46473	-0.334647	2.40162	-1.2382	-2.03787	-4.40335	4.68132	-2.10619	-1.20298	-0.0970882
49	1.92068	-2.16643	-3.34567	-3.39999	2.71825	1.31434	-1.49059	-0.738163	-2.01074	-3.45185	-0.727551	-0.626464	-1.27708	-2.88426	4.97843	0.101
50	-1.68461	-1.13893	-2.43842	-2.21989	3.52643	4.96321	1.54191	-3.51144	-4.44014	1.22323	-0.617625	-0.643116	-1.85609	2.21595	1.01122	0.247395
51	-0.25608	-0.0658022	-2.67444	3.25333	4.19603	0.314816	4.80148	-1.53152	4.68835	-1.4756	0.584221	4.66678	-4.1073	0.534507	-0.163005	0.963163
52	3.69807	1.49878	-3.36999	2.2245	1.46198	3.17192	3.71306	2.02184	-0.604849	-1.90457	-3.62127	2.53906	-4.68862	2.38994	-2.71702	-0.0966756
53	0.245577	4.7155	-4.46369	-0.558388	0.0303164	-4.66222	2.9101	-0.281331	-1.13782	-1.50568	-0.614547	-0.245121	4.02882	4.22245	3.69207	-0.149256
54	0.190848	4.50873	0.145012	-3.34717	2.68065	-1.14193	3.67467	-2.9242	1.9535	-4.9466	4.61486	2.26488	2.44334	-3.10216	-2.48954	-0.153771
55	2.15884	-2.56585	1.95207	-2.81084	-2.22807	-0.137835	1.90783	1.63411	3.35648	-3.70672	-3.61101	2.38531	-4.48427	-4.91894	0.264025	0.0589465
56	-0.227248	-1.41874	1.92474	-2.5466	2.43933	0.599413	-0.470798	-0.607175	0.652812	-0.855938	-3.3423	-1.90385	1.0419	-0.831839	-4.745	0.699363
57	3.47605	-3.87977	-2.55584	-3.75202	0.982395	4.35199	2.88209	-0.661123	-4.35473	4.27108	-3.27582	-3.839	4.35214	1.98821	4.59724	-0.18384
58	-1.8215	-3.45122	-0.785638	-4.38218	2.1482	3.74356	0.0106492	-2.19899	-2.11237	1.66835	0.897164	3.92953	-4.16349	1.15216	2.40557	-0.306579
59	-3.04326	3.59632	3.65355	2.93914	2.9483	1.53564	-2.72198	3.59357	0.80671	-0.997801	4.75457	0.158846	-4.00959	4.35181	4.78289	-0.297789
60	-3.66833	1.96573	-1.85187	3.47987	0.709293	3.15878	-3.71912	3.59692	-0.172867	2.17804	2.52644	0.663647	-1.66979	-0.0679817	2.62039	-0.298707
61	-3.07348	-1.41443	0.559531	4.87483	-4.8788	2.83755	3.4684	0.927913	-3.16025	3.22296	-3.91324	-2.16985	2.57477	-4.13035	0.581519	-0.186763
62	-4.31881	3.25654	-3.58801	-3.03792	1.85346	1.23912	4.14012	-0.620096	-3.09723	-2.52967	4.31192	4.52316	-0.60315	-2.10251	0.0826896	-0.224426
63	-0.728322	-1.98131	-2.07976	-2.25992	3.9466	-0.240019	-4.03696	-4.96664	2.59013	3.53781	-4.09699	-1.82835	3.64289	-1.89567	0.718901	0.287674
64	-1.02456	-1.69191	0.747605	-4.1711	4.54721	-0.112275	0.208806	-3.55003	2.35805	-0.479271	-4.02687	-3.2451	2.41822	1.05582	1.02658	0.417835
65	-4.56309	3.97606	3.76666	4.38352	-1.26396	4.7297	4.41688	-3.67383	3.26751	-4.68011	-0.502175	1.9104	-1.57577	-4.78327	3.8065	0.125287
66	-2.88541	-2.04264	0.0210699	-3.33821	2.84509	-4.77012	-1.88824	0.203138	-0.249395	-0.915104	1.95804	-2.83118	-4.85928	-2.01538	-2.39426	-0.16812
67	4.11677	-3.24873	-3.01075	-2.14719	-3.51903	-3.59387	-0.821014	4.74848	-3.27398	3.67681	1.65888	0.150247	3.89354	0.46538	-2.64	-0.243609
68	0.317364	3.10678	4.24176	-1.83755	3.33665	-2.64648	3.36559	-1.91274	1.43842	0.323626	0.25608	1.57913	3.30824	2.86182	0.695907	0.112797
69	-4.94048	4.85107	3.54872	-3.45951	-3.7428	-2.27229	-3.71103	-2.01678	-3.59548	2.94785	3.13346	-4.70194	-1.58677	-4.50653	-1.61624	-0.00162665
70	-3.50946	-4.76505	3.97328	4.82719	-2.41153	2.33887	-2.08555	4.02688	-2.33751	3.17053	0.606017	-4.02926	1.03234	-3.69808	-3.96974	-0.0425537
71	0.883409	4.85065	-2.42925	2.14061	-2.42165	-1.14028	-4.87618	-1.01713	-3.19244	3.25729	-0.719071	0.220794	3.75076	2.66469	1.21399	-0.206911
72	1.44894	-1.46513	3.98242	4.03741	-4.12627	-3.10313	3.06429	-1.46377	-4.93261	-1.32969	-0.493031	1.09973	-0.0277703	0.537227	-3.01686	0.512517
73	-0.177125	3.10797	4.12375	2.40123	-3.03231	4.24757	-3.6159	-1.22475	2.50486	0.665029	3.99605	1.25562	-1.67028	0.210035	-4.1828	-0.0416665
74	-0.647931	-3.53263	-4.30362	0.225804	-1.63576	3.76067	3.76203	-1.56837	-2.56903	-1.731	4.53136	2.4032	3.80623	-3.48549	-2.77392	-0.188642
75	1.9142	-4.36174	4.6273	3.88189	4.88583	-3.9886	-2.34286	2.39069	1.67643	-3.34681	-1.3537	-4.99385	1.86323	-0.536493	-2.5089	-0.227627
76	-0.958621	2.32271	2.97924	-2.19659	-4.24566	-4.58979	1.07241	-4.7143	2.81341	-0.121357	-3.19979	-4.96051	-3.20715	-2.56154	4.66679	0.306832
77	-4.32526	-2.67571	-4.32181	-1.66812	4.71498	2.35463	-0.0149301	-1.63872	2.36078	-3.1517	2.82479	4.85188	-4.62951	1.64036	-1.18964	-0.228457
78	-1.51484	-3.1126	2.97851	4.55757	-2.8269	0.791921	-0.563786	-1.02669	0.831407	1.22906	1.41177	0.498196	1.90379	3.73606	1.17639	-0.0607333
79	-4.76433	3.45103	-1.46899	0.220743	-3.18768	-4.10821	2.06904	4.63711	-4.25633	2.43953	1.27747	-0.445969	2.0286	1.95921	0.687095	-0.0715046
80	2.5745	-2.42459	-4.99806	4.7476	3.36733	-0.561845	-1.2791	-0.801262	-4.33279	-4.86733	4.69693	2.57101	3.86873	0.873322	2.80668	-0.168273
81	2.31976	4.40434	-1.97258	4.13208	-4.70387	-4.90354	3.76919	-3.9602	2.53599	0.0466571	0.593833	-0.435411	-2.99413	-3.71907	4.16149	-0.224769
82	-3.2631	-2.54782	3.60302	-4.89577	1.89034	-2.67607	-0.697034	2.55755	-2.5434	-1.0001	0.128559	-3.67468	4.87322	-2.06476	3.64509	-0.156289
83	4.27756	0.962665	2.77717	4.57368	1.05913	1.54635	-4.38651	-1.40488	-3.40699	1.20732	3.15971	-1.40112	2.48825	2.3212	1.04912	-0.19104
84	3.50131	-0.0533063	4.16232	0.391643	2.27062	-1.53471	-2.05081	4.72722	2.46519	3.07775	-3.94746	2.33841	-3.98701	4.69763	1.61597	-0.0254722
85	1.97566	2.47479	1.18965	-1.96521	-0.978855	1.80314	1.62991	0.614154	-1.98954	-0.210378	4.21304	-4.5013	-2.88918	0.262158	1.84238	-0.0965294
86	-3.21093	-4.66876	4.15511	4.05969	-1.20347	-2.8957	3.7869	-3.73828	-4.81794	4.83945	3.60013	-3.80495	4.53707	0.2161	3.17071	-0.130688
87	2.01187	-3.59425	-3.7945	-3.96699	3.20889	2.83541	1.64716	-3.78065	-2.37497	0.8602	-3.28195	-0.264151	-3.87764	3.56043	0.904766	-0.202594
88	1.23601	-0.95907	4.40919	-4.96746	1.14523	3.19609	-3.70574	1.32729	3.03554	4.89439	2.52234	2.57261	0.11049	0.693046	-0.415526	0.585477
89	1.51624	1.89854	0.617484	-0.274868	-0.266051	-2.73535	0.94448	2.35898	3.12485	2.66253	-2.90517	4.24721	1.22296	2.99959	-0.866972	0.453246
90	3.17396	0.981642	-0.731863	-0.68081	-0.822267	0.562395	-4.35352	-2.78673	0.456785	3.16881	4.78588	-4.43273	-1.13814	-0.629648	2.08352	-0.143725
91	-4.2396	4.98784	-3.19135	0.494351	-2.74752	2.75313	-2.14667	-4.62267	0.415662	-0.0518456	4.62454	-3.36138	-2.05225	-1.24243	3.21108	0.101447
92	-0.80728	-3.54852	1.25071	3.37045	2.01388	1.89719	-4.41628	-2.52934	0.0660055	-4.6304	-1.96206	3.92787	-0.260047	-4.87854	4.68827	-0.217915
93	-0.272211	-3.0699	0.182618	1.98027	4.68323	3.03595	2.35761	0.0988958	-2.0159	1.98214	1.73752	0.931848	-4.26029	-0.0514057	-1.88481	-0.00280424
94	-0.433323	3.92195	2.51177	-3.41944	0.819142	3.09549	-0.948781	-4.11485	3.46509	2.08916	4.81301	-1.79495	2.21061	4.50128	2.93283	-0.143159
95	4.14072	-0.316101	-0.0868922	3.82395	-2.28015	-2.72929	-1.07715	0.703946	4.25286	-4.33964	-3.36421	4.99257	0.608959	-0.249012	-2.33619	-0.208468
96	-3.41424	-2.73796	-4.10178	2.4049	-4.64247	-0.0505596	3.29005	3.82262	-2.9614	3.10306	-2.97233	4.24921	2.60434	4.96051	3.38993	-0.139679
97	-2.71176	-0.126387	2.21388	0.00808352	2.14433	-3.86327	-4.28797	1.39718	-3.20291	-2.65218	1.38975	2.40605	2.09881	4.05356	-2.84367	0.170706
98	-0.581632	2.3147	3.04421	-0.2241	-2.73586	1.33426	-1.40147	-0.697264	-0.562684	0.626196	-1.44805	-2.95834	0.586701	-3.05812	-0.670106	0.231121
99	-4.53969	4.15576	4.33798	2.60464	-4.70751	-4.94999	-0.998176	-2.91042	-2.60217	-4.60842	4.49563	4.49664	4.44513	-3.34804	0.913118	-0.0774346
100	-4.15377	0.491954	-0.537082	-0.555246	4.79469	3.90023	-4.92905	-1.65336	-4.05811	0.657651	0.288514	0.271783	1.11796	-0.555728	-0.390239	-0.106403
101	-1.2774	-0.263241	-0.340232	2.72443	1.82634	2.0576	3.116	1.32197	1.55424	2.56114	2.97394	-2.53264	2.64559	-0.955735	0.695173	1.00939
102	-3.81287	-4.76283	4.33525	-4.01818	4.1374	4.4062	-0.671546	-4.92071	0.0638483	4.61697	0.351073	-3.81819	-0.93876	4.96083	-0.0955834	-0.0678423
103	3.798	-0.379399	-2.37116	0.62434	-3.3218	-4.25515	-3.05368	3.23244	3.30599	4.92025	-4.3002	0.951575	-1.03548	1.39497	-3.27418	-0.118349
104	-3.03701	3.19026	3.56391	-3.89961	2.59646	-2.10763	-3.82032	-2.3397	-2.49067	1.53075	-1.15788	1.57057	1.49158	3.74653	0.368574	-0.185937
105	-3.88782	-3.62462	-4.00709	-2.20962	-2.87977	-2.06077	-3.97718	-4.57379	-2.14052	-3.27738	1.37779	1.824	3.11759	3.10361	0.679005	-0.153308
106	-1.13074	-0.736408	-3.83301	-3.53428	2.15596	-2.65334	-0.873978	4.66529	3.87741	2.96814	1.23587	0.368998	1.71467	-3.39556	1.48118	0.71135
107	3.09005	-2.40265	4.27157	-4.78973	0.536582	-4.70561	-4.36351	3.39606	-2.983	2.01428	0.220058	-4.86541	0.117887	-4.10094	0.83427	0.0311233
108	-4.90214	1.35147	1.23404	2.25382	3.69814	-4.63993	1.91911	2.57555	3.3282	-1.84502	-2.05545	0.0428745	-0.240583	4.42573	-1.86708	-0.446185
109	2.35677	3.6973	-1.6568	-2.10665	3.99168	-1.02032	-3.71058	-3.99131	-4.00604	1.50947	-3.85672	1.11185	2.40854	1.97755	-3.70367	-0.312013
110	2.64781	3.41091	-0.670771	1.34594	3.77097	-3.75166	-1.07851	2.09918	-0.596683	1.86604	-2.85795	4.16273	1.29177	0.274976	1.5195	-0.143173
111	-0.0109321	3.61817	4.41286	-1.01925	-2.40215	-4.29773	-0.0105616	-1.40819	2.21175	1.13272	4.70366	-0.379717	-1.88974	-4.00001	1.79715	-0.00858319
112	-0.00625974	-1.02097	0.76324	3.91523	-3.92179	-4.83344	0.781275	-1.77974	4.32929	-2.92695	3.49524	0.848796	2.06211	2.11341	0.261653	0.559483
113	-3.95713	4.71126	0.963925	1.0323	-1.69692	-1.82433	-2.83498	-1.99326	2.79595	0.275281	-0.993268	-0.406899	0.460952	-2.34547	4.80116	-0.212735
114	1.5635	-0.141603	0.905648	-2.65522	3.07866	0.234939	-0.582175	1.5739	-3.91627	-3.52006	-1.31269	1.34539	-2.47719	-1.60143	-2.69069	0.753059
115	3.55511	1.70165	0.484982	-4.27987	4.70839	-1.71906	0.995409	-1.28488	2.87404	-3.54364	1.36965	2.67519	-3.56779	-0.982075	-3.54462	-0.170997
116	1.31378	-1.92305	-2.07379	-0.607565	3.31189	2.34403	-4.03367	4.39562	3.82397	-0.346359	0.741009	-3.65322	3.05221	3.05032	4.90189	0.289437
117	-0.246135	-1.4647	-4.37799	-0.537744	1.81624	1.61742	3.17738	-0.309726	3.07378	-0.452966	-2.63453	4.506	3.56496	-1.17915	1.6773	0.649768
118	4.41663	0.49339	2.46176	3.2406	-4.85297	-1.79723	4.58738	3.19924	-3.74691	4.48926	-2.04689	-0.211609	-4.88872	2.41537	-3.39537	-0.0804141
119	1.7287	0.592745	1.2949	-0.197517	-4.86022	3.66037	-0.691521	3.70474	-2.51879	-4.01422	2.85112	-2.38416	-4.25998	4.92372	2.14289	0.390182
120	2.58095	-2.21668	4.47068	2.16832	-4.01744	-4.27623	1.65758	-1.06433	0.512163	1.76886	-3.64897	2.11679	-1.50244	1.94378	-1.58831	-0.00112983
121	3.30004	2.08356	-2.92794	-2.39148	0.788296	-0.446721	-1.4057	-1.36058	2.16912	-0.665677	-1.43686	-0.68799	-1.85952	-2.09651	1.94829	-0.12379
122	-0.350161	0.115018	-3.9208	1.00087	-2.76819	-0.42324	-2.05535	0.643505	-2.1232	-4.97179	2.71557	0.485327	0.816509	-2.73115	4.07963	0.96958
123	4.45593	4.43796	-1.58605	-1.98093	-1.25003	1.55443	0.922555	-4.30173	0.962829	1.40699	-4.57012	-0.158089	-0.940259	-3.85595	-0.555234	0.118929
124	4.55978	4.44928	-3.20524	-3.20841	-0.973962	-0.260587	2.4351	1.90284	-0.232375	0.150667	-2.61183	-4.41587	2.41951	-3.5322	-4.95994	0.0415426
125	1.85748	-0.118255	-1.94087	-4.39255	-3.56382	3.98169	-3.69429	2.399	0.388675	-3.26441	-2.75909	4.44842	-2.12037	1.68568	2.81849	0.610213
126	2.26777	-4.53172	3.03706	-3.70619	0.20769	0.472159	3.19665	4.97532	-4.37717	-4.41518	-4.44055	3.04234	-2.94738	-4.40049	-0.100183	-0.152669
127	1.93436	-1.34135	0.507265	3.37054	-2.35967	1.81298	0.769542	3.02901	3.54857	3.01046	2.47742	-3.5718	-0.303862	0.295919	-4.89828	0.260943
128	-4.43	3.97866	-1.1425	0.777689	-0.549178	-2.94584	0.753004	0.0736486	-2.36102	1.31245	-1.88401	-0.308402	1.91197	3.01581	-3.37404	-0.0783213
129	-4.42939	-1.47693	4.9965	-1.78905	-4.66395	0.766042	-3.76004	3.88462	-1.2235	3.71738	-4.68718	3.47264	-0.986698	-4.58546	4.41424	-0.185887
130	3.3929	-4.5655	1.76223	-2.15627	-2.51135	-2.48477	2.91738	0.127631	3.82769	-3.96664	4.81923	0.739656	4.04917	-3.55481	1.31027	-0.170048
131	-2.42776	-3.55831	4.52122	-2.09171	2.20773	-4.23882	-3.20709	-4.01577	4.47856	-2.89427	4.45687	-1.50814	-2.47972	3.87111	-4.93114	-0.299562
132	-4.49665	-4.73295	-4.89226	-2.008	-2.21772	3.02512	3.11963	-3.39003	4.05848	2.93886	2.34963	3.10766	4.38405	-1.3401	-4.3201	0.167679
133	-4.17426	-1.81888	-1.41181	3.03348	-1.05771	0.381101	4.01771	-1.57915	2.48683	3.47458	1.91272	-4.99289	2.34569	1.98157	-1.48807	-0.242569
134	-1.22103	-0.282547	-4.52307	1.56126	-2.25743	3.59656	3.17123	-3.19894	1.53542	0.520858	4.90871	0.919478	4.18076	-4.41139	1.74522	0.921783
135	-2.63813	-0.823202	-0.2213	1.30417	4.5579	-1.20359	4.72502	2.04473	-2.72901	1.63774	2.05184	4.61668	-1.38069	-4.43623	-0.773609	0.0378427
136	3.94384	-3.41885	-4.096	-3.31358	-4.82228	4.07523	-1.51253	1.71314	-0.403915	-1.60382	-2.36738	-1.22316	-1.01521	4.37784	1.13872	-0.183634
137	3.16159	-0.843459	-2.55712	2.71949	2.95295	-2.83209	-0.23578	-4.77606	3.80564	-3.18394	4.84062	-2.57505	-2.62018	-0.932986	-1.47082	0.0651098
138	0.110336	2.62656	-0.302726	0.288051	1.70179	3.18475	-2.99881	-3.70213	-3.41907	-0.366191	0.0747147	0.565722	-0.988351	-3.78657	-1.27269	0.0654634
139	3.16819	-1.34369	-3.5532	1.12114	0.824221	1.21102	1.34508	-0.370135	3.02708	1.1857	2.05482	-4.5931	-4.74728	-4.416	2.12947	-0.269968
140	-0.24397	2.96085	-4.01762	-3.54218	1.1456	-2.01642	-2.24431	2.72653	2.61738	2.83041	-1.70775	-3.37097	4.04384	2.01956	4.79722	0.130821
141	-2.29985	3.46636	0.918364	3.52437	-0.322623	-2.73655	-1.84576	-2.29554	3.44915	-4.79095	-1.88864	3.70187	-4.20695	-4.75917	-3.03456	0.0155922
142	4.92629	2.46977	1.45468	1.07189	-4.54666	4.21037	-1.20159	3.07073	2.04078	2.09066	4.69976	1.08461	-0.889782	4.49698	3.78476	-0.127109
143	-2.42342	0.415348	2.30914	2.25395	2.67879	-4.53663	4.95841	1.12794	-4.32757	-1.93023	-0.17019	-3.53452	-1.6894	1.79525	2.95286	0.352723
144	0.422629	-0.237869	-2.20657	0.875972	-1.0275	1.59185	-1.0533	-3.98673	-1.3175	-1.35354	2.09789	2.79272	-1.85656	0.882651	-4.6307	1.01128
145	3.55879	-1.80821	2.62325	1.23759	-1.34484	2.58166	-2.63447	-0.672415	-4.34857	2.19534	0.793061	-1.03798	-1.00941	-1.25408	-2.73052	-0.0549646
146	0.0445223	-3.99589	-4.90259	3.99122	-2.98262	-1.22008	-2.36232	4.11527	-3.42736	0.781127	-0.00207947	-3.05806	-0.66008	3.18971	4.56519	-0.286789
147	-4.42249	-3.15513	2.14685	-2.05696	1.17245	2.79828	-4.86162	-3.03449	-3.2397	-0.871031	0.711432	-0.970221	-0.158893	-0.120018	-3.93861	-0.179354
148	3.91573	-0.917122	-2.77599	-3.44659	-1.80185	-1.20335	2.33454	3.19607	0.738592	-3.32554	1.38578	0.303783	-2.74804	3.23064	-2.54937	-0.143549
149	0.195	-0.596909	-4.75109	0.333377	1.3686	-2.99079	4.46235	-2.91997	1.03899	-0.696547	1.96002	2.10038	-2.34987	1.88452	4.16587	0.842332
150	-1.75125	-1.68177	2.35366	1.4469	2.11488	-0.311805	-0.357034	-2.14652	1.36265	-3.97126	3.15726	3.61461	4.25938	-4.39211	-1.19039	0.288684
151	-1.33753	-4.1432	4.14299	-4.96892	-2.13399	3.60534	-2.88889	3.905	-2.09121	4.07113	1.00538	0.558921	0.955649	0.171251	1.65314	-0.248485
152	4.97137	4.10956	-0.133102	2.08626	-1.20225	4.50986	4.93973	-4.8396	-4.46139	3.09699	3.77502	4.79799	3.70488	-2.41537	-1.53954	0.0609727
153	4.56168	-3.27238	-1.50846	-2.57231	-4.66704	0.602645	-3.6673	-1.75825	-0.326228	2.33807	3.80067	-4.37058	-2.49067	0.453815	-2.61468	-0.199499
