t	xt	xt.lag1	xt.lag2	xt.lag3	xt.lag4	xt.lag5	xt.plus1
53	-1.54149	-0.61856	-0.596721	1.09208	-1.93589	0.338683	-1.9633
54	-1.9633	-1.54149	-0.61856	-0.596721	1.09208	-1.93589	0.351484
55	0.351484	-1.9633	-1.54149	-0.61856	-0.596721	1.09208	0.352438
56	0.352438	0.351484	-1.9633	-1.54149	-0.61856	-0.596721	1.40383
57	1.40383	0.352438	0.351484	-1.9633	-1.54149	-0.61856	2.40259
58	2.40259	1.40383	0.352438	0.351484	-1.9633	-1.54149	-0.693323
59	-0.693323	2.40259	1.40383	0.352438	0.351484	-1.9633	-0.579331
60	-0.579331	-0.693323	2.40259	1.40383	0.352438	0.351484	0.683668
61	0.683668	-0.579331	-0.693323	2.40259	1.40383	0.352438	-0.260922
62	-0.260922	0.683668	-0.579331	-0.693323	2.40259	1.40383	3.13333
63	3.13333	-0.260922	0.683668	-0.579331	-0.693323	2.40259	1.54129
64	1.54129	3.13333	-0.260922	0.683668	-0.579331	-0.693323	-0.417065
65	-0.417065	1.54129	3.13333	-0.260922	0.683668	-0.579331	0.588928
66	0.588928	-0.417065	1.54129	3.13333	-0.260922	0.683668	-1.81218
67	-1.81218	0.588928	-0.417065	1.54129	3.13333	-0.260922	0.452961
68	0.452961	-1.81218	0.588928	-0.417065	1.54129	3.13333	-0.495279
69	-0.495279	0.452961	-1.81218	0.588928	-0.417065	1.54129	-1.20543
70	-1.20543	-0.495279	0.452961	-1.81218	0.588928	-0.417065	0.0174603
71	0.0174603	-1.20543	-0.495279	0.452961	-1.81218	0.588928	-1.11159
72	-1.11159	0.0174603	-1.20543	-0.495279	0.452961	-1.81218	-1.17236
73	-1.17236	-1.11159	0.0174603	-1.20543	-0.495279	0.452961	0.424417
74	0.424417	-1.17236	-1.11159	0.0174603	-1.20543	-0.495279	-1.33255
75	-1.33255	0.424417	-1.17236	-1.11159	0.0174603	-1.20543	1.99177
76	1.99177	-1.33255	0.424417	-1.17236	-1.11159	0.0174603	2.37913
77	2.37913	1.99177	-1.33255	0.424417	-1.17236	-1.11159	0.21339
78	0.21339	2.37913	1.99177	-1.33255	0.424417	-1.17236	0.995557
79	0.995557	0.21339	2.37913	1.99177	-1.33255	0.424417	-2.16314
80	-2.16314	0.995557	0.21339	2.37913	1.99177	-1.33255	-2.04752
81	-2.04752	-2.16314	0.995557	0.21339	2.37913	1.99177	-0.692713
82	-0.692713	-2.04752	-2.16314	0.995557	0.21339	2.37913	-0.195118
83	-0.195118	-0.692713	-2.04752	-2.16314	0.995557	0.21339	1.06002
84	1.06002	-0.195118	-0.692713	-2.04752	-2.16314	0.995557	-1.41157
85	-1.41157	1.06002	-0.195118	-0.692713	-2.04752	-2.16314	-1.77677
86	-1.77677	-1.41157	1.06002	-0.195118	-0.692713	-2.04752	0.223908
87	0.223908	-1.77677	-1.41157	1.06002	-0.195118	-0.692713	-0.416547
88	-0.416547	0.223908	-1.77677	-1.41157	1.06002	-0.195118	0.120452
89	0.120452	-0.416547	0.223908	-1.77677	-1.41157	1.06002	2.53998
90	2.53998	0.120452	-0.416547	0.223908	-1.77677	-1.41157	1.29694
91	1.29694	2.53998	0.120452	-0.416547	0.223908	-1.77677	1.23855
92	1.23855	1.29694	2.53998	0.120452	-0.416547	0.223908	-1.25564
93	-1.25564	1.23855	1.29694	2.53998	0.120452	-0.416547	-0.489252
94	-0.489252	-1.25564	1.23855	1.29694	2.53998	0.120452	-0.171799
95	-0.171799	-0.489252	-1.25564	1.23855	1.29694	2.53998	-0.999913
96	-0.999913	-0.171799	-0.489252	-1.25564	1.23855	1.29694	1.26069
97	1.26069	-0.999913	-0.171799	-0.489252	-1.25564	1.23855	-1.71136
98	-1.71136	1.26069	-0.999913	-0.171799	-0.489252	-1.25564	-0.73372
99	-0.73372	-1.71136	1.26069	-0.999913	-0.171799	-0.489252	-0.802526
100	-0.802526	-0.73372	-1.71136	1.26069	-0.999913	-0.171799	-1.08915
101	-1.08915	-0.802526	-0.73372	-1.71136	1.26069	-0.999913	1.94233
102	1.94233	-1.08915	-0.802526	-0.73372	-1.71136	1.26069	0.772925
103	0.772925	1.94233	-1.08915	-0.802526	-0.73372	-1.71136	1.80796
104	1.80796	0.772925	1.94233	-1.08915	-0.802526	-0.73372	2.60786
105	2.60786	1.80796	0.772925	1.94233	-1.08915	-0.802526	-0.218942
106	-0.218942	2.60786	1.80796	0.772925	1.94233	-1.08915	-0.444635
107	-0.444635	-0.218942	2.60786	1.80796	0.772925	1.94233	-1.50373
108	-1.50373	-0.444635	-0.218942	2.60786	1.80796	0.772925	-1.84641
109	-1.84641	-1.50373	-0.444635	-0.218942	2.60786	1.80796	0.120377
110	0.120377	-1.84641	-1.50373	-0.444635	-0.218942	2.60786	-0.321961
111	-0.321961	0.120377	-1.84641	-1.50373	-0.444635	-0.218942	1.99806
112	1.99806	-0.321961	0.120377	-1.84641	-1.50373	-0.444635	0.239318
113	0.239318	1.99806	-0.321961	0.120377	-1.84641	-1.50373	0.00616415
114	0.00616415	0.239318	1.99806	-0.321961	0.120377	-1.84641	-0.61938
115	-0.61938	0.00616415	0.239318	1.99806	-0.321961	0.120377	-3.27116
116	-3.27116	-0.61938	0.00616415	0.239318	1.99806	-0.321961	-1.63593
117	-1.63593	-3.27116	-0.61938	0.00616415	0.239318	1.99806	0.572877
118	0.572877	-1.63593	-3.27116	-0.61938	0.00616415	0.239318	1.26842
119	1.26842	0.572877	-1.63593	-3.27116	-0.61938	0.00616415	0.878794
120	0.878794	1.26842	0.572877	-1.63593	-3.27116	-0.61938	0.624034
121	0.624034	0.878794	1.26842	0.572877	-1.63593	-3.27116	-1.03272
122	-1.03272	0.624034	0.878794	1.26842	0.572877	-1.63593	0.910923
123	0.910923	-1.03272	0.624034	0.878794	1.26842	0.572877	0.173208
124	0.173208	0.910923	-1.03272	0.624034	0.878794	1.26842	-1.03647
125	-1.03647	0.173208	0.910923	-1.03272	0.624034	0.878794	-0.435422
126	-0.435422	-1.03647	0.173208	0.910923	-1.03272	0.624034	-1.62387
127	-1.62387	-0.435422	-1.03647	0.173208	0.910923	-1.03272	-0.107862
128	-0.107862	-1.62387	-0.435422	-1.03647	0.173208	0.910923	-0.127031
129	-0.127031	-0.107862	-1.62387	-0.435422	-1.03647	0.173208	-0.622944
130	-0.622944	-0.127031	-0.107862	-1.62387	-0.435422	-1.03647	1.4184
131	1.4184	-0.622944	-0.127031	-0.107862	-1.62387	-0.435422	-1.97523
132	-1.97523	1.4184	-0.622944	-0.127031	-0.107862	-1.62387	-1.21885
133	-1.21885	-1.97523	1.4184	-0.622944	-0.127031	-0.107862	0.427937
134	0.427937	-1.21885	-1.97523	1.4184	-0.622944	-0.127031	-0.905564
135	-0.905564	0.427937	-1.21885	-1.97523	1.4184	-0.622944	1.48482
136	1.48482	-0.905564	0.427937	-1.21885	-1.97523	1.4184	2.38956
137	2.38956	1.48482	-0.905564	0.427937	-1.21885	-1.97523	-0.649208
138	-0.649208	2.38956	1.48482	-0.905564	0.427937	-1.21885	-0.456416
139	-0.456416	-0.649208	2.38956	1.48482	-0.905564	0.427937	-0.892679
140	-0.892679	-0.456416	-0.649208	2.38956	1.48482	-0.905564	-0.221982
141	-0.221982	-0.892679	-0.456416	-0.649208	2.38956	1.48482	1.41672
142	1.41672	-0.221982	-0.892679	-0.456416	-0.649208	2.38956	0.210108
143	0.210108	1.41672	-0.221982	-0.892679	-0.456416	-0.649208	-0.310221
144	-0.310221	0.210108	1.41672	-0.221982	-0.892679	-0.456416	-0.487914
145	-0.487914	-0.310221	0.210108	1.41672	-0.221982	-0.892679	-1.24639
146	-1.24639	-0.487914	-0.310221	0.210108	1.41672	-0.221982	0.274671
147	0.274671	-1.24639	-0.487914	-0.310221	0.210108	1.41672	2.01672
148	2.01672	0.274671	-1.24639	-0.487914	-0.310221	0.210108	1.05843
149	1.05843	2.01672	0.274671	-1.24639	-0.487914	-0.310221	-0.0480802
150	-0.0480802	1.05843	2.01672	0.274671	-1.24639	-0.487914	-1.75727
151	-1.75727	-0.0480802	1.05843	2.01672	0.274671	-1.24639	-0.799776
152	-0.799776	-1.75727	-0.0480802	1.05843	2.01672	0.274671	-0.013797
153	-0.013797	-0.799776	-1.75727	-0.0480802	1.05843	2.01672	1.67161
154	1.67161	-0.013797	-0.799776	-1.75727	-0.0480802	1.05843	5.54794
155	5.54794	1.67161	-0.013797	-0.799776	-1.75727	-0.0480802	1.14528
156	1.14528	5.54794	1.67161	-0.013797	-0.799776	-1.75727	-0.739343
157	-0.739343	1.14528	5.54794	1.67161	-0.013797	-0.799776	-0.859366
158	-0.859366	-0.739343	1.14528	5.54794	1.67161	-0.013797	-3.93625
159	-3.93625	-0.859366	-0.739343	1.14528	5.54794	1.67161	-1.93095
160	-1.93095	-3.93625	-0.859366	-0.739343	1.14528	5.54794	-1.07519
161	-1.07519	-1.93095	-3.93625	-0.859366	-0.739343	1.14528	0.753259
162	0.753259	-1.07519	-1.93095	-3.93625	-0.859366	-0.739343	1.23973
163	1.23973	0.753259	-1.07519	-1.93095	-3.93625	-0.859366	-2.83957
164	-2.83957	1.23973	0.753259	-1.07519	-1.93095	-3.93625	-1.13735
165	-1.13735	-2.83957	1.23973	0.753259	-1.07519	-1.93095	-0.100418
166	-0.100418	-1.13735	-2.83957	1.23973	0.753259	-1.07519	1.1361
167	1.1361	-0.100418	-1.13735	-2.83957	1.23973	0.753259	4.41801
168	4.41801	1.1361	-0.100418	-1.13735	-2.83957	1.23973	3.95934
169	3.95934	4.41801	1.1361	-0.100418	-1.13735	-2.83957	0.636721
170	0.636721	3.95934	4.41801	1.1361	-0.100418	-1.13735	-0.262013
171	-0.262013	0.636721	3.95934	4.41801	1.1361	-0.100418	-5.13257
172	-5.13257	-0.262013	0.636721	3.95934	4.41801	1.1361	-4.14385
173	-4.14385	-5.13257	-0.262013	0.636721	3.95934	4.41801	-0.709264
174	-0.709264	-4.14385	-5.13257	-0.262013	0.636721	3.95934	-1.10073
175	-1.10073	-0.709264	-4.14385	-5.13257	-0.262013	0.636721	1.28946
176	1.28946	-1.10073	-0.709264	-4.14385	-5.13257	-0.262013	0.815313
177	0.815313	1.28946	-1.10073	-0.709264	-4.14385	-5.13257	-2.06473
178	-2.06473	0.815313	1.28946	-1.10073	-0.709264	-4.14385	-0.387615
179	-0.387615	-2.06473	0.815313	1.28946	-1.10073	-0.709264	-1.30989
180	-1.30989	-0.387615	-2.06473	0.815313	1.28946	-1.10073	1.09598
181	1.09598	-1.30989	-0.387615	-2.06473	0.815313	1.28946	3.09555
182	3.09555	1.09598	-1.30989	-0.387615	-2.06473	0.815313	0.891711
183	0.891711	3.09555	1.09598	-1.30989	-0.387615	-2.06473	2.37384
184	2.37384	0.891711	3.09555	1.09598	-1.30989	-0.387615	-2.385
185	-2.385	2.37384	0.891711	3.09555	1.09598	-1.30989	-3.02811
186	-3.02811	-2.385	2.37384	0.891711	3.09555	1.09598	0.871588
187	0.871588	-3.02811	-2.385	2.37384	0.891711	3.09555	-1.2676
188	-1.2676	0.871588	-3.02811	-2.385	2.37384	0.891711	-0.0130263
189	-0.0130263	-1.2676	0.871588	-3.02811	-2.385	2.37384	2.01869
190	2.01869	-0.0130263	-1.2676	0.871588	-3.02811	-2.385	-2.3161
191	-2.3161	2.01869	-0.0130263	-1.2676	0.871588	-3.02811	1.30294
192	1.30294	-2.3161	2.01869	-0.0130263	-1.2676	0.871588	-0.719076
193	-0.719076	1.30294	-2.3161	2.01869	-0.0130263	-1.2676	0.153582
194	0.153582	-0.719076	1.30294	-2.3161	2.01869	-0.0130263	3.77637
195	3.77637	0.153582	-0.719076	1.30294	-2.3161	2.01869	-0.939504
196	-0.939504	3.77637	0.153582	-0.719076	1.30294	-2.3161	1.1478
197	1.1478	-0.939504	3.77637	0.153582	-0.719076	1.30294	1.86828
198	1.86828	1.1478	-0.939504	3.77637	0.153582	-0.719076	-3.04604
199	-3.04604	1.86828	1.1478	-0.939504	3.77637	0.153582	0.220049
200	0.220049	-3.04604	1.86828	1.1478	-0.939504	3.77637	-1.07249
201	-1.07249	0.220049	-3.04604	1.86828	1.1478	-0.939504	-1.06903
202	-1.06903	-1.07249	0.220049	-3.04604	1.86828	1.1478	1.83161
203	1.83161	-1.06903	-1.07249	0.220049	-3.04604	1.86828	-1.69274
204	-1.69274	1.83161	-1.06903	-1.07249	0.220049	-3.04604	1.87764
205	1.87764	-1.69274	1.83161	-1.06903	-1.07249	0.220049	-0.409883
206	-0.409883	1.87764	-1.69274	1.83161	-1.06903	-1.07249	-3.23206
207	-3.23206	-0.409883	1.87764	-1.69274	1.83161	-1.06903	2.70746
208	2.70746	-3.23206	-0.409883	1.87764	-1.69274	1.83161	0.426739
209	0.426739	2.70746	-3.23206	-0.409883	1.87764	-1.69274	2.2834
210	2.2834	0.426739	2.70746	-3.23206	-0.409883	1.87764	2.59945
211	2.59945	2.2834	0.426739	2.70746	-3.23206	-0.409883	-3.0599
212	-3.0599	2.59945	2.2834	0.426739	2.70746	-3.23206	1.11223
213	1.11223	-3.0599	2.59945	2.2834	0.426739	2.70746	-2.94766
214	-2.94766	1.11223	-3.0599	2.59945	2.2834	0.426739	-1.011
215	-1.011	-2.94766	1.11223	-3.0599	2.59945	2.2834	2.92326
216	2.92326	-1.011	-2.94766	1.11223	-3.0599	2.59945	-1.34622
217	-1.34622	2.92326	-1.011	-2.94766	1.11223	-3.0599	-0.111065
218	-0.111065	-1.34622	2.92326	-1.011	-2.94766	1.11223	1.10778
219	1.10778	-0.111065	-1.34622	2.92326	-1.011	-2.94766	-2.49034
220	-2.49034	1.10778	-0.111065	-1.34622	2.92326	-1.011	0.472445
221	0.472445	-2.49034	1.10778	-0.111065	-1.34622	2.92326	-0.237152
222	-0.237152	0.472445	-2.49034	1.10778	-0.111065	-1.34622	1.0167
223	1.0167	-0.237152	0.472445	-2.49034	1.10778	-0.111065	3.29839
224	3.29839	1.0167	-0.237152	0.472445	-2.49034	1.10778	-0.710291
225	-0.710291	3.29839	1.0167	-0.237152	0.472445	-2.49034	1.62509
226	1.62509	-0.710291	3.29839	1.0167	-0.237152	0.472445	0.333897
227	0.333897	1.62509	-0.710291	3.29839	1.0167	-0.237152	-2.4238
228	-2.4238	0.333897	1.62509	-0.710291	3.29839	1.0167	0.758333
229	0.758333	-2.4238	0.333897	1.62509	-0.710291	3.29839	-0.0766165
230	-0.0766165	0.758333	-2.4238	0.333897	1.62509	-0.710291	1.36492
231	1.36492	-0.0766165	0.758333	-2.4238	0.333897	1.62509	1.08212
232	1.08212	1.36492	-0.0766165	0.758333	-2.4238	0.333897	0.520933
233	0.520933	1.08212	1.36492	-0.0766165	0.758333	-2.4238	0.158548
234	0.158548	0.520933	1.08212	1.36492	-0.0766165	0.758333	-2.82113
235	-2.82113	0.158548	0.520933	1.08212	1.36492	-0.0766165	-1.95271
236	-1.95271	-2.82113	0.158548	0.520933	1.08212	1.36492	2.27674
237	2.27674	-1.95271	-2.82113	0.158548	0.520933	1.08212	0.878234
238	0.878234	2.27674	-1.95271	-2.82113	0.158548	0.520933	3.33896
239	3.33896	0.878234	2.27674	-1.95271	-2.82113	0.158548	0.160376
240	0.160376	3.33896	0.878234	2.27674	-1.95271	-2.82113	-1.04815
241	-1.04815	0.160376	3.33896	0.878234	2.27674	-1.95271	-1.14329
242	-1.14329	-1.04815	0.160376	3.33896	0.878234	2.27674	-0.998269
243	-0.998269	-1.14329	-1.04815	0.160376	3.33896	0.878234	1.20594
244	1.20594	-0.998269	-1.14329	-1.04815	0.160376	3.33896	1.80172
245	1.80172	1.20594	-0.998269	-1.14329	-1.04815	0.160376	-1.52648
246	-1.52648	1.80172	1.20594	-0.998269	-1.14329	-1.04815	0.402625
247	0.402625	-1.52648	1.80172	1.20594	-0.998269	-1.14329	-3.21438
248	-3.21438	0.402625	-1.52648	1.80172	1.20594	-0.998269	-1.69973
249	-1.69973	-3.21438	0.402625	-1.52648	1.80172	1.20594	1.46786
250	1.46786	-1.69973	-3.21438	0.402625	-1.52648	1.80172	2.14766
251	2.14766	1.46786	-1.69973	-3.21438	0.402625	-1.52648	2.41193
252	2.41193	2.14766	1.46786	-1.69973	-3.21438	0.402625	2.06363
253	2.06363	2.41193	2.14766	1.46786	-1.69973	-3.21438	-2.14484
254	-2.14484	2.06363	2.41193	2.14766	1.46786	-1.69973	-2.2368
255	-2.2368	-2.14484	2.06363	2.41193	2.14766	1.46786	-1.42639
256	-1.42639	-2.2368	-2.14484	2.06363	2.41193	2.14766	1.00482
257	1.00482	-1.42639	-2.2368	-2.14484	2.06363	2.41193	3.13396
258	3.13396	1.00482	-1.42639	-2.2368	-2.14484	2.06363	3.60427
259	3.60427	3.13396	1.00482	-1.42639	-2.2368	-2.14484	2.20397
260	2.20397	3.60427	3.13396	1.00482	-1.42639	-2.2368	-1.58121
261	-1.58121	2.20397	3.60427	3.13396	1.00482	-1.42639	-3.71626
262	-3.71626	-1.58121	2.20397	3.60427	3.13396	1.00482	-2.72655
263	-2.72655	-3.71626	-1.58121	2.20397	3.60427	3.13396	-1.46006
264	-1.46006	-2.72655	-3.71626	-1.58121	2.20397	3.60427	0.709351
265	0.709351	-1.46006	-2.72655	-3.71626	-1.58121	2.20397	2.97608
266	2.97608	0.709351	-1.46006	-2.72655	-3.71626	-1.58121	0.0442287
267	0.0442287	2.97608	0.709351	-1.46006	-2.72655	-3.71626	-0.367486
268	-0.367486	0.0442287	2.97608	0.709351	-1.46006	-2.72655	-1.67315
269	-1.67315	-0.367486	0.0442287	2.97608	0.709351	-1.46006	-1.02831
270	-1.02831	-1.67315	-0.367486	0.0442287	2.97608	0.709351	1.56152
271	1.56152	-1.02831	-1.67315	-0.367486	0.0442287	2.97608	2.10566
272	2.10566	1.56152	-1.02831	-1.67315	-0.367486	0.0442287	0.0541722
273	0.0541722	2.10566	1.56152	-1.02831	-1.67315	-0.367486	0.437179
274	0.437179	0.0541722	2.10566	1.56152	-1.02831	-1.67315	-3.39014
275	-3.39014	0.437179	0.0541722	2.10566	1.56152	-1.02831	-1.85369
276	-1.85369	-3.39014	0.437179	0.0541722	2.10566	1.56152	-1.02654
277	-1.02654	-1.85369	-3.39014	0.437179	0.0541722	2.10566	1.27862
278	1.27862	-1.02654	-1.85369	-3.39014	0.437179	0.0541722	3.69356
279	3.69356	1.27862	-1.02654	-1.85369	-3.39014	0.437179	-1.42933
280	-1.42933	3.69356	1.27862	-1.02654	-1.85369	-3.39014	-1.21824
281	-1.21824	-1.42933	3.69356	1.27862	-1.02654	-1.85369	-1.12101
282	-1.12101	-1.21824	-1.42933	3.69356	1.27862	-1.02654	-3.23578
283	-3.23578	-1.12101	-1.21824	-1.42933	3.69356	1.27862	0.482556
284	0.482556	-3.23578	-1.12101	-1.21824	-1.42933	3.69356	2.80339
285	2.80339	0.482556	-3.23578	-1.12101	-1.21824	-1.42933	2.79471
286	2.79471	2.80339	0.482556	-3.23578	-1.12101	-1.21824	2.22074
287	2.22074	2.79471	2.80339	0.482556	-3.23578	-1.12101	-1.46443
288	-1.46443	2.22074	2.79471	2.80339	0.482556	-3.23578	-0.869636
289	-0.869636	-1.46443	2.22074	2.79471	2.80339	0.482556	-2.24547
290	-2.24547	-0.869636	-1.46443	2.22074	2.79471	2.80339	-1.89006
291	-1.89006	-2.24547	-0.869636	-1.46443	2.22074	2.79471	1.36724
292	1.36724	-1.89006	-2.24547	-0.869636	-1.46443	2.22074	-0.467625
293	-0.467625	1.36724	-1.89006	-2.24547	-0.869636	-1.46443	-0.329186
294	-0.329186	-0.467625	1.36724	-1.89006	-2.24547	-0.869636	-1.09689
295	-1.09689	-0.329186	-0.467625	1.36724	-1.89006	-2.24547	-2.51115
296	-2.51115	-1.09689	-0.329186	-0.467625	1.36724	-1.89006	-0.305381
297	-0.305381	-2.51115	-1.09689	-0.329186	-0.467625	1.36724	-0.917468
298	-0.917468	-0.305381	-2.51115	-1.09689	-0.329186	-0.467625	0.964234
299	0.964234	-0.917468	-0.305381	-2.51115	-1.09689	-0.329186	1.6269
300	1.6269	0.964234	-0.917468	-0.305381	-2.51115	-1.09689	-0.756731
301	-0.756731	1.6269	0.964234	-0.917468	-0.305381	-2.51115	1.03016
302	1.03016	-0.756731	1.6269	0.964234	-0.917468	-0.305381	1.10055
303	1.10055	1.03016	-0.756731	1.6269	0.964234	-0.917468	-1.1289
304	-1.1289	1.10055	1.03016	-0.756731	1.6269	0.964234	1.11868
305	1.11868	-1.1289	1.10055	1.03016	-0.756731	1.6269	0.577468
306	0.577468	1.11868	-1.1289	1.10055	1.03016	-0.756731	-1.23982
307	-1.23982	0.577468	1.11868	-1.1289	1.10055	1.03016	0.762259
308	0.762259	-1.23982	0.577468	1.11868	-1.1289	1.10055	-0.596109
309	-0.596109	0.762259	-1.23982	0.577468	1.11868	-1.1289	0.785535
310	0.785535	-0.596109	0.762259	-1.23982	0.577468	1.11868	-0.121632
311	-0.121632	0.785535	-0.596109	0.762259	-1.23982	0.577468	-0.697191
312	-0.697191	-0.121632	0.785535	-0.596109	0.762259	-1.23982	-1.44097
313	-1.44097	-0.697191	-0.121632	0.785535	-0.596109	0.762259	-1.73839
314	-1.73839	-1.44097	-0.697191	-0.121632	0.785535	-0.596109	-0.396545
315	-0.396545	-1.73839	-1.44097	-0.697191	-0.121632	0.785535	1.77743
316	1.77743	-0.396545	-1.73839	-1.44097	-0.697191	-0.121632	0.66127
317	0.66127	1.77743	-0.396545	-1.73839	-1.44097	-0.697191	0.727107
318	0.727107	0.66127	1.77743	-0.396545	-1.73839	-1.44097	0.616801
319	0.616801	0.727107	0.66127	1.77743	-0.396545	-1.73839	0.740489
320	0.740489	0.616801	0.727107	0.66127	1.77743	-0.396545	-0.00289626
321	-0.00289626	0.740489	0.616801	0.727107	0.66127	1.77743	0.878595
322	0.878595	-0.00289626	0.740489	0.616801	0.727107	0.66127	1.52907
323	1.52907	0.878595	-0.00289626	0.740489	0.616801	0.727107	0.253962
324	0.253962	1.52907	0.878595	-0.00289626	0.740489	0.616801	0.62334
325	0.62334	0.253962	1.52907	0.878595	-0.00289626	0.740489	0.555956
326	0.555956	0.62334	0.253962	1.52907	0.878595	-0.00289626	-0.990264
327	-0.990264	0.555956	0.62334	0.253962	1.52907	0.878595	-1.83769
328	-1.83769	-0.990264	0.555956	0.62334	0.253962	1.52907	-0.478088
329	-0.478088	-1.83769	-0.990264	0.555956	0.62334	0.253962	-1.60497
330	-1.60497	-0.478088	-1.83769	-0.990264	0.555956	0.62334	-0.680236
331	-0.680236	-1.60497	-0.478088	-1.83769	-0.990264	0.555956	0.741377
332	0.741377	-0.680236	-1.60497	-0.478088	-1.83769	-0.990264	-1.88879
333	-1.88879	0.741377	-0.680236	-1.60497	-0.478088	-1.83769	-0.661477
334	-0.661477	-1.88879	0.741377	-0.680236	-1.60497	-0.478088	-0.464279
335	-0.464279	-0.661477	-1.88879	0.741377	-0.680236	-1.60497	0.794036
336	0.794036	-0.464279	-0.661477	-1.88879	0.741377	-0.680236	3.01818
337	3.01818	0.794036	-0.464279	-0.661477	-1.88879	0.741377	1.30914
338	1.30914	3.01818	0.794036	-0.464279	-0.661477	-1.88879	1.19224
339	1.19224	1.30914	3.01818	0.794036	-0.464279	-0.661477	0.0500061
340	0.0500061	1.19224	1.30914	3.01818	0.794036	-0.464279	-2.26167
341	-2.26167	0.0500061	1.19224	1.30914	3.01818	0.794036	1.56314
342	1.56314	-2.26167	0.0500061	1.19224	1.30914	3.01818	0.275398
343	0.275398	1.56314	-2.26167	0.0500061	1.19224	1.30914	1.04966
344	1.04966	0.275398	1.56314	-2.26167	0.0500061	1.19224	0.594528
345	0.594528	1.04966	0.275398	1.56314	-2.26167	0.0500061	-3.70498
346	-3.70498	0.594528	1.04966	0.275398	1.56314	-2.26167	-1.64498
