Sample	RwTurbidity	RwPh	RwColour	RwUvAbs254	RwAlk	AlumDose	FwTurbidity	FwColour	FwUvAbs254
175	51	7.55	29.36	0.22	55	55	0.08	6.01	0.08
176	47	7.48	26.45	0.14	53	20	0.58	6.01	0.08
177	47	7.48	26.45	0.14	53	25	0.22	6.74	0.07
178	47	7.48	26.45	0.14	53	30	0.12	4.55	0.06
179	47	7.48	26.45	0.14	53	35	0.11	3.82	0.06
180	47	7.48	26.45	0.14	53	40	0.12	3.82	0.05
181	47	7.48	26.45	0.14	53	45	0.09	3.09	0.05
182	7	8.09	7.61	0.07	72	5	0.27	3.17	0.06
183	7	8.09	7.61	0.07	72	10	0.1	3.17	0.06
184	7	8.09	7.61	0.07	72	15	0.08	3.17	0.05
185	7	8.09	7.61	0.07	72	20	0.08	2.43	0.05
186	7	8.09	7.61	0.07	72	30	0.07	2.43	0.04
187	7	8.09	7.61	0.07	72	40	0.07	3.91	0.04
188	7	8.09	7.61	0.07	72	60	0.06	2.43	0.04
189	7	8.09	7.61	0.07	72	80	0.06	0.95	0.03
190	7.8	8.27	9	0.08	74	10	0.46	7	0.07
191	7.8	8.27	9	0.08	74	20	0.13	6	0.06
192	7.8	8.27	9	0.08	74	30	0.06	5	0.05
193	7.8	8.27	9	0.08	74	40	0.05	3	0.05
194	7.8	8.27	9	0.08	74	50	0.05	4	0.04
195	7.8	8.27	9	0.08	74	60	0.03	4	0.04
196	7.8	8.27	9	0.08	74	80	0.03	4	0.04
197	7.8	8.27	9	0.08	74	100	0.03	3	0.04
198	2.8	8.04	32.41	0.29	77	30	0.28	15.01	0.17
199	2.8	8.04	32.41	0.29	77	40	0.51	12.84	0.16
200	2.8	8.04	32.41	0.29	77	50	0.07	9.22	0.13
201	2.8	8.04	32.41	0.29	77	60	0.06	7.77	0.12
202	2.8	8.04	32.41	0.29	77	80	0.07	6.32	0.1
203	2.8	8.04	32.41	0.29	77	100	0.12	4.87	0.08
