No	GoomallingPs-Cl.lag1	GoomallingPSInMonoCl.lag2	GoomallingPSpH.lag11	MundaringB-Turbidity.lag1	GrassValleyPS-Q.lag1	SawyersTankOutCL.lag1	GoomallingPs-Cl.lag9	WestNorthamToodyayQ.lag1	WestNorthamOutQ.lag12	MundaringNH3Dose.lag14	GoomallingPSInMonoCl.lag12	GoomallingPSInMonoCl.lag14	WestNorthamToodyayQ.lag4	GoomallingPS-WaterT.lag4	GoomallingPSInMonoN.lag12	WestNorthamToodyayQ.lag5	WestNorthamToodyayQ.lag3	SawyersTankInCL.lag1	GoomallingPSInTotalNH3.lag12	GoomallingPS-WaterT.lag13	GoomallingPSInMonoCl.lag9	GoomallingPSInMonoCl.lag1	GoomallingPSInMonoN.lag1	OutCl.7day
13	1.51347	1.92908	8.28	1.18739	759.986	3.34399	1.80812	55.9759	4160.43	12.2974	1.93754	1.28026	32.6692	28.3361	0.448439	47.964	41.8091	3.47386	0.513428	30.1507	1.55936	1.86957	0.359257	1.79764
14	1.55771	1.86957	8.28688	0.460317	910.798	3.47016	1.80438	55.6548	4139.11	14.0464	1.98634	1.38856	41.8091	26.3493	0.380191	32.6692	43.9321	3.46136	0.396337	30.8062	2.11105	2.19883	0.422268	1.71375
15	1.645	2.19883	8.29	0.398414	1542.26	3.55881	1.66222	54.9809	3056.67	12.2368	1.99443	1.93754	43.9321	23.3313	0.447169	41.8091	55.9759	3.53554	0.616042	32.8563	3.1422	1.96004	0.376881	1.63681
16	1.64896	1.96004	8.32437	0.933447	3055.4	3.58055	1.72063	51.4464	3287.61	11.4478	1.55936	1.98634	55.9759	19.0792	0.254539	43.9321	55.6548	3.73792	0.440701	32.5333	1.62113	1.94341	0.375263	1.57187
17	1.62993	1.94341	8.33458	0.932652	1944.6	3.58316	1.83111	54.7958	3553.03	11.3476	2.11105	1.99443	55.6548	21.5792	0.42	55.9759	54.9809	3.66072	0.483424	30.1347	1.56816	1.8011	0.350745	1.58
18	1.71521	1.8011	8.31	0.327861	1063.99	3.64206	1.74847	61.9197	2955.46	12.6508	3.1422	1.55936	54.9809	26.5063	0.647305	55.6548	51.4464	3.60744	0.846361	27.925	1.56892	2.19748	0.411074	1.78458
19	1.71889	2.19748	8.31	0.362143	1110.49	3.74307	1.69236	65.1504	3362.44	13.4086	1.62113	2.11105	51.4464	26.8465	0.335348	54.9809	54.7958	3.58349	0.638849	24.3389	2.01617	2.37914	0.46116	1.8
20	1.79764	2.37914	8.32389	0.879508	1628.29	3.58575	1.61187	58.7207	3655.45	10.6792	1.56816	3.1422	54.7958	27.1444	0.299831	51.4464	61.9197	3.56467	0.556546	26.5312	1.92908	2.1955	0.423112	1.66958
21	1.71375	2.1955	8.33	0.724034	1504.09	3.59912	1.51347	52.1406	2970.79	11.7341	1.56892	1.62113	61.9197	30.6875	0.300326	54.7958	65.1504	3.59535	0.530147	30.6222	1.86957	2.36123	0.45001	1.64562
22	1.63681	2.36123	8.33	0.768206	1897.25	3.57025	1.55771	57.2398	2300.66	13.6499	2.01617	1.56816	65.1504	29.7215	0.398045	61.9197	58.7207	3.6859	0.625992	28.3361	2.19883	3.04103	0.589281	1.69153
23	1.57187	3.04103	8.33	0.949293	3065.22	3.50833	1.645	50.356	2711.37	14.7256	1.92908	1.56892	58.7207	31.3569	0.367155	65.1504	52.1406	3.71378	0.578643	26.3493	1.96004	2.87538	0.55458	1.54563
24	1.58	2.87538	8.33	0.916644	3460.17	3.4909	1.64896	50.8651	2603.17	12.3541	1.86957	2.01617	52.1406	29.2278	0.359257	58.7207	57.2398	3.61461	0.539283	23.3313	1.94341	2.63345	0.514766	1.52313
25	1.78458	2.63345	8.3175	0.417468	1464.44	3.42854	1.62993	58.8133	2454.95	12.2965	2.19883	1.92908	57.2398	25.9333	0.422268	52.1406	50.356	3.49106	0.569063	19.0792	1.8011	2.6945	0.519972	1.5425
26	1.8	2.6945	8.29	0.986807	947.974	3.42557	1.71521	50.6395	2645.47	12.1166	1.96004	1.86957	50.356	22.7188	0.376881	57.2398	50.8651	3.58539	0.562093	21.5792	2.19748	2.7183	0.526763	1.48222
27	1.66958	2.7183	8.31062	1.08731	743.141	3.31002	1.71889	50.7899	3589.88	10.2122	1.94341	2.19883	50.8651	24.2569	0.375263	50.356	58.8133	3.50505	0.518727	26.5063	2.37914	2.66183	0.506196	1.44125
28	1.64562	2.66183	8.32	0.427605	1261.95	3.26231	1.79764	55.004	3634.87	10.8871	1.8011	1.96004	58.8133	32.3632	0.350745	50.8651	50.6395	3.37787	0.529425	26.8465	2.1955	2.6023	0.501089	1.46681
29	1.69153	2.6023	8.29438	0	1607.5	3.34268	1.71375	49.6156	2832.94	10.4006	2.19748	1.94341	50.6395	28.7437	0.411074	58.8133	50.7899	3.35276	0.638662	27.1444	2.36123	2.38005	0.461038	1.49264
30	1.54563	2.38005	8.26	0.426029	3094.63	3.42016	1.63681	41.6818	2917.08	10.532	2.37914	1.8011	50.7899	25.4868	0.46116	50.6395	55.004	3.50539	0.646896	30.6875	3.04103	2.16254	0.414491	1.53917
31	1.52313	2.16254	8.28271	1.17212	2691.05	3.32188	1.57187	44.0188	3548.68	10.6733	2.1955	2.19748	55.004	23.5125	0.423112	50.7899	49.6156	3.40737	0.626117	29.7215	2.87538	2.33791	0.454555	1.42375
32	1.5425	2.33791	8.30333	0.745421	1656.88	3.27448	1.58	52.5455	2737.24	12.0207	2.36123	2.37914	49.6156	25.3507	0.45001	55.004	41.6818	3.31951	0.628872	31.3569	2.63345	2.08201	0.38888	1.38
33	1.48222	2.08201	8.29	0.401721	1660.63	3.26021	1.78458	46.9054	3502.06	11.8998	3.04103	2.1955	41.6818	22.5688	0.589281	49.6156	44.0188	3.25709	0.662612	29.2278	2.6945	1.87005	0.354482	1.37278
34	1.44125	1.87005	8.26792	0.402645	1440.75	3.31109	1.8	56.0829	3808.38	10.0136	2.87538	2.36123	44.0188	23.25	0.55458	41.6818	52.5455	3.23222	0.608993	25.9333	2.7183	1.87693	0.362947	1.31278
35	1.46681	1.87693	8.23854	0.271211	991.44	3.34181	1.66958	56.2651	4048.27	12.4678	2.63345	3.04103	52.5455	23.5125	0.514766	44.0188	46.9054	3.23386	0.605655	22.7188	2.66183	1.69783	0.335224	1.29
36	1.49264	1.69783	8.23188	0.583305	1102.01	3.39737	1.64562	57.8704	2951.29	12.3932	2.6945	2.87538	46.9054	23.2569	0.519972	52.5455	56.0829	3.26103	0.61796	24.2569	2.6023	1.72401	0.344561	1.29
37	1.53917	1.72401	8.20458	1.01239	3570.26	3.40633	1.69153	55.4668	2918.11	10.4335	2.7183	2.63345	56.0829	22.8062	0.526763	46.9054	56.2651	3.8424	0.604965	32.3632	2.38005	1.75102	0.34758	1.33125
38	1.42375	1.75102	8.17062	1.5957	3495.98	3.44598	1.54563	49.4854	2544.35	10.8024	2.66183	2.6945	56.2651	23.5708	0.506196	56.0829	57.8704	3.78212	0.600638	28.7437	2.16254	1.80676	0.354839	1.34028
39	1.38	1.80676	8.13743	1.55557	1741.2	3.32755	1.52313	55.6028	2715.91	11.8475	2.6023	2.7183	57.8704	26.8014	0.501089	56.2651	55.4668	3.67523	0.587737	25.4868	2.33791	1.87521	0.360557	1.30292
40	1.37278	1.87521	8.10562	1.30426	1797.61	3.33413	1.5425	62.3998	2630.49	13.0137	2.38005	2.66183	55.4668	27.4583	0.461038	57.8704	49.4854	3.5902	0.520235	23.5125	2.08201	1.87143	0.366779	1.3075
41	1.31278	1.87143	8.15875	1.23729	1565.65	3.10616	1.48222	53.6215	3656.43	12.1463	2.16254	2.6023	49.4854	24.7875	0.414491	55.4668	55.6028	3.20981	0.547184	25.3507	1.87005	1.84134	0.360814	1.33979
42	1.29	1.84134	8.19	1.25134	761.808	2.95993	1.44125	49.1036	3587.3	13.5157	2.33791	2.38005	55.6028	22.6493	0.454555	49.4854	62.3998	3.01706	0.54169	22.5688	1.87693	1.92837	0.382463	1.52542
43	1.29	1.92837	8.14229	1.23039	1139.53	3.25719	1.46681	51.3249	2694.35	17.0839	2.08201	2.16254	62.3998	23.3972	0.38888	55.6028	53.6215	3.47204	0.494404	23.25	1.69783	1.94666	0.388182	1.40799
44	1.33125	1.94666	8.1	1.24106	2822.03	3.49245	1.49264	50.3387	2825.33	10.158	1.87005	2.33791	53.6215	21.3458	0.354482	62.3998	49.1036	3.6845	0.463039	23.5125	1.72401	2.00887	0.387662	1.37187
45	1.34028	2.00887	8.1	1.2714	3006.38	3.429	1.53917	42.081	2555.97	11.1261	1.87693	2.08201	49.1036	20.3313	0.362947	53.6215	51.3249	3.51343	0.464187	23.2569	1.75102	1.93378	0.380679	1.32153
46	1.30292	1.93378	8.09264	1.3216	1583.35	3.37929	1.42375	55.085	2399.96	10.5649	1.69783	1.87005	51.3249	21.0097	0.335224	49.1036	50.3387	3.63267	0.437509	22.8062	1.80676	1.85584	0.378312	1.14688
47	1.3075	1.85584	8.08437	1.22863	781.75	3.32637	1.38	58.2579	2660.7	10.6255	1.72401	1.87693	50.3387	21.5562	0.344561	51.3249	42.081	3.68886	0.441284	23.5708	1.87521	1.9183	0.38508	1.1
48	1.33979	1.9183	8.06	0.510255	784.544	3.32217	1.37278	54.0467	4178.91	9.9121	1.75102	1.69783	42.081	22.1472	0.34758	50.3387	55.085	3.57363	0.434126	26.8014	1.87143	1.92372	0.36822	1.08583
49	1.52542	1.92372	8.10292	0.84389	736.271	3.25322	1.31278	55.6114	3946.31	13.1739	1.80676	1.72401	55.085	21.7528	0.354839	42.081	58.2579	3.50342	0.445381	27.4583	1.84134	1.99409	0.394295	1.09403
50	1.40799	1.99409	8.09833	1.09698	1032.78	3.28171	1.29	56.7597	2919.47	11.403	1.87521	1.75102	58.2579	22.2264	0.360557	55.085	54.0467	3.56418	0.465292	24.7875	1.92837	1.85257	0.357275	1.14875
51	1.37187	1.85257	8.06854	1.24237	3540.16	3.31902	1.29	51.2353	3157.47	11.2669	1.87143	1.80676	54.0467	23.0437	0.366779	58.2579	55.6114	3.58686	0.458775	22.6493	1.94666	1.86842	0.358191	1.21194
52	1.32153	1.86842	8.08104	1.15571	3552.03	3.29049	1.33125	46.3183	3053.9	10.6064	1.84134	1.87521	55.6114	28.6701	0.360814	54.0467	56.7597	3.54001	0.460246	23.3972	2.00887	1.74829	0.342615	1.14562
53	1.14688	1.74829	8.06896	1.251	1699.55	3.19263	1.34028	48.0421	2602.34	11.0096	1.92837	1.87143	56.7597	26.0007	0.382463	55.6114	51.2353	3.40751	0.469854	21.3458	1.93378	1.88788	0.369072	1.14312
54	1.1	1.88788	8.09437	1.22733	1238.46	3.14782	1.30292	37.1524	2862.41	11.0729	1.94666	1.84134	51.2353	26.6812	0.388182	56.7597	46.3183	3.33505	0.477607	20.3313	1.85584	1.87598	0.366049	1.31368
55	1.08583	1.87598	8.10326	1.25212	797.469	3.18502	1.3075	36.6057	3607.11	11.4851	2.00887	1.92837	46.3183	26.2014	0.387662	51.2353	48.0421	3.52512	0.500022	21.0097	1.9183	1.89835	0.3752	1.65806
56	1.09403	1.89835	8.09313	1.20303	665.217	3.30045	1.33979	44.7853	3523.28	11.6936	1.93378	1.94666	48.0421	24.4187	0.380679	46.3183	37.1524	3.70051	0.463109	21.5562	1.92372	2.17568	0.421286	1.66618
57	1.14875	2.17568	8.07611	1.19913	695.745	3.25776	1.52542	44.1577	3153.17	14.1363	1.85584	2.00887	37.1524	20.3	0.378312	48.0421	36.6057	3.63354	0.443008	22.1472	1.99409	2.20436	0.429499	1.68111
58	1.21194	2.20436	8.07479	0.876726	808.683	3.26259	1.40799	19.3268	2713.68	10.6995	1.9183	1.93378	36.6057	21.2521	0.38508	37.1524	44.7853	3.60504	0.47592	21.7528	1.85257	2.09258	0.411389	1.66417
59	1.14562	2.09258	8.04	0.0498533	766.415	3.07953	1.37187	23.0897	2778.62	11.24	1.92372	1.85584	44.7853	21.4076	0.36822	36.6057	44.1577	3.41175	0.484271	22.2264	1.86842	1.9476	0.38838	1.7575
60	1.14312	1.9476	8.05014	0	760.593	3.15811	1.32153	38.4626	2477.63	11.1073	1.99409	1.9183	44.1577	22.0125	0.394295	44.7853	19.3268	3.42562	0.503189	23.0437	1.74829	1.85735	0.361517	1.78313
61	1.31368	1.85735	8.04	0	695.913	3.11235	1.14688	35.6541	2949.84	11.078	1.85257	1.92372	19.3268	23.0785	0.357275	44.1577	23.0897	3.34035	0.451195	28.6701	1.88788	1.85902	0.36899	1.7325
62	1.65806	1.85902	8.04	0.517122	700.774	3.27543	1.1	33.8898	4261.3	8.80596	1.86842	1.99409	23.0897	21.725	0.358191	19.3268	38.4626	3.53721	0.461726	26.0007	1.87598	1.90239	0.370477	1.72562
63	1.66618	1.90239	8.04	1.00763	717.028	3.36976	1.08583	32.8804	4129.61	11.7954	1.74829	1.85257	38.4626	24.3687	0.342615	23.0897	35.6541	3.59424	0.443653	26.6812	1.89835	2.13344	0.421034	1.75181
64	1.68111	2.13344	8.07812	1.22589	734.793	3.41363	1.09403	47.4984	3153.49	11.8361	1.88788	1.86842	35.6541	25.9472	0.369072	38.4626	33.8898	3.74336	0.456444	26.2014	2.17568	2.08467	0.404642	1.695
65	1.66417	2.08467	8.14125	1.23078	941.341	3.49254	1.14875	38.7808	2962.31	10.9552	1.87598	1.74829	33.8898	24.1944	0.366049	35.6541	32.8804	3.71277	0.438328	24.4187	2.20436	2.17442	0.412078	1.74562
66	1.7575	2.17442	8.22076	1.22906	966.418	3.52411	1.21194	34.3844	2586.74	11.7469	1.89835	1.88788	32.8804	19.6174	0.3752	33.8898	47.4984	3.74038	0.459941	20.3	2.09258	2.15105	0.412276	1.77188
67	1.78313	2.15105	8.1425	0.191109	734.259	3.42653	1.14562	40.4265	2146.87	11.5987	2.17568	1.87598	47.4984	20.2361	0.421286	32.8804	38.7808	3.55551	0.543735	21.2521	1.9476	2.10218	0.418338	1.7575
68	1.7325	2.10218	8.1	1.18009	907.714	3.38225	1.14312	44.123	2281.21	10.9052	2.20436	1.89835	38.7808	19.5312	0.429499	47.4984	34.3844	3.75185	0.514286	21.4076	1.85735	2.23368	0.430993	1.80299
69	1.72562	2.23368	8.1	0.384121	984.655	3.2611	1.31368	36.7446	2620.62	11.6785	2.09258	2.17568	34.3844	21.5437	0.411389	38.7808	40.4265	3.63597	0.484605	22.0125	1.85902	2.22762	0.43115	1.79604
70	1.75181	2.22762	8.0875	0.0554412	737.451	3.25152	1.65806	37.5747	2450.26	11.772	1.9476	2.20436	40.4265	22.8917	0.38838	34.3844	44.123	3.64155	0.461506	23.0785	1.90239	2.21175	0.426668	1.93437
71	1.695	2.21175	8.06	0.272262	764.495	3.21343	1.66618	42.2545	2501.08	9.48532	1.85735	2.09258	44.123	22.5562	0.361517	40.4265	36.7446	3.56175	0.42289	21.725	2.13344	2.13785	0.418327	1.92965
72	1.74562	2.13785	8.03917	0.644542	931.087	3.26007	1.68111	38.1907	2252.12	6.91608	1.85902	1.9476	36.7446	21.6549	0.36899	44.123	37.5747	3.66598	0.417153	24.3687	2.08467	2.27993	0.440423	1.92375
73	1.77188	2.27993	8.0791	0.557299	869.392	3.27857	1.66417	37.3924	2241.8	8.43504	1.90239	1.85735	37.5747	20.6799	0.370477	36.7446	42.2545	3.6442	0.382301	25.9472	2.17442	2.332	0.454185	1.88
74	1.7575	2.332	8.09951	0.284422	754.778	3.23793	1.7575	46.9575	2308.44	10.3171	2.13344	1.85902	42.2545	19.1187	0.421034	37.5747	38.1907	3.57507	0.41126	24.1944	2.15105	2.32411	0.452259	1.88
75	1.80299	2.32411	8.07181	0.108	749.346	3.22497	1.78313	45.3175	2365.4	12.694	2.08467	1.90239	38.1907	18.9937	0.404642	42.2545	37.3924	3.51855	0.382856	19.6174	2.10218	2.2363	0.437658	2.00028
76	1.79604	2.2363	8.08	0.764342	717.019	3.20918	1.7325	50.6626	3379.96	8.96285	2.17442	2.13344	37.3924	19.7188	0.412078	38.1907	46.9575	3.55313	0.393303	20.2361	2.23368	2.18901	0.455828	1.89993
77	1.93437	2.18901	8.08687	0.77368	763.222	3.19851	1.72562	42.8171	3496.98	11.4224	2.15105	2.08467	46.9575	20.7604	0.412276	37.3924	45.3175	3.53352	0.385237	19.5312	2.22762	2.04239	0.320312	1.90806
78	1.92965	2.04239	8.06938	0.751205	803.528	3.18417	1.75181	44.3573	2363.46	10.2438	2.10218	2.17442	45.3175	20.3618	0.418338	46.9575	50.6626	3.54469	0.377814	21.5437	2.21175	2.09756	0.41305	1.97451
79	1.92375	2.09756	8.04875	0.759058	859.298	3.25241	1.695	41.838	2529.19	12.6835	2.23368	2.15105	50.6626	19.5146	0.430993	45.3175	42.8171	3.55274	0.386786	22.8917	2.13785	2.22622	0.395102	1.96063
80	1.88	2.22622	8.03361	0.722097	918.758	3.26307	1.74562	40.3051	2221.22	10.2392	2.22762	2.10218	42.8171	19.2125	0.43115	50.6626	44.3573	3.53626	0.396016	22.5562	2.27993	2.28555	0.453998	1.875
81	1.88	2.28555	8.02313	0.0588409	730.976	3.18974	1.77188	42.9602	2413.48	10.5156	2.21175	2.23368	44.3573	18.7833	0.426668	42.8171	41.838	3.41338	0.401905	21.6549	2.332	2.08293	0.473122	2.01431
82	2.00028	2.08293	8.03	0.28433	727.175	3.14872	1.7575	36.6028	2477.5	9.29962	2.13785	2.22762	41.838	18.225	0.418327	44.3573	40.3051	3.41889	0.365222	20.6799	2.32411	1.97552	0.397182	1.99181
83	1.89993	1.97552	8.04375	0.0972384	748.961	3.29018	1.80299	41.9306	3276.25	13.2892	2.27993	2.21175	40.3051	18.7437	0.440423	41.838	42.9602	3.56327	0.390699	19.1187	2.2363	2.05355	0.399602	1.93472
84	1.90806	2.05355	8.05	0	749.361	3.43595	1.79604	40.8748	2896.28	10.2591	2.332	2.13785	42.9602	19.4375	0.454185	40.3051	36.6028	3.69772	0.438817	18.9937	2.18901	1.98213	0.393382	2.05972
85	1.97451	1.98213	8.04312	0.0620807	747.976	3.40471	1.93437	43.2032	2498.54	10.8105	2.32411	2.27993	36.6028	18.9438	0.452259	42.9602	41.9306	3.63978	0.44868	19.7188	2.04239	2.17371	0.430206	1.96271
86	1.96063	2.17371	8.01979	0	954.445	3.46089	1.92965	34.0952	2380.06	10.669	2.2363	2.332	41.9306	17.7111	0.437658	36.6028	40.8748	3.73103	0.472036	20.7604	2.09756	2.09433	0.405144	1.97188
87	1.875	2.09433	7.99667	0	869.529	3.45945	1.92375	35.3244	2180.37	10.6213	2.18901	2.32411	40.8748	17.0312	0.455828	41.9306	43.2032	3.6737	0.546167	20.3618	2.22622	2.00198	0.393263	1.95
88	2.01431	2.00198	7.9975	0	711.309	3.41854	1.88	35.119	2515.9	10.8363	2.04239	2.2363	43.2032	19.0528	0.320312	40.8748	34.0952	3.60632	0.393846	19.5146	2.28555	2.26551	0.456285	1.94854
89	1.99181	2.26551	8.03	0	747.085	3.38224	1.88	33.9852	2429.04	9.82585	2.09756	2.18901	34.0952	17.4875	0.41305	43.2032	35.3244	3.62437	0.48742	19.2125	2.08293	2.24727	0.441998	1.92708
90	1.93472	2.24727	8.03125	0.306718	729.536	3.3725	2.00028	31.5007	1478.02	11.1122	2.22622	2.04239	35.3244	18.95	0.395102	34.0952	35.119	3.61338	0.415349	18.7833	1.97552	2.28451	0.441455	1.93625
91	2.05972	2.28451	8.01	0.200637	766.227	3.39322	1.89993	22.9769	3267.53	11.1513	2.28555	2.09756	35.119	20.4611	0.453998	35.3244	33.9852	3.62141	0.555691	18.225	2.05355	2.40226	0.470363	1.97049
92	1.96271	2.40226	8.03063	0.624025	772.046	3.31006	1.90806	20.5271	2299.65	10.8903	2.08293	2.22622	33.9852	19.0104	0.473122	35.119	31.5007	3.59292	0.350816	18.7437	1.98213	2.29517	0.456071	1.99625
93	1.97188	2.29517	8.01903	0.0769602	677.393	3.24502	1.97451	17.8719	2327.42	10.8114	1.97552	2.28555	31.5007	20.3	0.397182	33.9852	22.9769	3.43828	0.463431	19.4375	2.17371	2.30779	0.466226	1.98375
94	1.95	2.30779	8.02	0	845.595	3.25147	1.96063	23.7	2418.72	11.2705	2.05355	2.08293	22.9769	19.891	0.399602	31.5007	20.5271	3.45782	0.504459	18.9438	2.09433	2.38477	0.464401	1.98562
95	1.94854	2.38477	8.02688	0.0539784	688.214	3.43746	1.875	20.8019	2446.45	10.409	1.98213	1.97552	20.5271	15.1375	0.393382	22.9769	17.8719	3.61858	0.493283	17.7111	2.00198	2.52358	0.499814	2.00687
96	1.92708	2.52358	8.02313	0.254115	758.625	3.61906	2.01431	22.2914	2499.85	11.3502	2.17371	2.05355	17.8719	13.625	0.430206	20.5271	23.7	4.02423	0.518534	17.0312	2.26551	2.50446	0.487987	2.17229
97	1.93625	2.50446	7.98562	0.4321	788.358	3.63055	1.99181	22.517	3503.23	13.7723	2.09433	1.98213	23.7	13.5062	0.405144	17.8719	20.8019	4.08687	0.51791	19.0528	2.24727	2.60539	0.512848	2.10653
98	1.97049	2.60539	8.00125	0.433366	721.386	3.58105	1.93472	23.9198	2996.66	13.7515	2.00198	2.17371	20.8019	13.4042	0.393263	23.7	22.2914	3.90648	0.480362	17.4875	2.28451	2.47831	0.491682	2.14007
99	1.99625	2.47831	8.03	0.577743	805.149	3.49737	2.05972	24.9177	2208.88	20.2935	2.26551	2.09433	22.2914	14.1535	0.456285	20.8019	22.517	3.8067	0.54069	18.95	2.40226	2.58341	0.508247	2.255
100	1.98375	2.58341	7.99306	0.836798	931.924	3.61349	1.96271	27.1506	2285.76	15.1351	2.24727	2.00198	22.517	15.3063	0.441998	22.2914	23.9198	3.88278	0.538455	20.4611	2.29517	2.51591	0.494043	2.26812
101	1.98562	2.51591	8.03	0.631056	754.565	3.55039	1.97188	26.7862	2322.41	13.9478	2.28451	2.26551	23.9198	16.1347	0.441455	22.517	24.9177	3.74284	0.539543	19.0104	2.30779	2.64491	0.518627	2.27625
102	2.00687	2.64491	8.03	0.506082	668.261	3.48667	1.95	22.8034	2351.97	13.4723	2.40226	2.24727	24.9177	16.4625	0.470363	23.9198	27.1506	3.67471	0.548936	20.3	2.38477	2.49909	0.500571	2.24278
103	2.17229	2.49909	8.0725	0.696416	692.437	3.52919	1.94854	25.4499	2317.22	12.5526	2.29517	2.28451	27.1506	16.6438	0.456071	24.9177	26.7862	3.84469	0.536841	19.891	2.52358	2.5205	0.496601	2.2425
104	2.10653	2.5205	8.125	0.680347	681.512	3.47244	1.92708	24.0413	1947.28	11.7652	2.30779	2.40226	26.7862	18.025	0.466226	27.1506	22.8034	3.78705	0.544873	15.1375	2.50446	2.39736	0.459329	2.26806
105	2.14007	2.39736	8.14292	0.484188	704.177	3.46494	1.93625	25.2474	2745.77	10.9447	2.38477	2.29517	22.8034	17.5188	0.464401	26.7862	25.4499	3.67397	0.545737	13.625	2.60539	2.48908	0.486624	2.2816
106	2.255	2.48908	8.18292	0	670.831	3.45913	1.97049	23.4889	2082.33	10.5459	2.52358	2.30779	25.4499	19.0646	0.499814	22.8034	24.0413	3.66025	0.600353	13.5062	2.47831	2.45249	0.478994	2.2591
107	2.26812	2.45249	8.19313	0	929.786	3.4904	1.99625	26.0949	2308.08	13.6687	2.50446	2.38477	24.0413	16.95	0.487987	25.4499	25.2474	3.70007	0.59928	13.4042	2.58341	2.50336	0.501278	2.305
108	2.27625	2.50336	8.17535	0.356247	727.296	3.56381	1.98375	26.6676	2531.59	9.82256	2.60539	2.52358	25.2474	16.0389	0.512848	24.0413	23.4889	3.7257	0.632739	14.1535	2.51591	2.51779	0.515641	2.2775
109	2.24278	2.51779	8.14	0.702989	706.909	3.50242	1.98562	26.0949	2180.49	13.6688	2.47831	2.50446	23.4889	14.8688	0.491682	25.2474	26.0949	3.68426	0.617218	15.3063	2.64491	2.58462	0.514483	2.31528
110	2.2425	2.58462	8.14	0.211253	729.852	3.47721	2.00687	25.4239	2513.67	10.9745	2.58341	2.60539	26.0949	15.325	0.508247	23.4889	26.6676	3.64344	0.632701	16.1347	2.49909	2.59559	0.513141	2.33583
