Sample	Chl-a(t-1)	Chl-a(t-2)	Chl-a(t-3)	Chl-a(t-4)	Chl-a(t-5)	SiO2(t-1)	SiO2(t-2)	SiO2(t-3)	SiO2(t-4)	SiO2(t-5)	pH(t-1)	pH(t-2)	pH(t-3)	pH(t-4)	pH(t-5)	secchi(t-1)	secchi(t-2)	secchi(t-3)	secchi(t-4)	secchi(t-5)	turbidity(t-1)	turbidity(t-2)	turbidity(t-3)	turbidity(t-4)	turbidity(t-5)	colour(t-1)	colour(t-2)	colour(t-3)	colour(t-4)	colour(t-5)	TKN(t-1)	TKN(t-2)	TKN(t-3)	TKN(t-4)	TKN(t-5)	Phosphorus(t-1)	Phosphorus(t-2)	Phosphorus(t-3)	Phosphorus(t-4)	Phosphorus(t-5)	Level(t-1)	Level(t-2)	Level(t-3)	Level(t-4)	Level(t-5)	Flow(t-1)	Flow(t-2)	Flow(t-3)	Flow(t-4)	Flow(t-5)	Chl-a(t)
19-Mar-01	4.572413	7.829630	7.662069	3.014286	3.264286	0.210345	0.314815	0.500000	0.492857	0.400000	7.382069	7.495556	7.070690	7.128572	7.247143	1.500000	1.500000	1.541379	1.921429	2.185714	3.015776	3.252315	4.246035	2.137500	3.420000	4.896552	4.074074	5.000000	5.000000	4.892857	0.330741	0.343103	0.369259	0.358966	0.345714	0.011483	0.019556	0.014103	0.015071	0.016000	0.6285	0.502	0.6690357	0.6196429	0.4726071	28.35382	6.835571	37.99504	33.35968	5.120572	6.422222
16-Apr-01	6.422222	4.572413	7.829630	7.662069	3.014286	0.107407	0.210345	0.314815	0.500000	0.492857	7.434444	7.382069	7.495556	7.070690	7.128572	1.592593	1.500000	1.500000	1.541379	1.921429	3.462963	3.015776	3.252315	4.246035	2.137500	5.000000	4.896552	4.074074	5.000000	5.000000	0.357857	0.330741	0.343103	0.369259	0.358966	0.015593	0.011483	0.019556	0.014103	0.015071	0.6860357	0.6285	0.502	0.6690357	0.6196429	28.52104	28.35382	6.835571	37.99504	33.35968	6.042857
14-May-01	6.042857	6.422222	4.572413	7.829630	7.662069	0.100000	0.107407	0.210345	0.314815	0.500000	7.388929	7.434444	7.382069	7.495556	7.070690	1.600000	1.592593	1.500000	1.500000	1.541379	3.267857	3.462963	3.015776	3.252315	4.246035	5.000000	5.000000	4.896552	4.074074	5.000000	0.387857	0.357857	0.330741	0.343103	0.369259	0.013214	0.015593	0.011483	0.019556	0.014103	0.5897143	0.6860357	0.6285	0.502	0.6690357	15.53861	28.52104	28.35382	6.835571	37.99504	7.114285
11-Jun-01	7.114285	6.042857	6.422222	4.572413	7.829630	0.100000	0.100000	0.107407	0.210345	0.314815	7.296786	7.388929	7.434444	7.382069	7.495556	1.971429	1.600000	1.592593	1.500000	1.500000	2.971429	3.267857	3.462963	3.015776	3.252315	5.000000	5.000000	5.000000	4.896552	4.074074	0.352857	0.387857	0.357857	0.330741	0.343103	0.013929	0.013214	0.015593	0.011483	0.019556	0.5552143	0.5897143	0.6860357	0.6285	0.502	16.33603	15.53861	28.52104	28.35382	6.835571	6.308571
9-Jul-01	6.308571	7.114285	6.042857	6.422222	4.572413	0.100000	0.100000	0.100000	0.107407	0.210345	7.323429	7.296786	7.388929	7.434444	7.382069	2.000000	1.971429	1.600000	1.592593	1.500000	2.541429	2.971429	3.267857	3.462963	3.015776	4.257143	5.000000	5.000000	5.000000	4.896552	0.462143	0.352857	0.387857	0.357857	0.330741	0.014000	0.013929	0.013214	0.015593	0.011483	0.6041071	0.5552143	0.5897143	0.6860357	0.6285	17.20861	16.33603	15.53861	28.52104	28.35382	4.507143
6-Aug-01	4.507143	6.308571	7.114285	6.042857	6.422222	0.100000	0.100000	0.100000	0.100000	0.107407	7.546327	7.323429	7.296786	7.388929	7.434444	2.000000	2.000000	1.971429	1.600000	1.592593	2.394780	2.541429	2.971429	3.267857	3.462963	2.642857	4.257143	5.000000	5.000000	5.000000	0.425000	0.462143	0.352857	0.387857	0.357857	0.020107	0.014000	0.013929	0.013214	0.015593	0.5671428	0.6041071	0.5552143	0.5897143	0.6860357	13.87696	17.20861	16.33603	15.53861	28.52104	4.614285
3-Sep-01	4.614285	4.507143	6.308571	7.114285	6.042857	0.100000	0.100000	0.100000	0.100000	0.100000	7.635734	7.546327	7.323429	7.296786	7.388929	2.067857	2.000000	2.000000	1.971429	1.600000	2.804670	2.394780	2.541429	2.971429	3.267857	4.035714	2.642857	4.257143	5.000000	5.000000	0.346071	0.425000	0.462143	0.352857	0.387857	0.016214	0.020107	0.014000	0.013929	0.013214	0.7745714	0.5671428	0.6041071	0.5552143	0.5897143	64.46068	13.87696	17.20861	16.33603	15.53861	4.864286
1-Oct-01	4.864286	4.614285	4.507143	6.308571	7.114285	0.100000	0.100000	0.100000	0.100000	0.100000	7.699042	7.635734	7.546327	7.323429	7.296786	1.692857	2.067857	2.000000	2.000000	1.971429	3.689011	2.804670	2.394780	2.541429	2.971429	6.357143	4.035714	2.642857	4.257143	5.000000	0.397857	0.346071	0.425000	0.462143	0.352857	0.015036	0.016214	0.020107	0.014000	0.013929	0.679	0.7745714	0.5671428	0.6041071	0.5552143	33.97175	64.46068	13.87696	17.20861	16.33603	3.917857
29-Oct-01	3.917857	4.864286	4.614285	4.507143	6.308571	0.100000	0.100000	0.100000	0.100000	0.100000	7.608898	7.699042	7.635734	7.546327	7.323429	1.364286	1.692857	2.067857	2.000000	2.000000	5.231941	3.689011	2.804670	2.394780	2.541429	5.642857	6.357143	4.035714	2.642857	4.257143	0.375714	0.397857	0.346071	0.425000	0.462143	0.019393	0.015036	0.016214	0.020107	0.014000	0.7552857	0.679	0.7745714	0.5671428	0.6041071	57.04629	33.97175	64.46068	13.87696	17.20861	4.042857
26-Nov-01	4.042857	3.917857	4.864286	4.614285	4.507143	0.235714	0.100000	0.100000	0.100000	0.100000	7.695877	7.608898	7.699042	7.635734	7.546327	1.300000	1.364286	1.692857	2.067857	2.000000	5.361025	5.231941	3.689011	2.804670	2.394780	5.678571	5.642857	6.357143	4.035714	2.642857	0.370357	0.375714	0.397857	0.346071	0.425000	0.015571	0.019393	0.015036	0.016214	0.020107	0.6335714	0.7552857	0.679	0.7745714	0.5671428	24.67932	57.04629	33.97175	64.46068	13.87696	4.503572
24-Dec-01	4.503572	4.042857	3.917857	4.864286	4.614285	0.300000	0.235714	0.100000	0.100000	0.100000	7.548333	7.695877	7.608898	7.699042	7.635734	1.435714	1.300000	1.364286	1.692857	2.067857	5.517619	5.361025	5.231941	3.689011	2.804670	6.000000	5.678571	5.642857	6.357143	4.035714	0.434286	0.370357	0.375714	0.397857	0.346071	0.015036	0.015571	0.019393	0.015036	0.016214	0.4493214	0.6335714	0.7552857	0.679	0.7745714	4.010571	24.67932	57.04629	33.97175	64.46068	6.296429
21-Jan-02	6.296429	4.503572	4.042857	3.917857	4.864286	0.300000	0.300000	0.235714	0.100000	0.100000	7.484663	7.548333	7.695877	7.608898	7.699042	1.500000	1.435714	1.300000	1.364286	1.692857	5.324745	5.517619	5.361025	5.231941	3.689011	5.321429	6.000000	5.678571	5.642857	6.357143	0.453214	0.434286	0.370357	0.375714	0.397857	0.018714	0.015036	0.015571	0.019393	0.015036	0.4651786	0.4493214	0.6335714	0.7552857	0.679	4.803357	4.010571	24.67932	57.04629	33.97175	8.728571
18-Feb-02	8.728571	6.296429	4.503572	4.042857	3.917857	0.300000	0.300000	0.300000	0.235714	0.100000	7.357254	7.484663	7.548333	7.695877	7.608898	1.839286	1.500000	1.435714	1.300000	1.364286	5.509779	5.324745	5.517619	5.361025	5.231941	5.452381	5.321429	6.000000	5.678571	5.642857	0.599286	0.453214	0.434286	0.370357	0.375714	0.020000	0.018714	0.015036	0.015571	0.019393	0.4526072	0.4651786	0.4493214	0.6335714	0.7552857	4.127357	4.803357	4.010571	24.67932	57.04629	8.075000
18-Mar-02	8.075000	8.728571	6.296429	4.503572	4.042857	0.232143	0.300000	0.300000	0.300000	0.235714	7.221445	7.357254	7.484663	7.548333	7.695877	1.389286	1.839286	1.500000	1.435714	1.300000	5.185204	5.509779	5.324745	5.517619	5.361025	6.119048	5.452381	5.321429	6.000000	5.678571	0.430000	0.599286	0.453214	0.434286	0.370357	0.018643	0.020000	0.018714	0.015036	0.015571	0.5347857	0.4526072	0.4651786	0.4493214	0.6335714	10.84071	4.127357	4.803357	4.010571	24.67932	7.720000
15-Apr-02	7.720000	8.075000	8.728571	6.296429	4.503572	0.200000	0.232143	0.300000	0.300000	0.300000	7.510000	7.221445	7.357254	7.484663	7.548333	1.059524	1.389286	1.839286	1.500000	1.435714	4.400000	5.185204	5.509779	5.324745	5.517619	5.000000	6.119048	5.452381	5.321429	6.000000	0.450595	0.430000	0.599286	0.453214	0.434286	0.012000	0.018643	0.020000	0.018714	0.015036	0.6199286	0.5347857	0.4526072	0.4651786	0.4493214	18.02768	10.84071	4.127357	4.803357	4.010571	5.505952
13-May-02	5.505952	7.720000	8.075000	8.728571	6.296429	0.222619	0.200000	0.232143	0.300000	0.300000	7.387679	7.510000	7.221445	7.357254	7.484663	1.392857	1.059524	1.389286	1.839286	1.500000	4.373486	4.400000	5.185204	5.509779	5.324745	5.000000	5.000000	6.119048	5.452381	5.321429	0.434405	0.450595	0.430000	0.599286	0.453214	0.015000	0.012000	0.018643	0.020000	0.018714	0.5196786	0.6199286	0.5347857	0.4526072	0.4651786	7.859964	18.02768	10.84071	4.127357	4.803357	5.819047
10-Jun-02	5.819047	5.505952	7.720000	8.075000	8.728571	0.414286	0.222619	0.200000	0.232143	0.300000	7.787175	7.387679	7.510000	7.221445	7.357254	1.228571	1.392857	1.059524	1.389286	1.839286	5.917193	4.373486	4.400000	5.185204	5.509779	6.357143	5.000000	5.000000	6.119048	5.452381	0.370000	0.434405	0.450595	0.430000	0.599286	0.015453	0.015000	0.012000	0.018643	0.020000	0.5125715	0.5196786	0.6199286	0.5347857	0.4526072	7.438893	7.859964	18.02768	10.84071	4.127357	5.205128
8-Jul-02	5.205128	5.819047	5.505952	7.720000	8.075000	0.305128	0.414286	0.222619	0.200000	0.232143	7.763042	7.787175	7.387679	7.510000	7.221445	1.246154	1.228571	1.392857	1.059524	1.389286	5.904945	5.917193	4.373486	4.400000	5.185204	6.269231	6.357143	5.000000	5.000000	6.119048	0.361667	0.370000	0.434405	0.450595	0.430000	0.013475	0.015453	0.015000	0.012000	0.018643	0.5373929	0.5125715	0.5196786	0.6199286	0.5347857	9.728143	7.438893	7.859964	18.02768	10.84071	7.250000
5-Aug-02	7.250000	5.205128	5.819047	5.505952	7.720000	0.133333	0.305128	0.414286	0.222619	0.200000	7.746363	7.763042	7.787175	7.387679	7.510000	1.675000	1.246154	1.228571	1.392857	1.059524	4.803571	5.904945	5.917193	4.373486	4.400000	5.250000	6.269231	6.357143	5.000000	5.000000	0.365417	0.361667	0.370000	0.434405	0.450595	0.012167	0.013475	0.015453	0.015000	0.012000	0.5222143	0.5373929	0.5125715	0.5196786	0.6199286	8.633429	9.728143	7.438893	7.859964	18.02768	7.108334
2-Sep-02	7.108334	7.250000	5.205128	5.819047	5.505952	0.100000	0.133333	0.305128	0.414286	0.222619	7.756762	7.746363	7.763042	7.787175	7.387679	1.575000	1.675000	1.246154	1.228571	1.392857	3.459753	4.803571	5.904945	5.917193	4.373486	5.375000	5.250000	6.269231	6.357143	5.000000	0.368750	0.365417	0.361667	0.370000	0.434405	0.012375	0.012167	0.013475	0.015453	0.015000	0.48875	0.5222143	0.5373929	0.5125715	0.5196786	5.957893	8.633429	9.728143	7.438893	7.859964	7.625000
30-Sep-02	7.625000	7.108334	7.250000	5.205128	5.819047	0.100000	0.100000	0.133333	0.305128	0.414286	8.151667	7.756762	7.746363	7.763042	7.787175	1.275000	1.575000	1.675000	1.246154	1.228571	6.605769	3.459753	4.803571	5.904945	5.917193	5.875000	5.375000	5.250000	6.269231	6.357143	0.392500	0.368750	0.365417	0.361667	0.370000	0.017000	0.012375	0.012167	0.013475	0.015453	0.4776071	0.48875	0.5222143	0.5373929	0.5125715	5.182821	5.957893	8.633429	9.728143	7.438893	6.674999
28-Oct-02	6.674999	7.625000	7.108334	7.250000	5.205128	0.175000	0.100000	0.100000	0.133333	0.305128	7.351723	8.151667	7.756762	7.746363	7.763042	2.175000	1.275000	1.575000	1.675000	1.246154	6.913737	6.605769	3.459753	4.803571	5.904945	6.250000	5.875000	5.375000	5.250000	6.269231	0.402500	0.392500	0.368750	0.365417	0.361667	0.018375	0.017000	0.012375	0.012167	0.013475	0.4785	0.4776071	0.48875	0.5222143	0.5373929	4.873536	5.182821	5.957893	8.633429	9.728143	5.666667
25-Nov-02	5.666667	6.674999	7.625000	7.108334	7.250000	0.350000	0.175000	0.100000	0.100000	0.133333	7.676364	7.351723	8.151667	7.756762	7.746363	1.750000	2.175000	1.275000	1.575000	1.675000	6.135715	6.913737	6.605769	3.459753	4.803571	5.833333	6.250000	5.875000	5.375000	5.250000	0.460833	0.402500	0.392500	0.368750	0.365417	0.017583	0.018375	0.017000	0.012375	0.012167	0.4838929	0.4785	0.4776071	0.48875	0.5222143	5.246036	4.873536	5.182821	5.957893	8.633429	7.966667
23-Dec-02	7.966667	5.666667	6.674999	7.625000	7.108334	0.400000	0.350000	0.175000	0.100000	0.100000	7.510796	7.676364	7.351723	8.151667	7.756762	1.125000	1.750000	2.175000	1.275000	1.575000	12.327470	6.135715	6.913737	6.605769	3.459753	6.291667	5.833333	6.250000	5.875000	5.375000	0.476250	0.460833	0.402500	0.392500	0.368750	0.027958	0.017583	0.018375	0.017000	0.012375	0.4805357	0.4838929	0.4785	0.4776071	0.48875	5.0255	5.246036	4.873536	5.182821	5.957893	8.875000
20-Jan-03	8.875000	7.966667	5.666667	6.674999	7.625000	0.475000	0.400000	0.350000	0.175000	0.100000	7.761023	7.510796	7.676364	7.351723	8.151667	1.075000	1.125000	1.750000	2.175000	1.275000	10.321150	12.327470	6.135715	6.913737	6.605769	5.375000	6.291667	5.833333	6.250000	5.875000	0.478621	0.476250	0.460833	0.402500	0.392500	0.028500	0.027958	0.017583	0.018375	0.017000	0.4768572	0.4805357	0.4838929	0.4785	0.4776071	4.884321	5.0255	5.246036	4.873536	5.182821	6.618966
17-Feb-03	6.618966	8.875000	7.966667	5.666667	6.674999	0.500000	0.475000	0.400000	0.350000	0.175000	7.526269	7.761023	7.510796	7.676364	7.351723	1.172414	1.075000	1.125000	1.750000	2.175000	8.526983	10.321150	12.327470	6.135715	6.913737	4.507936	5.375000	6.291667	5.833333	6.250000	0.457778	0.478621	0.476250	0.460833	0.402500	0.026414	0.028500	0.027958	0.017583	0.018375	0.4928571	0.4768572	0.4805357	0.4838929	0.4785	5.818929	4.884321	5.0255	5.246036	4.873536	8.972222
17-Mar-03	8.972222	6.618966	8.875000	7.966667	5.666667	0.277778	0.500000	0.475000	0.400000	0.350000	7.462913	7.526269	7.761023	7.510796	7.676364	0.903704	1.172414	1.075000	1.125000	1.750000	10.932760	8.526983	10.321150	12.327470	6.135715	4.000000	4.507936	5.375000	6.291667	5.833333	0.455000	0.457778	0.478621	0.476250	0.460833	0.023778	0.026414	0.028500	0.027958	0.017583	0.4969286	0.4928571	0.4768572	0.4805357	0.4838929	5.869893	5.818929	4.884321	5.0255	5.246036	11.150000
14-Apr-03	11.150000	8.972222	6.618966	8.875000	7.966667	0.200000	0.277778	0.500000	0.475000	0.400000	7.776052	7.462913	7.526269	7.761023	7.510796	1.175000	0.903704	1.172414	1.075000	1.125000	7.309642	10.932760	8.526983	10.321150	12.327470	4.750000	4.000000	4.507936	5.375000	6.291667	0.459081	0.455000	0.457778	0.478621	0.476250	0.019250	0.023778	0.026414	0.028500	0.027958	0.5055714	0.4969286	0.4928571	0.4768572	0.4805357	6.392929	5.869893	5.818929	4.884321	5.0255	9.327586
12-May-03	9.327586	11.150000	8.972222	6.618966	8.875000	0.163793	0.200000	0.277778	0.500000	0.475000	7.956997	7.776052	7.462913	7.526269	7.761023	1.444828	1.175000	0.903704	1.172414	1.075000	7.394216	7.309642	10.932760	8.526983	10.321150	5.000000	4.750000	4.000000	4.507936	5.375000	0.445185	0.459081	0.455000	0.457778	0.478621	0.017638	0.019250	0.023778	0.026414	0.028500	0.4994643	0.5055714	0.4969286	0.4928571	0.4768572	6.019393	6.392929	5.869893	5.818929	4.884321	9.759259
9-Jun-03	9.759259	9.327586	11.150000	8.972222	6.618966	0.335185	0.163793	0.200000	0.277778	0.500000	7.642757	7.956997	7.776052	7.462913	7.526269	1.277778	1.444828	1.175000	0.903704	1.172414	5.016947	7.394216	7.309642	10.932760	8.526983	6.481482	5.000000	4.750000	4.000000	4.507936	0.452500	0.445185	0.459081	0.455000	0.457778	0.019599	0.017638	0.019250	0.023778	0.026414	0.4976428	0.4994643	0.5055714	0.4969286	0.4928571	5.982572	6.019393	6.392929	5.869893	5.818929	9.900001
7-Jul-03	9.900001	9.759259	9.327586	11.150000	8.972222	0.775000	0.335185	0.163793	0.200000	0.277778	7.966745	7.642757	7.956997	7.776052	7.462913	1.200000	1.277778	1.444828	1.175000	0.903704	4.327211	5.016947	7.394216	7.309642	10.932760	10.000000	6.481482	5.000000	4.750000	4.000000	0.414167	0.452500	0.445185	0.459081	0.455000	0.020083	0.019599	0.017638	0.019250	0.023778	0.83825	0.4976428	0.4994643	0.5055714	0.4969286	155.9436	5.982572	6.019393	6.392929	5.869893	12.350000
4-Aug-03	12.350000	9.900001	9.759259	9.327586	11.150000	0.450000	0.775000	0.335185	0.163793	0.200000	8.034683	7.966745	7.642757	7.956997	7.776052	1.125000	1.200000	1.277778	1.444828	1.175000	3.848299	4.327211	5.016947	7.394216	7.309642	11.000000	10.000000	6.481482	5.000000	4.750000	0.358750	0.414167	0.452500	0.445185	0.459081	0.017000	0.020083	0.019599	0.017638	0.019250	1.144615	0.83825	0.4976428	0.4994643	0.5055714	573.2411	155.9436	5.982572	6.019393	6.392929	12.825000
1-Sep-03	12.825000	12.350000	9.900001	9.759259	9.327586	0.600000	0.450000	0.775000	0.335185	0.163793	8.046041	8.034683	7.966745	7.642757	7.956997	1.775000	1.125000	1.200000	1.277778	1.444828	3.557143	3.848299	4.327211	5.016947	7.394216	12.875000	11.000000	10.000000	6.481482	5.000000	0.338750	0.358750	0.414167	0.452500	0.445185	0.016375	0.017000	0.020083	0.019599	0.017638	1.174857	1.144615	0.83825	0.4976428	0.4994643	634.425	573.2411	155.9436	5.982572	6.019393	10.900000
29-Sep-03	10.900000	12.825000	12.350000	9.900001	9.759259	0.500000	0.600000	0.450000	0.775000	0.335185	8.037917	8.046041	8.034683	7.966745	7.642757	1.625000	1.775000	1.125000	1.200000	1.277778	4.662500	3.557143	3.848299	4.327211	5.016947	15.375000	12.875000	11.000000	10.000000	6.481482	0.361667	0.338750	0.358750	0.414167	0.452500	0.016125	0.016375	0.017000	0.020083	0.019599	1.128286	1.174857	1.144615	0.83825	0.4976428	531.6027	634.425	573.2411	155.9436	5.982572	9.250000
27-Oct-03	9.250000	10.900000	12.825000	12.350000	9.900001	0.183333	0.500000	0.600000	0.450000	0.775000	7.851459	8.037917	8.046041	8.034683	7.966745	1.275000	1.625000	1.775000	1.125000	1.200000	5.225000	4.662500	3.557143	3.848299	4.327211	16.750000	15.375000	12.875000	11.000000	10.000000	0.400000	0.361667	0.338750	0.358750	0.414167	0.017500	0.016125	0.016375	0.017000	0.020083	1.011393	1.128286	1.174857	1.144615	0.83825	315.7762	531.6027	634.425	573.2411	155.9436	11.675000
24-Nov-03	11.675000	9.250000	10.900000	12.825000	12.350000	0.100000	0.183333	0.500000	0.600000	0.450000	8.238750	7.851459	8.037917	8.046041	8.034683	1.050000	1.275000	1.625000	1.775000	1.125000	7.625654	5.225000	4.662500	3.557143	3.848299	14.375000	16.750000	15.375000	12.875000	11.000000	0.415000	0.400000	0.361667	0.338750	0.358750	0.021750	0.017500	0.016125	0.016375	0.017000	0.8787857	1.011393	1.128286	1.174857	1.144615	154.2021	315.7762	531.6027	634.425	573.2411	9.525000
22-Dec-03	9.525000	11.675000	9.250000	10.900000	12.825000	0.200000	0.100000	0.183333	0.500000	0.600000	7.660833	8.238750	7.851459	8.037917	8.046041	1.000000	1.050000	1.275000	1.625000	1.775000	8.682107	7.625654	5.225000	4.662500	3.557143	12.875000	14.375000	16.750000	15.375000	12.875000	0.421667	0.415000	0.400000	0.361667	0.338750	0.021500	0.021750	0.017500	0.016125	0.016375	0.673	0.8787857	1.011393	1.128286	1.174857	26.6784	154.2021	315.7762	531.6027	634.425	12.175000
19-Jan-04	12.175000	9.525000	11.675000	9.250000	10.900000	0.358333	0.200000	0.100000	0.183333	0.500000	7.511458	7.660833	8.238750	7.851459	8.037917	1.375000	1.000000	1.050000	1.275000	1.625000	9.615999	8.682107	7.625654	5.225000	4.662500	14.416670	12.875000	14.375000	16.750000	15.375000	0.464368	0.421667	0.415000	0.400000	0.361667	0.019750	0.021500	0.021750	0.017500	0.016125	0.87148	0.673	0.8787857	1.011393	1.128286	159.0982	26.6784	154.2021	315.7762	531.6027	14.848280
