t	x(t-1)	x(t-2)	x(t-3)	x(t-4)	x(t-5)	x(t-6)	x(t-7)	x(t-8)	x(t-9)	x(t-10)	x(t-11)	x(t-12)	x(t-13)	x(t-14)	x(t-15)	xt
52	-2.7392	-1.27505	2.13877	1.41972	1.77298	0.0719705	-1.4983	-1.38884	-1.36217	-0.383757	0.98544	1.03217	2.65463	-0.345246	-0.764671	-3.02336
53	-3.02336	-2.7392	-1.27505	2.13877	1.41972	1.77298	0.0719705	-1.4983	-1.38884	-1.36217	-0.383757	0.98544	1.03217	2.65463	-0.345246	-2.67028
54	-2.67028	-3.02336	-2.7392	-1.27505	2.13877	1.41972	1.77298	0.0719705	-1.4983	-1.38884	-1.36217	-0.383757	0.98544	1.03217	2.65463	-1.00284
55	-1.00284	-2.67028	-3.02336	-2.7392	-1.27505	2.13877	1.41972	1.77298	0.0719705	-1.4983	-1.38884	-1.36217	-0.383757	0.98544	1.03217	-0.694096
56	-0.694096	-1.00284	-2.67028	-3.02336	-2.7392	-1.27505	2.13877	1.41972	1.77298	0.0719705	-1.4983	-1.38884	-1.36217	-0.383757	0.98544	-0.267923
57	-0.267923	-0.694096	-1.00284	-2.67028	-3.02336	-2.7392	-1.27505	2.13877	1.41972	1.77298	0.0719705	-1.4983	-1.38884	-1.36217	-0.383757	0.566498
58	0.566498	-0.267923	-0.694096	-1.00284	-2.67028	-3.02336	-2.7392	-1.27505	2.13877	1.41972	1.77298	0.0719705	-1.4983	-1.38884	-1.36217	-0.743604
59	-0.743604	0.566498	-0.267923	-0.694096	-1.00284	-2.67028	-3.02336	-2.7392	-1.27505	2.13877	1.41972	1.77298	0.0719705	-1.4983	-1.38884	-0.878815
60	-0.878815	-0.743604	0.566498	-0.267923	-0.694096	-1.00284	-2.67028	-3.02336	-2.7392	-1.27505	2.13877	1.41972	1.77298	0.0719705	-1.4983	-1.36539
61	-1.36539	-0.878815	-0.743604	0.566498	-0.267923	-0.694096	-1.00284	-2.67028	-3.02336	-2.7392	-1.27505	2.13877	1.41972	1.77298	0.0719705	-1.43409
62	-1.43409	-1.36539	-0.878815	-0.743604	0.566498	-0.267923	-0.694096	-1.00284	-2.67028	-3.02336	-2.7392	-1.27505	2.13877	1.41972	1.77298	-0.828504
63	-0.828504	-1.43409	-1.36539	-0.878815	-0.743604	0.566498	-0.267923	-0.694096	-1.00284	-2.67028	-3.02336	-2.7392	-1.27505	2.13877	1.41972	-0.265753
64	-0.265753	-0.828504	-1.43409	-1.36539	-0.878815	-0.743604	0.566498	-0.267923	-0.694096	-1.00284	-2.67028	-3.02336	-2.7392	-1.27505	2.13877	1.12585
65	1.12585	-0.265753	-0.828504	-1.43409	-1.36539	-0.878815	-0.743604	0.566498	-0.267923	-0.694096	-1.00284	-2.67028	-3.02336	-2.7392	-1.27505	2.28541
66	2.28541	1.12585	-0.265753	-0.828504	-1.43409	-1.36539	-0.878815	-0.743604	0.566498	-0.267923	-0.694096	-1.00284	-2.67028	-3.02336	-2.7392	1.30843
67	1.30843	2.28541	1.12585	-0.265753	-0.828504	-1.43409	-1.36539	-0.878815	-0.743604	0.566498	-0.267923	-0.694096	-1.00284	-2.67028	-3.02336	2.58267
68	2.58267	1.30843	2.28541	1.12585	-0.265753	-0.828504	-1.43409	-1.36539	-0.878815	-0.743604	0.566498	-0.267923	-0.694096	-1.00284	-2.67028	0.24831
69	0.24831	2.58267	1.30843	2.28541	1.12585	-0.265753	-0.828504	-1.43409	-1.36539	-0.878815	-0.743604	0.566498	-0.267923	-0.694096	-1.00284	-0.245187
70	-0.245187	0.24831	2.58267	1.30843	2.28541	1.12585	-0.265753	-0.828504	-1.43409	-1.36539	-0.878815	-0.743604	0.566498	-0.267923	-0.694096	-1.14548
71	-1.14548	-0.245187	0.24831	2.58267	1.30843	2.28541	1.12585	-0.265753	-0.828504	-1.43409	-1.36539	-0.878815	-0.743604	0.566498	-0.267923	-1.60075
72	-1.60075	-1.14548	-0.245187	0.24831	2.58267	1.30843	2.28541	1.12585	-0.265753	-0.828504	-1.43409	-1.36539	-0.878815	-0.743604	0.566498	-2.1172
73	-2.1172	-1.60075	-1.14548	-0.245187	0.24831	2.58267	1.30843	2.28541	1.12585	-0.265753	-0.828504	-1.43409	-1.36539	-0.878815	-0.743604	-1.36849
74	-1.36849	-2.1172	-1.60075	-1.14548	-0.245187	0.24831	2.58267	1.30843	2.28541	1.12585	-0.265753	-0.828504	-1.43409	-1.36539	-0.878815	-0.0421214
75	-0.0421214	-1.36849	-2.1172	-1.60075	-1.14548	-0.245187	0.24831	2.58267	1.30843	2.28541	1.12585	-0.265753	-0.828504	-1.43409	-1.36539	-1.47362
76	-1.47362	-0.0421214	-1.36849	-2.1172	-1.60075	-1.14548	-0.245187	0.24831	2.58267	1.30843	2.28541	1.12585	-0.265753	-0.828504	-1.43409	0.584497
77	0.584497	-1.47362	-0.0421214	-1.36849	-2.1172	-1.60075	-1.14548	-0.245187	0.24831	2.58267	1.30843	2.28541	1.12585	-0.265753	-0.828504	1.00819
78	1.00819	0.584497	-1.47362	-0.0421214	-1.36849	-2.1172	-1.60075	-1.14548	-0.245187	0.24831	2.58267	1.30843	2.28541	1.12585	-0.265753	3.04571
79	3.04571	1.00819	0.584497	-1.47362	-0.0421214	-1.36849	-2.1172	-1.60075	-1.14548	-0.245187	0.24831	2.58267	1.30843	2.28541	1.12585	2.86635
80	2.86635	3.04571	1.00819	0.584497	-1.47362	-0.0421214	-1.36849	-2.1172	-1.60075	-1.14548	-0.245187	0.24831	2.58267	1.30843	2.28541	0.268221
81	0.268221	2.86635	3.04571	1.00819	0.584497	-1.47362	-0.0421214	-1.36849	-2.1172	-1.60075	-1.14548	-0.245187	0.24831	2.58267	1.30843	-0.38122
82	-0.38122	0.268221	2.86635	3.04571	1.00819	0.584497	-1.47362	-0.0421214	-1.36849	-2.1172	-1.60075	-1.14548	-0.245187	0.24831	2.58267	-1.80203
83	-1.80203	-0.38122	0.268221	2.86635	3.04571	1.00819	0.584497	-1.47362	-0.0421214	-1.36849	-2.1172	-1.60075	-1.14548	-0.245187	0.24831	-3.54733
84	-3.54733	-1.80203	-0.38122	0.268221	2.86635	3.04571	1.00819	0.584497	-1.47362	-0.0421214	-1.36849	-2.1172	-1.60075	-1.14548	-0.245187	-0.393365
85	-0.393365	-3.54733	-1.80203	-0.38122	0.268221	2.86635	3.04571	1.00819	0.584497	-1.47362	-0.0421214	-1.36849	-2.1172	-1.60075	-1.14548	-1.43433
86	-1.43433	-0.393365	-3.54733	-1.80203	-0.38122	0.268221	2.86635	3.04571	1.00819	0.584497	-1.47362	-0.0421214	-1.36849	-2.1172	-1.60075	-0.948514
87	-0.948514	-1.43433	-0.393365	-3.54733	-1.80203	-0.38122	0.268221	2.86635	3.04571	1.00819	0.584497	-1.47362	-0.0421214	-1.36849	-2.1172	2.09063
88	2.09063	-0.948514	-1.43433	-0.393365	-3.54733	-1.80203	-0.38122	0.268221	2.86635	3.04571	1.00819	0.584497	-1.47362	-0.0421214	-1.36849	0.900769
89	0.900769	2.09063	-0.948514	-1.43433	-0.393365	-3.54733	-1.80203	-0.38122	0.268221	2.86635	3.04571	1.00819	0.584497	-1.47362	-0.0421214	1.59374
90	1.59374	0.900769	2.09063	-0.948514	-1.43433	-0.393365	-3.54733	-1.80203	-0.38122	0.268221	2.86635	3.04571	1.00819	0.584497	-1.47362	-0.0561378
91	-0.0561378	1.59374	0.900769	2.09063	-0.948514	-1.43433	-0.393365	-3.54733	-1.80203	-0.38122	0.268221	2.86635	3.04571	1.00819	0.584497	-2.68328
92	-2.68328	-0.0561378	1.59374	0.900769	2.09063	-0.948514	-1.43433	-0.393365	-3.54733	-1.80203	-0.38122	0.268221	2.86635	3.04571	1.00819	-2.5505
93	-2.5505	-2.68328	-0.0561378	1.59374	0.900769	2.09063	-0.948514	-1.43433	-0.393365	-3.54733	-1.80203	-0.38122	0.268221	2.86635	3.04571	-2.14979
94	-2.14979	-2.5505	-2.68328	-0.0561378	1.59374	0.900769	2.09063	-0.948514	-1.43433	-0.393365	-3.54733	-1.80203	-0.38122	0.268221	2.86635	-1.17385
95	-1.17385	-2.14979	-2.5505	-2.68328	-0.0561378	1.59374	0.900769	2.09063	-0.948514	-1.43433	-0.393365	-3.54733	-1.80203	-0.38122	0.268221	1.50628
96	1.50628	-1.17385	-2.14979	-2.5505	-2.68328	-0.0561378	1.59374	0.900769	2.09063	-0.948514	-1.43433	-0.393365	-3.54733	-1.80203	-0.38122	1.66278
97	1.66278	1.50628	-1.17385	-2.14979	-2.5505	-2.68328	-0.0561378	1.59374	0.900769	2.09063	-0.948514	-1.43433	-0.393365	-3.54733	-1.80203	0.633095
98	0.633095	1.66278	1.50628	-1.17385	-2.14979	-2.5505	-2.68328	-0.0561378	1.59374	0.900769	2.09063	-0.948514	-1.43433	-0.393365	-3.54733	0.408336
99	0.408336	0.633095	1.66278	1.50628	-1.17385	-2.14979	-2.5505	-2.68328	-0.0561378	1.59374	0.900769	2.09063	-0.948514	-1.43433	-0.393365	1.31859
100	1.31859	0.408336	0.633095	1.66278	1.50628	-1.17385	-2.14979	-2.5505	-2.68328	-0.0561378	1.59374	0.900769	2.09063	-0.948514	-1.43433	-2.05362
101	-2.05362	1.31859	0.408336	0.633095	1.66278	1.50628	-1.17385	-2.14979	-2.5505	-2.68328	-0.0561378	1.59374	0.900769	2.09063	-0.948514	-3.25414
102	-3.25414	-2.05362	1.31859	0.408336	0.633095	1.66278	1.50628	-1.17385	-2.14979	-2.5505	-2.68328	-0.0561378	1.59374	0.900769	2.09063	-1.5297
103	-1.5297	-3.25414	-2.05362	1.31859	0.408336	0.633095	1.66278	1.50628	-1.17385	-2.14979	-2.5505	-2.68328	-0.0561378	1.59374	0.900769	-1.01095
104	-1.01095	-1.5297	-3.25414	-2.05362	1.31859	0.408336	0.633095	1.66278	1.50628	-1.17385	-2.14979	-2.5505	-2.68328	-0.0561378	1.59374	2.31815
105	2.31815	-1.01095	-1.5297	-3.25414	-2.05362	1.31859	0.408336	0.633095	1.66278	1.50628	-1.17385	-2.14979	-2.5505	-2.68328	-0.0561378	1.54784
106	1.54784	2.31815	-1.01095	-1.5297	-3.25414	-2.05362	1.31859	0.408336	0.633095	1.66278	1.50628	-1.17385	-2.14979	-2.5505	-2.68328	1.02978
107	1.02978	1.54784	2.31815	-1.01095	-1.5297	-3.25414	-2.05362	1.31859	0.408336	0.633095	1.66278	1.50628	-1.17385	-2.14979	-2.5505	1.66576
108	1.66576	1.02978	1.54784	2.31815	-1.01095	-1.5297	-3.25414	-2.05362	1.31859	0.408336	0.633095	1.66278	1.50628	-1.17385	-2.14979	0.236987
109	0.236987	1.66576	1.02978	1.54784	2.31815	-1.01095	-1.5297	-3.25414	-2.05362	1.31859	0.408336	0.633095	1.66278	1.50628	-1.17385	1.44084
110	1.44084	0.236987	1.66576	1.02978	1.54784	2.31815	-1.01095	-1.5297	-3.25414	-2.05362	1.31859	0.408336	0.633095	1.66278	1.50628	2.04282
111	2.04282	1.44084	0.236987	1.66576	1.02978	1.54784	2.31815	-1.01095	-1.5297	-3.25414	-2.05362	1.31859	0.408336	0.633095	1.66278	-1.00303
112	-1.00303	2.04282	1.44084	0.236987	1.66576	1.02978	1.54784	2.31815	-1.01095	-1.5297	-3.25414	-2.05362	1.31859	0.408336	0.633095	-0.361074
113	-0.361074	-1.00303	2.04282	1.44084	0.236987	1.66576	1.02978	1.54784	2.31815	-1.01095	-1.5297	-3.25414	-2.05362	1.31859	0.408336	-0.00416694
114	-0.00416694	-0.361074	-1.00303	2.04282	1.44084	0.236987	1.66576	1.02978	1.54784	2.31815	-1.01095	-1.5297	-3.25414	-2.05362	1.31859	2.19666
115	2.19666	-0.00416694	-0.361074	-1.00303	2.04282	1.44084	0.236987	1.66576	1.02978	1.54784	2.31815	-1.01095	-1.5297	-3.25414	-2.05362	1.03301
116	1.03301	2.19666	-0.00416694	-0.361074	-1.00303	2.04282	1.44084	0.236987	1.66576	1.02978	1.54784	2.31815	-1.01095	-1.5297	-3.25414	0.154758
117	0.154758	1.03301	2.19666	-0.00416694	-0.361074	-1.00303	2.04282	1.44084	0.236987	1.66576	1.02978	1.54784	2.31815	-1.01095	-1.5297	-0.731254
118	-0.731254	0.154758	1.03301	2.19666	-0.00416694	-0.361074	-1.00303	2.04282	1.44084	0.236987	1.66576	1.02978	1.54784	2.31815	-1.01095	-1.38361
119	-1.38361	-0.731254	0.154758	1.03301	2.19666	-0.00416694	-0.361074	-1.00303	2.04282	1.44084	0.236987	1.66576	1.02978	1.54784	2.31815	-1.54354
120	-1.54354	-1.38361	-0.731254	0.154758	1.03301	2.19666	-0.00416694	-0.361074	-1.00303	2.04282	1.44084	0.236987	1.66576	1.02978	1.54784	-1.41329
121	-1.41329	-1.54354	-1.38361	-0.731254	0.154758	1.03301	2.19666	-0.00416694	-0.361074	-1.00303	2.04282	1.44084	0.236987	1.66576	1.02978	-2.4036
122	-2.4036	-1.41329	-1.54354	-1.38361	-0.731254	0.154758	1.03301	2.19666	-0.00416694	-0.361074	-1.00303	2.04282	1.44084	0.236987	1.66576	-1.84101
123	-1.84101	-2.4036	-1.41329	-1.54354	-1.38361	-0.731254	0.154758	1.03301	2.19666	-0.00416694	-0.361074	-1.00303	2.04282	1.44084	0.236987	-0.648583
124	-0.648583	-1.84101	-2.4036	-1.41329	-1.54354	-1.38361	-0.731254	0.154758	1.03301	2.19666	-0.00416694	-0.361074	-1.00303	2.04282	1.44084	-1.63927
125	-1.63927	-0.648583	-1.84101	-2.4036	-1.41329	-1.54354	-1.38361	-0.731254	0.154758	1.03301	2.19666	-0.00416694	-0.361074	-1.00303	2.04282	-0.528041
126	-0.528041	-1.63927	-0.648583	-1.84101	-2.4036	-1.41329	-1.54354	-1.38361	-0.731254	0.154758	1.03301	2.19666	-0.00416694	-0.361074	-1.00303	0.371576
127	0.371576	-0.528041	-1.63927	-0.648583	-1.84101	-2.4036	-1.41329	-1.54354	-1.38361	-0.731254	0.154758	1.03301	2.19666	-0.00416694	-0.361074	0.476073
128	0.476073	0.371576	-0.528041	-1.63927	-0.648583	-1.84101	-2.4036	-1.41329	-1.54354	-1.38361	-0.731254	0.154758	1.03301	2.19666	-0.00416694	0.721124
129	0.721124	0.476073	0.371576	-0.528041	-1.63927	-0.648583	-1.84101	-2.4036	-1.41329	-1.54354	-1.38361	-0.731254	0.154758	1.03301	2.19666	1.02153
130	1.02153	0.721124	0.476073	0.371576	-0.528041	-1.63927	-0.648583	-1.84101	-2.4036	-1.41329	-1.54354	-1.38361	-0.731254	0.154758	1.03301	-0.965984
131	-0.965984	1.02153	0.721124	0.476073	0.371576	-0.528041	-1.63927	-0.648583	-1.84101	-2.4036	-1.41329	-1.54354	-1.38361	-0.731254	0.154758	-0.227643
132	-0.227643	-0.965984	1.02153	0.721124	0.476073	0.371576	-0.528041	-1.63927	-0.648583	-1.84101	-2.4036	-1.41329	-1.54354	-1.38361	-0.731254	-0.330096
133	-0.330096	-0.227643	-0.965984	1.02153	0.721124	0.476073	0.371576	-0.528041	-1.63927	-0.648583	-1.84101	-2.4036	-1.41329	-1.54354	-1.38361	-0.19714
134	-0.19714	-0.330096	-0.227643	-0.965984	1.02153	0.721124	0.476073	0.371576	-0.528041	-1.63927	-0.648583	-1.84101	-2.4036	-1.41329	-1.54354	0.712444
135	0.712444	-0.19714	-0.330096	-0.227643	-0.965984	1.02153	0.721124	0.476073	0.371576	-0.528041	-1.63927	-0.648583	-1.84101	-2.4036	-1.41329	0.247979
136	0.247979	0.712444	-0.19714	-0.330096	-0.227643	-0.965984	1.02153	0.721124	0.476073	0.371576	-0.528041	-1.63927	-0.648583	-1.84101	-2.4036	1.56183
137	1.56183	0.247979	0.712444	-0.19714	-0.330096	-0.227643	-0.965984	1.02153	0.721124	0.476073	0.371576	-0.528041	-1.63927	-0.648583	-1.84101	1.65853
138	1.65853	1.56183	0.247979	0.712444	-0.19714	-0.330096	-0.227643	-0.965984	1.02153	0.721124	0.476073	0.371576	-0.528041	-1.63927	-0.648583	0.98595
139	0.98595	1.65853	1.56183	0.247979	0.712444	-0.19714	-0.330096	-0.227643	-0.965984	1.02153	0.721124	0.476073	0.371576	-0.528041	-1.63927	-1.34268
140	-1.34268	0.98595	1.65853	1.56183	0.247979	0.712444	-0.19714	-0.330096	-0.227643	-0.965984	1.02153	0.721124	0.476073	0.371576	-0.528041	-2.62987
141	-2.62987	-1.34268	0.98595	1.65853	1.56183	0.247979	0.712444	-0.19714	-0.330096	-0.227643	-0.965984	1.02153	0.721124	0.476073	0.371576	-3.75033
142	-3.75033	-2.62987	-1.34268	0.98595	1.65853	1.56183	0.247979	0.712444	-0.19714	-0.330096	-0.227643	-0.965984	1.02153	0.721124	0.476073	-2.66798
143	-2.66798	-3.75033	-2.62987	-1.34268	0.98595	1.65853	1.56183	0.247979	0.712444	-0.19714	-0.330096	-0.227643	-0.965984	1.02153	0.721124	-2.13813
144	-2.13813	-2.66798	-3.75033	-2.62987	-1.34268	0.98595	1.65853	1.56183	0.247979	0.712444	-0.19714	-0.330096	-0.227643	-0.965984	1.02153	-2.58013
145	-2.58013	-2.13813	-2.66798	-3.75033	-2.62987	-1.34268	0.98595	1.65853	1.56183	0.247979	0.712444	-0.19714	-0.330096	-0.227643	-0.965984	1.68492
146	1.68492	-2.58013	-2.13813	-2.66798	-3.75033	-2.62987	-1.34268	0.98595	1.65853	1.56183	0.247979	0.712444	-0.19714	-0.330096	-0.227643	2.39135
147	2.39135	1.68492	-2.58013	-2.13813	-2.66798	-3.75033	-2.62987	-1.34268	0.98595	1.65853	1.56183	0.247979	0.712444	-0.19714	-0.330096	2.98335
148	2.98335	2.39135	1.68492	-2.58013	-2.13813	-2.66798	-3.75033	-2.62987	-1.34268	0.98595	1.65853	1.56183	0.247979	0.712444	-0.19714	1.6454
149	1.6454	2.98335	2.39135	1.68492	-2.58013	-2.13813	-2.66798	-3.75033	-2.62987	-1.34268	0.98595	1.65853	1.56183	0.247979	0.712444	-0.0198134
150	-0.0198134	1.6454	2.98335	2.39135	1.68492	-2.58013	-2.13813	-2.66798	-3.75033	-2.62987	-1.34268	0.98595	1.65853	1.56183	0.247979	-1.96331
