n	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	Y1
73	0.668326	0.528885	0.312343	0.943222	0.768206	0.122086	0.0382648	0.514936	0.3993	0.211565	21.5649
74	0.45265	0.160162	0.308247	0.433758	0.00543489	0.649787	0.126222	0.461949	0.0841846	0.780251	8.39987
75	0.910227	0.867197	0.0626739	0.0471826	0.527075	0.177133	0.927866	0.109525	0.387996	0.596191	13.7504
76	0.638409	0.70034	0.539413	0.406615	0.822426	0.577678	0.921551	0.221726	0.789244	0.374201	17.8356
77	0.807959	0.387323	0.747277	0.934181	0.849272	0.831462	0.714432	0.635204	0.516139	0.624658	22.3293
78	0.502401	0.578813	0.671841	0.0294762	0.755945	0.599707	0.139001	0.143942	0.195898	0.77741	13.2854
79	0.184025	0.666707	0.31299	0.105576	0.888433	0.102233	0.479777	0.270321	0.199724	0.287736	10.4379
80	0.657643	0.947001	0.221918	0.506915	0.778463	0.936349	0.142119	0.294601	0.561007	0.64452	20.2482
81	0.673996	0.629359	0.832555	0.812997	0.773301	0.0284525	0.590407	0.617582	0.763764	0.774432	23.5862
82	0.284289	0.0767534	0.880009	0.172722	0.178987	0.359786	0.443043	0.37871	0.647522	0.100686	5.81159
83	0.6076	0.104174	0.805789	0.749719	0.398775	0.366796	0.394239	0.272189	0.599644	0.0682348	14.1499
84	0.901549	0.432199	0.881232	0.67485	0.460652	0.471639	0.292432	0.224415	0.246071	0.576721	20.9809
85	0.749443	0.480156	0.485866	0.192486	0.858866	0.133388	0.293171	0.184577	0.00282779	0.900772	14.5498
86	0.288752	0.808617	0.650491	0.687527	0.175413	0.0447295	0.959716	0.775058	0.112964	0.861265	15.335
87	0.465835	0.828546	0.892324	0.711906	0.405267	0.193493	0.837986	0.154711	0.673648	0.323852	23.6101
88	0.347196	0.532514	0.45724	0.640368	0.717092	0.460067	0.54114	0.00584319	0.268684	0.19163	17.3457
89	0.23636	0.653087	0.219155	0.349324	0.514352	0.426412	0.34352	0.0504663	0.0943199	0.809355	11.7743
90	0.879013	0.986644	0.521261	0.28428	0.180136	0.359247	0.43899	0.853785	0.683098	0.786187	7.48247
91	0.426555	0.10339	0.600405	0.967694	0.109233	0.86909	0.159324	0.802604	0.313187	0.395684	10.7935
92	0.45569	0.532342	0.745008	0.970042	0.958753	0.0885283	0.0205084	0.0530733	0.897883	0.899521	22.0871
93	0.183801	0.219853	0.778391	0.622791	0.0736379	0.461489	0.408978	0.459937	0.601827	0.835533	9.32227
94	0.563327	0.202232	0.803227	0.67256	0.071322	0.962551	0.475164	0.384509	0.358235	0.930854	12.4276
95	0.188248	0.287189	0.627518	0.261886	0.748678	0.0364959	0.721822	0.350505	0.872028	0.285149	8.18449
96	0.552738	0.675255	0.957709	0.62406	0.637806	0.432873	0.00856861	0.996042	0.363727	0.92542	22.3706
97	0.801024	0.291057	0.186029	0.729702	0.380712	0.00695418	0.698096	0.889511	0.0116807	0.886344	17.585
98	0.1767	0.639199	0.14823	0.925379	0.675694	0.870053	0.275884	0.547723	0.155202	0.828622	18.3233
99	0.452681	0.860784	0.545784	0.46125	0.856826	0.909512	0.386669	0.956111	0.174136	0.187693	17.983
100	0.247168	0.360164	0.917395	0.62788	0.367118	0.615491	0.517391	0.378799	0.501835	0.694091	15.2906
101	0.520118	0.895354	0.241415	0.67532	0.723975	0.464393	0.788231	0.176656	0.325177	0.334016	23.1626
102	0.637906	0.182003	0.243528	0.0245755	0.138114	0.417663	0.212269	0.385282	0.777828	0.129663	7.48537
103	0.523745	0.24699	0.224643	0.541743	0.897055	0.844113	0.235435	0.417174	0.739467	0.47685	15.5798
104	0.0924937	0.463442	0.941243	0.880725	0.640098	0.26642	0.214741	0.278005	0.448423	0.458269	15.564
105	0.875932	0.514849	0.971818	0.65376	0.644512	0.98498	0.798706	0.389667	0.515532	0.322451	24.8305
106	0.636656	0.740175	0.864194	0.533712	0.584288	0.0996293	0.950885	0.323755	0.576479	0.043379	22.3543
107	0.924104	0.427295	0.784142	0.138845	0.7053	0.232565	0.597114	0.00788008	0.819102	0.473045	16.0807
108	0.522729	0.79092	0.126805	0.167241	0.775899	0.925511	0.556908	0.291431	0.247962	0.193564	19.4314
109	0.211786	0.678161	0.939649	0.788265	0.72154	0.726846	0.305987	0.645644	0.154141	0.0901297	20.462
110	0.784489	0.859441	0.322695	0.381603	0.867321	0.141796	0.854648	0.39005	0.932716	0.981453	17.8053
111	0.906964	0.114199	4.68777e-05	0.154927	0.307763	0.0316532	0.267083	0.0350389	0.647548	0.478869	13.0491
112	0.7132	0.587197	0.267134	0.43474	0.314043	0.573122	0.080384	0.468185	0.663252	0.864873	16.0633
113	0.127743	0.101124	0.584998	0.0604589	0.082577	0.142289	0.769074	0.989541	0.256489	0.769121	0.827527
114	0.144468	0.564252	0.800775	0.411551	0.599291	0.448322	0.89042	0.312491	0.0355193	0.157555	12.7177
115	0.730677	0.827615	0.817747	0.393928	0.692488	0.145373	0.379874	0.938963	0.340321	0.507617	18.1159
116	0.0400871	0.925318	0.568076	0.122664	0.0676078	0.33715	0.112205	0.324096	0.106272	0.256673	4.89926
117	0.355369	0.558645	0.800129	0.390888	0.716199	0.54736	0.74045	0.446876	0.374975	0.558198	14.9789
118	0.840804	0.0674623	0.703571	0.220679	0.0064256	0.0438913	0.728296	0.0465127	0.96921	0.296372	5.69282
119	0.360914	0.739794	0.538055	0.249262	0.64684	0.20628	0.736901	0.00220922	0.764925	0.53703	11.7985
120	0.393097	0.481124	0.0843902	0.133548	0.928	0.459365	0.691745	0.768804	0.526827	0.395316	15.303
121	0.439207	0.717778	0.579765	0.408417	0.0141502	0.748942	0.445235	0.647672	0.030324	0.806149	12.6633
122	0.387466	0.568379	0.0554106	0.0343068	0.774659	0.792311	0.036516	0.539584	0.329342	0.429613	14.2298
123	0.563161	0.948708	0.873097	0.254906	0.717512	0.399924	0.650222	0.706995	0.933176	0.0894297	18.8052
124	0.424774	0.512941	0.497847	0.438924	0.261883	0.943081	0.0865962	0.292207	0.74923	0.474063	12.3881
125	0.508369	0.635246	0.596952	0.544885	0.17483	0.926294	0.974499	0.195538	0.340026	0.53766	15.313
126	0.144246	0.213122	0.792566	0.861759	0.613046	0.442789	0.568754	0.546222	0.532218	0.993528	13.6667
127	0.973147	0.519048	0.613254	0.722377	0.99311	0.473841	0.527017	0.50148	0.109087	0.123969	20.6104
128	0.0463652	0.283917	0.0502633	0.0208639	0.479455	0.390289	0.558524	0.623701	0.603411	0.35109	6.98756
129	0.793879	0.054214	0.762679	0.326097	0.0477418	0.821842	0.356162	0.480193	0.142889	0.329309	4.72509
130	0.999241	0.756143	0.0516852	0.992352	0.229984	0.578702	0.493831	0.339071	0.702672	0.540197	22.7028
131	0.56106	0.102443	0.143224	0.119584	0.726144	0.746635	0.470674	0.211604	0.963092	0.264553	10.5325
132	0.265818	0.725771	0.590649	0.31356	0.547613	0.946811	0.793753	0.690502	0.27612	0.792995	11.1367
133	0.785346	0.676628	0.906508	0.279178	0.0156992	0.609179	0.819374	0.638687	0.362115	0.380434	14.1971
134	0.74113	0.505339	0.500019	0.467274	0.251974	0.970693	0.678878	0.215066	0.235245	0.944697	13.464
135	0.772706	0.0520103	0.178952	0.0488258	0.845005	0.625596	0.376631	0.630351	0.302225	0.283138	7.95263
136	0.909529	0.317924	0.892318	0.728903	0.956611	0.254432	0.109337	0.697741	0.759771	0.609356	23.3032
137	0.226811	0.815294	0.78859	0.167648	0.641188	0.0468473	0.656098	0.413894	0.0988576	0.83505	13.1851
138	0.46272	0.943863	0.460646	0.839351	0.574214	0.762871	0.122489	0.483742	0.0807953	0.0148069	19.9353
139	0.735147	0.0290106	0.931338	0.900163	0.0407559	0.511386	0.744056	0.267567	0.32668	0.532647	12.6985
140	0.435216	0.967868	0.579494	0.0913142	0.381762	0.678351	0.926364	0.844482	0.622214	0.387011	13.2503
141	0.149882	0.806322	0.68017	0.230677	0.821129	0.892815	0.268084	0.0903681	0.214797	0.00323105	9.76618
142	0.119379	0.146135	0.903394	0.160135	0.657522	0.64745	0.427702	0.984202	0.180096	0.862918	9.03352
143	0.437942	0.880596	0.178314	0.0601557	0.267607	0.862147	0.256583	0.417489	0.668469	0.936754	13.2457
144	0.648167	0.489597	0.829569	0.91625	0.579965	0.0443661	0.919481	0.699344	0.190501	0.822875	22.379
145	0.832225	0.650421	0.150099	0.784295	0.410011	0.104331	0.118126	0.847953	0.984927	0.29644	20.4372
146	0.908109	0.252535	0.158587	0.164692	0.670024	0.827056	0.101446	0.318191	0.316653	0.931014	13.6858
147	0.97538	0.153923	0.595963	0.165882	0.976798	0.455442	0.0139049	0.447123	0.742623	0.84613	11.6287
148	0.0975437	0.892721	0.630424	0.507555	0.997052	0.748551	0.355508	0.98198	0.044991	0.263617	12.4651
149	0.428309	0.904539	0.0306337	0.529754	0.222729	0.347287	0.460768	0.457171	0.243905	0.436149	19.4864
150	0.611093	0.839868	0.60203	0.587891	0.295309	0.615935	0.0350138	0.037932	0.462065	0.132558	17.757
151	0.84104	0.99562	0.909686	0.886031	0.259237	0.1442	0.089609	0.687546	0.0487385	0.120243	19.0199
152	0.2173	0.271468	0.467529	0.678068	0.728638	0.711434	0.114216	0.339732	0.551302	0.716247	12.2017
153	0.884543	0.794247	0.0951945	0.815197	0.886736	0.735307	0.742903	0.727776	0.730928	0.652588	24.1427
154	0.613807	0.990165	0.796788	0.703416	0.67771	0.845527	0.823659	0.89501	0.116995	0.291188	21.8605
155	0.00262258	0.687294	0.185365	0.553925	0.403541	0.112988	0.400536	0.735723	0.0756249	0.28508	10.7467
156	0.52997	0.170819	0.100276	0.416706	0.906126	0.843179	0.144482	0.637054	0.495767	0.75829	15.5864
157	0.461706	0.304929	0.138082	0.285365	0.199938	0.255076	0.576553	0.773016	0.100709	0.579176	9.30639
158	0.460309	0.286074	0.1331	0.86385	0.399062	0.533636	0.599573	0.474687	0.818716	0.129542	17.5732
159	0.546248	0.551633	0.762171	0.690731	0.188687	0.257939	0.44902	0.815905	0.550494	0.910726	17.994
160	0.120834	0.688576	0.196091	0.320772	0.943652	0.772644	0.0937877	0.0443619	0.351819	0.554097	10.2896
161	0.417947	0.729499	0.0185558	0.0175198	0.204186	0.837272	0.147062	0.849692	0.756264	0.693311	13.8275
162	0.401325	0.518436	0.384041	0.590012	0.776374	0.833062	0.405917	0.326868	0.743788	0.526751	16.2562
163	0.00345808	0.0643416	0.495408	0.333894	0.549261	0.913355	0.0633928	0.567817	0.930875	0.267578	6.35113
164	0.405089	0.0779371	0.117271	0.161353	0.771248	0.518596	0.679788	0.155289	0.108608	0.456162	9.69367
165	0.78303	0.732138	0.041276	0.798474	0.672017	0.888799	0.757571	0.384539	0.83011	0.761029	25.2985
166	0.448881	0.325518	0.094923	0.998142	0.238873	0.158316	0.565959	0.169748	0.425894	0.971047	17.2754
167	0.1324	0.0189329	0.0617606	0.812189	0.174222	0.170368	0.268351	0.162572	0.684893	0.0513816	13.1888
168	0.894711	0.726169	0.849856	0.566728	0.614968	0.607427	0.951267	0.445079	0.368455	0.400148	21.6457
169	0.39829	0.00947013	0.621694	0.964248	0.179218	0.0475882	0.935296	0.426904	0.590753	0.067696	10.7446
170	0.445836	0.652514	0.879885	0.620058	0.822882	0.148236	0.782631	0.507775	0.199617	0.677342	20.6706
171	0.6569	0.195336	0.293991	0.0253549	0.595484	0.0645876	0.488733	0.993774	0.0740577	0.110427	8.61575
172	0.958022	0.253276	0.158015	0.893318	0.68018	0.748768	0.961014	0.126016	0.401282	0.840899	22.3107
173	0.989134	0.528705	0.731938	0.188752	0.206047	0.965882	0.238225	0.450117	0.814794	0.895125	13.1474
174	0.645453	0.108785	0.92048	0.240937	0.173373	0.409213	0.234711	0.247431	0.51964	0.192734	9.00844
175	0.0860517	0.180886	0.426423	0.0470658	0.306902	0.827705	0.887965	0.0529768	0.0518689	0.877099	4.6367
176	0.581682	0.783807	0.0658506	0.787729	0.74969	0.304075	0.237846	0.564484	0.1992	0.883299	25.6509
177	0.124236	0.846642	0.528892	0.358948	0.0940727	0.0485317	0.551681	0.594779	0.726187	0.637733	6.55052
178	0.775665	0.15261	0.684799	0.0825677	0.980315	0.572763	0.135545	0.0321839	0.449862	0.717227	11.3953
179	0.504956	0.565681	0.819788	0.742802	0.130165	0.0189879	0.626101	0.803434	0.138667	0.750337	18.0083
180	0.650077	0.667559	0.109285	0.744149	0.716091	0.660966	0.338929	0.442278	0.298698	0.114594	23.9073
181	0.197162	0.575203	0.55626	0.332706	0.607387	0.00612195	0.0499329	0.423378	0.521834	0.554889	10.1529
182	0.989059	0.341622	0.297691	0.119224	0.36061	0.923792	0.922658	0.499278	0.674129	0.572735	11.9876
183	0.316884	0.882928	0.444379	0.655813	0.325206	0.743078	0.770407	0.920094	0.726575	0.967568	16.4208
184	0.495297	0.282835	0.300275	0.102683	0.288957	0.350207	0.526061	0.810791	0.905096	0.51512	7.0757
185	0.634344	0.513024	0.126579	0.557002	0.0123013	0.800708	0.129737	0.179138	0.584121	0.446622	16.5657
186	0.0620666	0.0285004	0.102434	0.387273	0.771578	0.872841	0.307366	0.498153	0.840409	0.802663	11.3207
187	0.905346	0.0699438	0.490891	0.431407	0.880735	0.395988	0.946527	0.0331482	0.598775	0.580872	10.2183
188	0.546172	0.725354	0.137874	0.558473	0.526062	0.267611	0.737611	0.110183	0.714233	0.799678	20.01
189	0.186951	0.910262	0.689509	0.494317	0.408414	0.529918	0.29698	0.189401	0.670602	0.202326	13.0619
190	0.259345	0.161494	0.633734	0.14008	0.557481	0.580261	0.173228	0.156257	0.161133	0.7194	6.53817
191	0.277873	0.407673	0.566618	0.0154844	0.517856	0.280851	0.815162	0.65654	0.0975185	0.00211305	5.95877
192	0.566801	0.787027	0.49643	0.975215	0.316945	0.79341	0.164617	0.987547	0.995737	0.423962	20.1833
193	0.564042	0.706522	0.209732	0.73727	0.862779	0.370865	0.45667	0.74439	0.669871	0.734543	23.2405
194	0.152062	0.23649	0.750027	0.669918	0.517341	0.565189	0.326458	0.614859	0.567302	0.893259	11.5169
195	0.868474	0.718831	0.857143	0.0330907	0.706378	0.85288	0.457052	0.855419	0.48235	0.021094	15.0091
196	0.561941	0.692082	0.758364	0.42472	0.0629468	0.215033	0.169109	0.732818	0.949576	0.321172	15.5594
197	0.264793	0.317548	0.101507	0.832095	0.210806	0.503394	0.895828	0.0792805	0.222225	0.752971	15.1547
198	0.112371	0.928603	0.60585	0.569424	0.784022	0.0882007	0.590518	0.345963	0.780283	0.348881	13.5123
199	0.563915	0.939791	0.576048	0.513491	0.260963	0.545356	0.213094	0.252053	0.0320041	0.477887	17.0868
200	0.5696	0.133512	0.309982	0.780407	0.636905	0.205809	0.859687	0.85913	0.95878	0.972059	15.4951
201	0.541482	0.571755	0.652831	0.132	0.917717	0.433114	0.480881	0.688399	0.276344	0.0447959	14.9579
202	0.628191	0.852391	0.558287	0.889154	0.397747	0.771381	0.141207	0.429751	0.249267	0.710807	22.8187
203	0.491214	0.200168	0.765058	0.350901	0.0592977	0.723838	0.32296	0.847031	0.288468	0.864442	10.0605
204	0.418785	0.941299	0.996442	0.336502	0.374413	0.477323	0.0249018	0.650757	0.522119	0.653093	19.6252
205	0.542247	0.900895	0.851786	0.683453	0.330647	0.101054	0.39426	0.893909	0.660302	0.885474	20.119
206	0.0940773	0.425361	0.236375	0.153375	0.149199	0.559335	0.000405591	0.437667	0.423777	0.419191	3.06549
207	0.755693	0.753379	0.897541	0.780595	0.404136	0.41966	0.433687	0.907284	0.500065	0.975934	21.5264
208	0.808179	0.351851	0.659387	0.138826	0.452905	0.0536473	0.0327351	0.113207	0.939121	0.126812	12.1065
209	0.280188	0.687766	0.734831	0.280593	0.125433	0.158607	0.699784	0.504399	0.578825	0.455477	8.9317
210	0.257778	0.476366	0.236071	0.661914	0.896026	0.669759	0.569198	0.396091	0.645693	0.377377	17.3226
211	0.516203	0.200847	0.358727	0.548938	0.314054	0.297849	0.67575	0.852622	0.473345	0.955938	9.81958
212	0.540389	0.208175	0.236531	0.665822	0.366783	0.936315	0.170221	0.945608	0.391792	0.427999	12.1977
213	0.0899137	0.318	0.297622	0.659112	0.714091	0.943315	0.0364889	0.462033	0.248395	0.552692	13.7521
214	0.66288	0.607122	0.10163	0.976935	0.904971	0.77738	0.829557	0.378316	0.733318	0.369946	27.0795
215	0.0357674	0.953274	0.906164	0.205989	0.898882	0.297956	0.633988	0.320857	0.925819	0.723902	11.3425
216	0.638857	0.223441	0.383013	0.352948	0.166755	0.419502	0.814982	0.41515	0.972194	0.477862	8.89073
217	0.851204	0.284354	0.30556	0.584522	0.654299	0.892051	0.554371	0.690067	0.845325	0.460535	17.5396
218	0.896055	0.744207	0.758491	0.530043	0.0650635	0.68431	0.253945	0.703921	0.90775	0.636959	15.6088
219	0.349713	0.511929	0.102479	0.80451	0.439173	0.953683	0.0888636	0.744732	0.538205	0.743163	18.2491
220	0.636783	0.092576	0.43323	0.482107	0.553111	0.329285	0.226314	0.311602	0.859329	0.291378	10.3198
221	0.835348	0.273731	0.979752	0.937826	0.0782409	0.418925	0.891509	0.167104	0.163657	0.429714	20.8933
222	0.910267	0.80044	0.52229	0.343497	0.282547	0.0754011	0.672782	0.508861	0.387003	0.532111	13.6224
223	0.645385	0.795537	0.286577	0.395617	0.847705	0.264745	0.20231	0.771723	0.732568	0.0376578	18.6152
224	0.0454541	0.71232	0.975484	0.123695	0.131244	0.866993	0.290799	0.294901	0.296707	0.201067	8.22612
225	0.894397	0.217346	0.886749	0.281401	0.749457	0.686988	0.664316	0.394842	0.482525	0.950893	13.1066
226	0.790458	0.33023	0.215638	0.992768	0.101953	0.948206	0.0304262	0.147407	0.660526	0.00591033	18.6917
227	0.872903	0.561902	0.0866714	0.16961	0.762968	0.182012	0.988606	0.307532	0.5599	0.883004	19.7835
228	0.524878	0.446649	0.164405	0.274335	0.133637	0.828721	0.669177	0.616163	0.779615	0.459635	12.316
229	0.943459	0.48283	0.195753	0.603984	0.48874	0.466855	0.395754	0.361644	0.028757	0.482426	19.6206
230	0.531254	0.791725	0.664438	0.51986	0.0992575	0.224338	0.402864	0.624136	0.670987	0.567269	13.9469
231	0.420787	0.175605	0.0272838	0.36718	0.170857	0.479688	0.415526	0.114316	0.962518	0.611279	12.5832
232	0.7183	0.451258	0.0781347	0.114054	0.812902	0.106892	0.59648	0.344156	0.898617	0.260918	17.1666
233	0.622011	0.156244	0.834149	0.520482	0.960868	0.230139	0.0881301	0.381656	0.405744	0.115414	13.5069
234	0.748836	0.576601	0.595102	0.164362	0.690917	0.557619	0.775641	0.409217	0.00887705	0.853776	15.1458
235	0.960668	0.119752	0.165934	0.859285	0.38067	0.0299502	0.857159	0.865927	0.29683	0.47917	17.5846
236	0.0221705	0.130979	0.999652	0.983039	0.361119	0.0877818	0.364695	0.766862	0.203196	0.11353	16.1362
237	0.277892	0.0343803	0.355916	0.0535336	0.443597	0.364793	0.90731	0.966868	0.186572	0.867977	4.58151
238	0.08662	0.352506	0.727262	0.46729	0.382457	0.584421	0.333217	0.679287	0.0635912	0.355387	8.08344
239	0.151025	0.703121	0.938247	0.354221	0.816651	0.281711	0.152518	0.0945434	0.316091	0.508434	13.7395
240	0.148077	0.759688	0.873228	0.0553866	0.726557	0.0597998	0.923364	0.813177	0.412306	0.650626	9.7708
241	0.235047	0.613683	0.47405	0.298639	0.96907	0.284316	0.361881	0.307496	0.455701	0.512906	13.1132
