Sample	RwTurbidity	RwPh	RwColour	RwUvAbs254	RwAlk	AlumDose	FwTurbidity
46	2.9	8.11	52.72	0.37	57	50	0.16
47	2.9	8.11	52.72	0.37	57	55	0.16
48	104	7.98	42.5	0.16	82	10	6.1
49	104	7.98	42.5	0.16	82	20	5.1
50	104	7.98	42.5	0.16	82	22.5	2.9
51	104	7.98	42.5	0.16	82	25	1.3
52	104	7.98	42.5	0.16	82	30	0.34
53	104	7.98	42.5	0.16	82	35	0.39
54	104	7.98	42.5	0.16	82	40	0.22
55	104	7.98	42.5	0.16	82	45	0.15
56	104	7.98	42.5	0.16	82	50	0.15
57	104	7.98	42.5	0.16	82	55	0.11
58	104	7.98	42.5	0.16	82	60	0.13
59	104	7.98	42.5	0.16	82	65	0.14
60	71	8.13	17.6	0.14	123	10	1.7
61	71	8.13	17.6	0.14	123	12.5	1.4
62	71	8.13	17.6	0.14	123	15	0.92
63	71	8.13	17.6	0.14	123	17.5	0.7
64	71	8.13	17.6	0.14	123	20	0.31
65	71	8.13	17.6	0.14	123	25	0.16
66	71	8.13	17.6	0.14	123	30	0.18
67	71	8.13	17.6	0.14	123	40	0.18
68	71	8.13	17.6	0.14	123	80	0.11
69	1.59	8.02	55.64	0.38	54	20	2.1
70	1.59	8.02	55.64	0.38	54	25	2.1
71	1.59	8.02	55.64	0.38	54	30	1.37
72	1.59	8.02	55.64	0.38	54	35	0.15
73	1.59	8.02	55.64	0.38	54	40	0.15
74	1.59	8.02	55.64	0.38	54	45	0.09
75	1.59	8.02	55.64	0.38	54	50	0.07
76	7.3	7.48	34.28	0.21	96	10	1.32
77	7.3	7.48	34.28	0.21	96	20	0.1
78	7.3	7.48	34.28	0.21	96	30	0.09
79	7.3	7.48	34.28	0.21	96	40	0.11
80	7.3	7.48	34.28	0.21	96	50	0.09
81	7.3	7.48	34.28	0.21	96	60	0.07
82	7.3	7.48	34.28	0.21	96	80	0.09
83	7.3	7.48	34.28	0.21	96	100	0.08
84	3.5	7.51	13.31	0.23	38	20	0.16
85	3.5	7.51	13.31	0.23	38	22.5	0.12
86	3.5	7.51	13.31	0.23	38	25	0.13
87	3.5	7.51	13.31	0.23	38	27.5	0.1
88	3.5	7.51	13.31	0.23	38	30	0.1
89	3.5	7.51	13.31	0.23	38	35	0.1
90	3.5	7.51	13.31	0.23	38	40	0.07
91	3.5	7.51	13.31	0.23	38	45	0.08
92	3.2	7.91	35.6	0.25	75	15	0.1
93	3.2	7.91	35.6	0.25	75	20	0.1
94	3.2	7.91	35.6	0.25	75	25	0.06
95	3.2	7.91	35.6	0.25	75	30	0.07
96	3.2	7.91	35.6	0.25	75	35	0.13
97	3.2	7.91	35.6	0.25	75	40	0.04
98	4.8	8.37	31.22	0.25	124	10	0.22
99	4.8	8.37	31.22	0.25	124	20	0.08
100	4.8	8.37	31.22	0.25	124	30	0.06
101	4.8	8.37	31.22	0.25	124	40	0.09
102	4.8	8.37	31.22	0.25	124	50	0.08
103	4.8	8.37	31.22	0.25	124	60	0.03
104	1.55	8.07	8.07	0.08	95	2.5	0.33
105	1.55	8.07	8.07	0.08	95	5	0.31
106	1.55	8.07	8.07	0.08	95	7.5	0.15
107	1.55	8.07	8.07	0.08	95	10	0.1
108	1.55	8.07	8.07	0.08	95	12.5	0.09
109	1.55	8.07	8.07	0.08	95	15	0.09
110	1.55	8.07	8.07	0.08	95	20	0.08
111	1.55	8.07	8.07	0.08	95	20	0.08
112	73	7.92	41.77	0.17	155	30	0.76
113	73	7.92	41.77	0.17	155	40	0.34
114	73	7.92	41.77	0.17	155	45	0.54
115	73	7.92	41.77	0.17	155	50	0.31
116	73	7.92	41.77	0.17	155	55	0.37
117	73	7.92	41.77	0.17	155	60	0.3
118	73	7.92	41.77	0.17	155	70	0.3
119	73	7.92	41.77	0.17	155	80	0.19
120	73	7.92	41.77	0.17	155	100	0.19
121	3.1	8.45	7.02	0.08	130	5	0.4
122	3.1	8.45	7.02	0.08	130	15	0.1
123	3.1	8.45	7.02	0.08	130	20	0.06
124	3.1	8.45	7.02	0.08	130	25	0.05
125	3.1	8.45	7.02	0.08	130	30	0.1
126	3.1	8.45	7.02	0.08	130	40	0.07
127	3.1	8.45	7.02	0.08	130	60	0.09
128	4.1	7.6	33.74	0.21	59	15	0.45
129	4.1	7.6	33.74	0.21	59	20	0.08
130	4.1	7.6	33.74	0.21	59	25	0.09
131	4.1	7.6	33.74	0.21	59	30	0.08
132	4.1	7.6	33.74	0.21	59	35	0.07
133	4.1	7.6	33.74	0.21	59	40	0.04
134	4.1	7.75	76.81	0.32	61	30	0.17
135	4.1	7.75	76.81	0.32	61	35	0.05
136	4.1	7.75	76.81	0.32	61	40	0.07
137	4.1	7.75	76.81	0.32	61	45	0.08
138	4.1	7.75	76.81	0.32	61	50	0.05
139	4.1	7.75	76.81	0.32	61	55	0.05
140	3	7.86	81.92	0.49	62	40	1.44
141	3	7.86	81.92	0.49	62	50	0.2
142	3	7.86	81.92	0.49	62	60	0.1
143	3	7.86	81.92	0.49	62	70	0.06
144	3	7.86	81.92	0.49	62	75	0.07
145	46	7.71	16.23	0.1	55	10	0.72
146	46	7.71	16.23	0.1	55	15	0.46
147	46	7.71	16.23	0.1	55	20	0.17
148	46	7.71	16.23	0.1	55	25	0.09
149	46	7.71	16.23	0.1	55	30	0.07
150	46	7.71	16.23	0.1	55	35	0.05
151	5	7.98	27.18	0.15	67	10	0.48
152	5	7.98	27.18	0.15	67	15	0.13
153	5	7.98	27.18	0.15	67	20	0.16
154	5	7.98	27.18	0.15	67	25	0.11
155	5	7.98	27.18	0.15	67	30	0.18
156	30	7.97	24.26	0.14	65	15	0.34
157	30	7.97	24.26	0.14	65	20	0.31
158	30	7.97	24.26	0.14	65	25	0.19
159	30	7.97	24.26	0.14	65	30	0.2
160	30	7.97	24.26	0.14	65	35	0.13
161	30	7.97	24.26	0.14	65	40	0.13
162	0.33	7.8	18.42	0.16	65	5	0.18
163	0.33	7.8	18.42	0.16	65	10	0.09
164	0.33	7.8	18.42	0.16	65	15	0.1
165	0.33	7.8	18.42	0.16	65	20	0.09
166	0.33	7.8	18.42	0.16	65	25	0.08
167	0.33	7.8	18.42	0.16	65	30	0.2
168	51	7.55	29.36	0.22	55	20	3.2
169	51	7.55	29.36	0.22	55	25	1.85
170	51	7.55	29.36	0.22	55	30	0.55
171	51	7.55	29.36	0.22	55	35	0.17
172	51	7.55	29.36	0.22	55	40	0.13
173	51	7.55	29.36	0.22	55	45	0.19
174	51	7.55	29.36	0.22	55	50	0.09
175	51	7.55	29.36	0.22	55	55	0.08
176	47	7.48	26.45	0.14	53	20	0.58
177	47	7.48	26.45	0.14	53	25	0.22
178	47	7.48	26.45	0.14	53	30	0.12
179	47	7.48	26.45	0.14	53	35	0.11
180	47	7.48	26.45	0.14	53	40	0.12
181	47	7.48	26.45	0.14	53	45	0.09
182	7	8.09	7.61	0.07	72	5	0.27
183	7	8.09	7.61	0.07	72	10	0.1
184	7	8.09	7.61	0.07	72	15	0.08
185	7	8.09	7.61	0.07	72	20	0.08
186	7	8.09	7.61	0.07	72	30	0.07
187	7	8.09	7.61	0.07	72	40	0.07
188	7	8.09	7.61	0.07	72	60	0.06
189	7	8.09	7.61	0.07	72	80	0.06
190	7.8	8.27	9	0.08	74	10	0.46
191	7.8	8.27	9	0.08	74	20	0.13
192	7.8	8.27	9	0.08	74	30	0.06
193	7.8	8.27	9	0.08	74	40	0.05
194	7.8	8.27	9	0.08	74	50	0.05
195	7.8	8.27	9	0.08	74	60	0.03
196	7.8	8.27	9	0.08	74	80	0.03
197	7.8	8.27	9	0.08	74	100	0.03
198	2.8	8.04	32.41	0.29	77	30	0.28
199	2.8	8.04	32.41	0.29	77	40	0.51
200	2.8	8.04	32.41	0.29	77	50	0.07
201	2.8	8.04	32.41	0.29	77	60	0.06
202	2.8	8.04	32.41	0.29	77	80	0.07
203	2.8	8.04	32.41	0.29	77	100	0.12
