Sample	RwTurbidity	RwPh	RwColour	RwUvAbs254	RwAlk	AlumDose	FwColour
51	104	7.98	42.5	0.16	82	25	7.47
52	104	7.98	42.5	0.16	82	30	6.74
53	104	7.98	42.5	0.16	82	35	6.74
54	104	7.98	42.5	0.16	82	40	4.55
55	104	7.98	42.5	0.16	82	45	5.28
56	104	7.98	42.5	0.16	82	50	6.01
57	104	7.98	42.5	0.16	82	55	6.01
58	104	7.98	42.5	0.16	82	60	4.55
59	104	7.98	42.5	0.16	82	65	4.55
60	71	8.13	17.6	0.14	123	10	12.67
61	71	8.13	17.6	0.14	123	12.5	11.26
62	71	8.13	17.6	0.14	123	15	9.15
63	71	8.13	17.6	0.14	123	17.5	9.15
64	71	8.13	17.6	0.14	123	20	9.15
65	71	8.13	17.6	0.14	123	25	7.74
66	71	8.13	17.6	0.14	123	30	8.45
67	71	8.13	17.6	0.14	123	40	4.92
68	71	8.13	17.6	0.14	123	80	4.92
69	1.59	8.02	55.64	0.38	54	20	35.93
70	1.59	8.02	55.64	0.38	54	25	24.26
71	1.59	8.02	55.64	0.38	54	30	22.07
72	1.59	8.02	55.64	0.38	54	35	16.23
73	1.59	8.02	55.64	0.38	54	40	13.31
74	1.59	8.02	55.64	0.38	54	45	11.85
75	1.59	8.02	55.64	0.38	54	50	8.93
76	7.3	7.48	34.28	0.21	96	10	13.54
77	7.3	7.48	34.28	0.21	96	20	11.32
78	7.3	7.48	34.28	0.21	96	30	9.1
79	7.3	7.48	34.28	0.21	96	40	8.36
80	7.3	7.48	34.28	0.21	96	50	6.13
81	7.3	7.48	34.28	0.21	96	60	5.39
82	7.3	7.48	34.28	0.21	96	80	5.39
83	7.3	7.48	34.28	0.21	96	100	4.65
84	3.5	7.51	13.31	0.23	38	20	6.01
85	3.5	7.51	13.31	0.23	38	22.5	6.74
86	3.5	7.51	13.31	0.23	38	25	3.82
87	3.5	7.51	13.31	0.23	38	27.5	4.55
88	3.5	7.51	13.31	0.23	38	30	5.28
89	3.5	7.51	13.31	0.23	38	35	5.28
90	3.5	7.51	13.31	0.23	38	40	3.09
91	3.5	7.51	13.31	0.23	38	45	3.82
92	3.2	7.91	35.6	0.25	75	15	18.08
93	3.2	7.91	35.6	0.25	75	20	14.43
94	3.2	7.91	35.6	0.25	75	25	13.7
95	3.2	7.91	35.6	0.25	75	30	10.05
96	3.2	7.91	35.6	0.25	75	35	8.59
97	3.2	7.91	35.6	0.25	75	40	7.86
98	4.8	8.37	31.22	0.25	124	10	20.27
99	4.8	8.37	31.22	0.25	124	20	14.43
100	4.8	8.37	31.22	0.25	124	30	11.51
101	4.8	8.37	31.22	0.25	124	40	9.32
102	4.8	8.37	31.22	0.25	124	50	7.86
103	4.8	8.37	31.22	0.25	124	60	7.86
104	1.55	8.07	8.07	0.08	95	2.5	7.33
105	1.55	8.07	8.07	0.08	95	5	5.86
106	1.55	8.07	8.07	0.08	95	7.5	5.13
107	1.55	8.07	8.07	0.08	95	10	3.65
108	1.55	8.07	8.07	0.08	95	12.5	4.39
109	1.55	8.07	8.07	0.08	95	15	3.65
110	1.55	8.07	8.07	0.08	95	20	2.18
111	1.55	8.07	8.07	0.08	95	20	2.18
112	73	7.92	41.77	0.17	155	30	18.42
113	73	7.92	41.77	0.17	155	40	18.42
114	73	7.92	41.77	0.17	155	45	21.34
115	73	7.92	41.77	0.17	155	50	20.61
116	73	7.92	41.77	0.17	155	55	17.69
117	73	7.92	41.77	0.17	155	60	14.77
118	73	7.92	41.77	0.17	155	70	15.5
119	73	7.92	41.77	0.17	155	80	11.12
120	73	7.92	41.77	0.17	155	100	10.39
121	3.1	8.45	7.02	0.08	130	5	7.75
122	3.1	8.45	7.02	0.08	130	15	4.83
123	3.1	8.45	7.02	0.08	130	20	3.37
124	3.1	8.45	7.02	0.08	130	25	2.64
125	3.1	8.45	7.02	0.08	130	30	4.1
126	3.1	8.45	7.02	0.08	130	40	1.91
127	3.1	8.45	7.02	0.08	130	60	2.64
128	4.1	7.6	33.74	0.21	59	15	8.2
129	4.1	7.6	33.74	0.21	59	20	3.82
130	4.1	7.6	33.74	0.21	59	25	4.55
131	4.1	7.6	33.74	0.21	59	30	5.28
132	4.1	7.6	33.74	0.21	59	35	3.82
133	4.1	7.6	33.74	0.21	59	40	4.55
134	4.1	7.75	76.81	0.32	61	30	12.58
135	4.1	7.75	76.81	0.32	61	35	10.39
136	4.1	7.75	76.81	0.32	61	40	7.47
137	4.1	7.75	76.81	0.32	61	45	6.74
138	4.1	7.75	76.81	0.32	61	50	5.28
139	4.1	7.75	76.81	0.32	61	55	6.01
140	3	7.86	81.92	0.49	62	40	22.8
141	3	7.86	81.92	0.49	62	50	15.5
142	3	7.86	81.92	0.49	62	60	11.85
143	3	7.86	81.92	0.49	62	70	8.93
144	3	7.86	81.92	0.49	62	75	8.93
145	46	7.71	16.23	0.1	55	10	4.55
146	46	7.71	16.23	0.1	55	15	0.9
147	46	7.71	16.23	0.1	55	20	3.82
148	46	7.71	16.23	0.1	55	25	1.63
149	46	7.71	16.23	0.1	55	30	3.82
150	46	7.71	16.23	0.1	55	35	0.9
151	5	7.98	27.18	0.15	67	10	10.39
152	5	7.98	27.18	0.15	67	15	8.93
153	5	7.98	27.18	0.15	67	20	10.39
154	5	7.98	27.18	0.15	67	25	6.01
155	5	7.98	27.18	0.15	67	30	6.01
156	30	7.97	24.26	0.14	65	15	10.39
157	30	7.97	24.26	0.14	65	20	10.39
158	30	7.97	24.26	0.14	65	25	8.2
159	30	7.97	24.26	0.14	65	30	7.47
160	30	7.97	24.26	0.14	65	35	6.74
161	30	7.97	24.26	0.14	65	40	5.28
162	0.33	7.8	18.42	0.16	65	5	16.23
163	0.33	7.8	18.42	0.16	65	10	14.77
164	0.33	7.8	18.42	0.16	65	15	9.66
165	0.33	7.8	18.42	0.16	65	20	6.74
166	0.33	7.8	18.42	0.16	65	25	8.2
167	0.33	7.8	18.42	0.16	65	30	7.47
168	51	7.55	29.36	0.22	55	20	17.69
169	51	7.55	29.36	0.22	55	25	13.31
170	51	7.55	29.36	0.22	55	30	9.66
171	51	7.55	29.36	0.22	55	35	6.01
172	51	7.55	29.36	0.22	55	40	7.47
173	51	7.55	29.36	0.22	55	45	7.47
174	51	7.55	29.36	0.22	55	50	6.01
175	51	7.55	29.36	0.22	55	55	6.01
176	47	7.48	26.45	0.14	53	20	6.01
177	47	7.48	26.45	0.14	53	25	6.74
178	47	7.48	26.45	0.14	53	30	4.55
179	47	7.48	26.45	0.14	53	35	3.82
180	47	7.48	26.45	0.14	53	40	3.82
181	47	7.48	26.45	0.14	53	45	3.09
182	7	8.09	7.61	0.07	72	5	3.17
183	7	8.09	7.61	0.07	72	10	3.17
184	7	8.09	7.61	0.07	72	15	3.17
185	7	8.09	7.61	0.07	72	20	2.43
186	7	8.09	7.61	0.07	72	30	2.43
187	7	8.09	7.61	0.07	72	40	3.91
188	7	8.09	7.61	0.07	72	60	2.43
189	7	8.09	7.61	0.07	72	80	0.95
190	7.8	8.27	9	0.08	74	10	7
191	7.8	8.27	9	0.08	74	20	6
192	7.8	8.27	9	0.08	74	30	5
193	7.8	8.27	9	0.08	74	40	3
194	7.8	8.27	9	0.08	74	50	4
195	7.8	8.27	9	0.08	74	60	4
196	7.8	8.27	9	0.08	74	80	4
197	7.8	8.27	9	0.08	74	100	3
198	2.8	8.04	32.41	0.29	77	30	15.01
199	2.8	8.04	32.41	0.29	77	40	12.84
200	2.8	8.04	32.41	0.29	77	50	9.22
201	2.8	8.04	32.41	0.29	77	60	7.77
202	2.8	8.04	32.41	0.29	77	80	6.32
203	2.8	8.04	32.41	0.29	77	100	4.87
